"Daily Weather Observations for Darwin, Northern Territory for December 2022"
"Prepared at 13:03 UTC on Tuesday  6 June 2023   IDCJDW8014.202212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-12-1,24.2,35.1,0,5.6,6.0,S,22,15:19,28.4,73,7,S,11,1006.5,34.5,31,7,SSW,11,1004.1
,2022-12-2,25.3,36.1,0,5.0,11.8,NW,35,15:07,30.5,73,2,SW,13,1006.7,34.4,56,2,NW,28,1003.3
,2022-12-3,24.6,34.3,0,9.0,12.1,WNW,37,16:23,31.3,68,1,WSW,11,1008.4,33.3,53,3,WNW,24,1004.9
,2022-12-4,25.8,34.4,0,8.6,12.0,WNW,35,14:01,31.9,60,3,WNW,13,1008.8,33.8,53,5,WNW,24,1005.4
,2022-12-5,28.4,34.7,0,7.6,12.0,WNW,30,13:18,31.6,64,1,WSW,11,1009.3,34.3,56,1,NW,22,1005.6
,2022-12-6,28.3,34.8,0,9.6,6.7,NNW,31,18:29,29.8,77,7,WNW,9,1009.0,34.1,46,5,WNW,15,1006.2
,2022-12-7,25.7,34.9,0,7.6,9.4,SE,46,16:34,31.2,61,6,N,6,1009.6,33.9,38,5,NNW,15,1005.8
,2022-12-8,25.2,34.2,4.8,6.2,11.3,WNW,26,12:18,30.9,62,1,N,7,1009.2,33.6,51,2,WNW,13,1005.6
,2022-12-9,26.1,34.4,0,6.4,12.1,WNW,35,15:13,31.2,64,5,WSW,11,1008.4,33.7,59,3,WNW,26,1005.2
,2022-12-10,26.7,34.5,0,8.6,11.0,WNW,30,11:40,31.9,68,7,W,11,1008.8,33.6,60,7,WNW,19,1006.5
,2022-12-11,28.7,35.3,0,6.8,10.5,SW,81,18:14,31.6,73,6,WNW,7,1008.5,34.5,60,6,WNW,19,1005.2
,2022-12-12,26.3,35.0,4.4,8.2,10.6,NW,26,15:38,31.4,67,3,NW,11,1009.4,34.1,52,2,WNW,15,1007.0
,2022-12-13,25.3,34.4,0,7.4,7.5,NNE,33,15:32,31.4,70,4,WSW,4,1009.6,33.4,62,6,NW,26,1006.9
,2022-12-14,24.6,34.1,9.0,7.8,9.8,SE,24,04:09,28.1,76,7,S,7,1010.0,33.1,55,3,WNW,15,1005.5
,2022-12-15,25.7,33.6,0,6.6,6.3,SE,30,03:46,29.3,72,7,NE,13,1007.5,32.2,60,7,WNW,19,1003.4
,2022-12-16,24.3,33.7,13.6,5.2,9.3,SE,30,15:41,29.9,76,7, ,Calm,1005.9,32.8,60,7,NW,19,1002.7
,2022-12-17,25.2,32.5,0,6.0,5.6,E,54,12:24,30.7,71,6,SSE,6,1005.9,31.4,64,7,ENE,7,1003.4
,2022-12-18,23.2,32.1,60.2,,4.0,SE,41,17:11,27.7,79,7,ESE,7,1005.7,31.4,66,7,NW,15,1002.3
,2022-12-19,23.7,32.6,7.6,4.0,7.7,ENE,33,14:12,27.4,86,7,ENE,9,1006.0,31.7,61,5,NE,15,1002.6
,2022-12-20,24.6,34.0,6.8,6.0,5.3,ESE,57,22:25,28.8,83,7,ENE,11,1005.4,32.8,59,7,ENE,19,1001.7
,2022-12-21,23.7,32.7,49.2,,3.3,N,37,16:12,26.8,88,7,E,19,1003.6,31.6,70,7,NNE,22,1000.0
,2022-12-22,24.6,29.3,19.8,4.6,0.0,N,70,16:20,26.5,94,8,ENE,19,1001.1,28.2,85,8,NNE,26,998.5
,2022-12-23,24.6,29.9,45.8,6.6,0.0,N,48,04:09,26.9,91,8,N,26,1003.7,28.3,84,8,W,17,1002.2
,2022-12-24,24.7,31.1,39.8,4.0,0.8,NW,39,06:53,29.4,82,7,NNW,17,1006.3,29.4,79,8,W,13,1004.6
,2022-12-25,27.4,32.8,0,3.2,7.1,N,30,16:08,31.1,70,7,NNW,15,1007.1,32.0,67,8,NNW,11,1004.9
,2022-12-26,26.4,33.5,0,4.4,9.6,WNW,33,17:16,30.3,80,7,ENE,7,1009.0,32.2,65,7,NW,17,1005.7
,2022-12-27,27.0,32.7,8.8,10.0,5.1,W,31,19:22,29.9,81,8,S,6,1008.9,30.6,75,8,WNW,20,1005.3
,2022-12-28,25.1,30.6,43.6,7.4,1.7,WSW,50,11:23,29.1,81,8,WNW,30,1006.2,29.8,64,8,W,22,1003.8
,2022-12-29,23.1,31.5,64.2,,1.8,WNW,59,05:12,27.8,82,8,WNW,26,1005.9,27.6,88,8,NW,15,1003.9
,2022-12-30,24.3,28.8,58.6,5.8,0.0,W,72,11:13,25.9,89,8,WNW,28,1006.4,28.3,82,8,NW,26,1003.2
,2022-12-31,24.1,29.7,82.8,,0.0,WNW,87,08:57,24.6,92,8,WNW,57,1005.1,27.7,89,8,NW,30,1001.8
