"Daily Weather Observations for Hobart, Tasmania for December 2017"
"Prepared at 13:03 UTC on Wednesday  8 August 2018   IDCJDW7021.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,18.9,23.5,0.2,7.8,0.3,SW,59,13:27,22.9,60,8,NNE,7,1002.7,15.3,88,8,SSW,26,1003.4
,2017-12-2,11.5,13.3,22.0,0.4,0.0,SSE,57,17:02,11.9,91,8,SSE,30,1012.1,12.9,81,8,SSE,31,1010.7
,2017-12-3,8.8,12.9,37.2,2.4,0.0,SSW,72,08:29,9.3,92,8,S,33,1004.4,10.1,85,8,SSW,43,1003.6
,2017-12-4,9.3,15.6,32.8,2.0,4.4,SW,43,23:09,12.7,55,7,SW,20,1015.0,14.9,52,7,SE,28,1016.5
,2017-12-5,10.9,17.8,0,3.2,5.0,E,48,07:47,13.3,63,7,E,6,1018.3,17.0,53,7,SE,19,1016.1
,2017-12-6,10.0,17.7,0,3.4,1.3,SE,31,17:04,14.5,69,7,ENE,6,1010.6,16.7,67,7,SE,17,1005.9
,2017-12-7,12.4,20.9,0,5.4,3.2,SSE,50,18:49,16.8,58,6,E,15,998.3,20.3,46,7,WNW,24,997.8
,2017-12-8,8.5,19.9,7.4,3.8,10.5,WNW,48,13:12,13.3,53,5,NE,13,1008.8,17.8,35,4,WNW,22,1008.8
,2017-12-9,13.2,22.5,0.4,6.8,6.6,WNW,63,15:17,17.4,64,7,WNW,17,1005.9,21.5,33,4,WNW,15,1009.4
,2017-12-10,14.9,24.7,0,7.4,9.0,NW,61,08:15,19.6,47,1,NW,35,1014.7,23.2,37,7,NW,30,1014.3
,2017-12-11,15.1,21.6,0,7.8,4.8,NW,57,01:49,15.9,64,7,ESE,11,1017.4,21.0,52,7,SE,19,1015.8
,2017-12-12,12.0,23.7,0,4.0,10.2,SE,35,15:04,19.2,53,2,SE,7,1015.8,22.7,55,5,SE,20,1013.6
,2017-12-13,15.3,26.3,0,7.2,3.6,NW,35,06:47,20.3,62,7,NNW,13,1009.3,25.7,40,7,NNE,9,1005.1
,2017-12-14,19.6,26.7,0,6.0,9.8,WNW,59,16:57,22.8,54,7,WNW,19,998.1,21.6,36,5,WSW,24,999.4
,2017-12-15,11.6,23.0,0,6.8,11.5,WNW,41,07:50,15.7,46,7,WNW,26,1011.0,20.4,44,2,ESE,17,1007.0
,2017-12-16,13.5,21.8,0,8.8,9.7,NW,52,09:22,19.0,50,7,NNW,19,1008.7,17.1,74,7,ESE,19,1011.8
,2017-12-17,10.7,19.4,0,4.0,9.9,SE,35,12:57,16.7,48,3,NE,9,1021.0,18.2,50,3,SE,22,1020.6
,2017-12-18,12.8,24.4,0,6.6,12.0,SE,41,15:05,19.1,60,6,NW,15,1013.6,22.2,47,1,S,20,1010.7
,2017-12-19,15.0,31.1,0,6.8,4.8,WNW,70,21:21,18.5,74,7,N,15,1003.6,28.5,37,6,NNE,24,994.0
,2017-12-20,18.4,21.9,0,9.0,11.5,WNW,85,11:45,20.9,46,2,WNW,39,994.2,20.7,33,3,WNW,35,999.3
,2017-12-21,12.8,23.8,0,8.0,7.5,NW,52,03:18,15.4,54,7,WNW,24,1012.3,21.8,41,6,NW,28,1010.3
,2017-12-22,15.2,24.8,0,4.4,7.2,WNW,46,21:50,17.9,54,7,NW,15,1011.8,23.6,39,4,WNW,15,1008.5
,2017-12-23,14.2,24.2,0,10.4,8.8,NW,54,14:15,18.9,52,7,WNW,19,1003.1,22.7,39,7,NW,26,999.9
,2017-12-24,10.9,18.7,0,7.8,9.5,W,48,16:56,14.8,38,1,WSW,11,1005.9,17.4,41,6,WNW,20,1007.8
,2017-12-25,10.8,21.9,0.2,5.6,5.8,WNW,46,07:08,15.2,61,5,WNW,30,1016.5,21.0,44,7,SW,13,1016.8
,2017-12-26,12.8,20.9,0,4.2,11.4,SSE,31,14:00,15.9,80,7,SSE,7,1020.8,19.4,63,8,SE,20,1018.4
,2017-12-27,14.0,31.4,0.2,6.4,12.6,NW,52,22:49,20.5,52,7,NNW,22,1014.9,29.8,31,7,NNW,13,1008.8
,2017-12-28,20.0,32.3,0,10.6,10.9,NW,57,09:35,26.6,47,1,NW,22,1006.8,20.9,68,1,SE,31,1007.1
,2017-12-29,15.1,24.2,0,8.8,9.7,SSE,37,18:14,16.8,73,7,ESE,7,1009.5,22.4,59,1,SE,19,1003.6
,2017-12-30,14.6,19.1,0.2,8.8,9.1,SSW,61,11:46,15.6,41,3,NW,9,996.1,17.4,35,4,NW,20,999.5
,2017-12-31,13.6,26.7,0.4,7.6,12.8,WNW,74,08:38,18.6,51,7,WNW,48,1002.9,26.1,33,5,WNW,35,999.6
