"Daily Weather Observations for Hobart, Tasmania for April 2018"
"Prepared at 13:03 UTC on Saturday 18 August 2018   IDCJDW7021.201804"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-04-1,12.9,22.4,,4.2,4.2,,,,15.6,58,7,NNW,17,1007.6,20.5,50,7,NW,30,1005.4
,2018-04-2,11.9,20.1,2.4,4.0,7.8,WNW,74,12:41,15.8,59,6,WNW,20,1005.9,18.0,35,5,SE,13,1009.8
,2018-04-3,14.1,23.3,0,4.4,6.1,WNW,65,10:14,17.2,58,6,NW,35,1015.3,23.0,37,1,NW,24,1014.4
,2018-04-4,11.8,24.6,0,4.8,10.7,NW,43,03:58,17.9,53,1,N,11,1017.5,22.2,41,1,ESE,15,1014.1
,2018-04-5,10.7,23.3,0,5.0,6.9,WNW,46,15:55,14.8,67,5,NW,17,1012.1,21.1,44,6,NW,22,1009.5
,2018-04-6,10.4,16.1,7.8,3.2,2.6,SE,35,16:08,13.7,56,7,NW,7,1017.7,14.5,59,7,SW,20,1018.3
,2018-04-7,9.6,19.2,0,2.4,7.0,WNW,46,17:19,12.1,68,7,NNW,20,1018.4,18.8,44,7,NW,20,1014.9
,2018-04-8,12.0,20.6,0.2,3.2,1.8,NW,43,21:03,12.9,84,8,NW,13,1014.9,19.2,65,7,N,17,1009.1
,2018-04-9,11.7,15.8,2.0,1.6,3.4,S,43,07:29,11.8,88,7,SSW,20,1019.6,14.7,67,7,ESE,17,1021.9
,2018-04-10,11.7,22.4,0.2,2.8,9.6,NW,46,12:29,15.4,58,7,NW,24,1020.0,21.4,44,7,N,19,1014.4
,2018-04-11,13.9,14.3,0,4.6,0.1,SSW,39,10:33,14.3,81,7,S,13,1016.1,13.6,71,7,SSE,20,1017.2
,2018-04-12,10.6,15.5,1.2,1.0,0.1,WNW,46,22:36,12.3,80,7,WNW,7,1011.8,14.6,90,7,SW,11,1001.5
,2018-04-13,10.9,20.0,6.4,1.8,9.4,NW,50,03:44,15.5,54,2,W,2,1005.4,19.6,45,2,NNE,9,1001.1
,2018-04-14,11.8,17.3,0.6,4.0,6.5,NW,81,16:29,14.5,50,1,N,26,987.0,14.2,52,7,NW,35,978.9
,2018-04-15,5.4,17.2,5.4,3.0,6.0,WNW,81,12:40,7.2,75,7,WNW,22,986.6,12.4,44,7,W,33,990.1
,2018-04-16,6.9,13.5,0.2,3.6,7.7,WNW,104,07:35,12.8,46,3,W,39,995.5,12.6,42,4,W,37,1003.1
,2018-04-17,6.5,15.9,2.6,5.2,9.4,W,69,00:02,10.1,53,1,WSW,22,1018.8,15.0,43,6,WSW,19,1020.1
,2018-04-18,5.1,16.5,0,2.0,9.9,N,22,12:37,10.7,70,3,WNW,15,1023.8,14.7,55,7,SE,13,1019.9
,2018-04-19,7.2,,0,3.4,6.9,NNE,22,12:45,11.1,73,7,WNW,15,1019.7,16.0,54,3,NE,11,1018.7
,2018-04-20,6.6,17.4,,1.0,10.1,,,,9.6,82,1,NW,20,1024.0,15.9,64,1,ESE,13,1022.5
,2018-04-21,9.6,19.5,0,1.6,7.9,NW,35,09:45,11.8,84,6,NW,15,1023.6,16.8,65,6,E,15,1021.3
,2018-04-22,10.3,,0,3.6,9.4,SE,35,16:05,14.5,75,1,WNW,17,1022.4,20.0,53,1,ESE,11,1019.3
,2018-04-23,,20.8,,2.4,9.5,,,,13.3,77,3,NNW,11,1019.6,17.5,53,4,ESE,19,1017.7
,2018-04-24,10.1,22.1,0,2.2,5.0,WNW,54,22:16,11.4,81,7,NW,24,1012.7,21.2,46,7,NW,13,1007.1
,2018-04-25,11.4,21.6,0,2.6,9.3,NW,41,11:01,16.1,66,3,NNE,13,1013.6,20.5,49,1,NNE,11,1009.6
,2018-04-26,11.1,16.9,0,2.8,8.8,WSW,65,12:55,13.3,47,1,WNW,31,1010.2,16.0,37,1,WNW,26,1012.0
,2018-04-27,10.1,16.8,0.4,4.2,3.8,NW,37,01:19,12.3,70,7,WNW,7,1024.0,16.6,56,7,WNW,9,1024.7
,2018-04-28,6.2,17.9,0,1.4,10.3,NW,26,08:01,10.5,80,1,NW,13,1027.3,16.1,56,5,E,7,1024.9
,2018-04-29,8.3,17.9,0.6,1.2,6.4,WNW,46,23:56,10.5,91,1,NW,9,1027.4,16.7,33,7,NW,20,1024.2
,2018-04-30,10.5,17.0,0,3.8,0.2,WNW,57,17:12,13.8,55,7,NW,11,1020.8,16.3,39,7,NNW,13,1019.8
