"Daily Weather Observations for Hobart, Tasmania for December 2018"
"Prepared at 13:03 UTC on Thursday  8 August 2019   IDCJDW7021.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,9.0,23.1,2.2,4.4,10.0,NNW,44,21:29,15.3,47,4,NW,24,1006.3,21.2,43,3,ESE,17,1000.1
,2018-12-2,12.0,18.9,2.4,7.4,7.1,NW,67,14:07,13.3,48,7,NNW,13,994.0,17.7,33,3,NW,39,993.9
,2018-12-3,10.0,18.9,0.2,7.2,5.5,NW,72,08:00,13.7,62,3,WNW,43,991.0,11.9,74,7,SW,35,993.8
,2018-12-4,8.1,19.3,7.6,3.6,6.8,WNW,46,16:00,13.0,53,7,NNW,7,1012.0,18.6,48,7,NW,24,1014.0
,2018-12-5,9.2,19.5,0,3.6,11.5,SE,28,15:29,14.5,69,5,NNE,7,1022.5,18.6,56,1,SE,19,1021.5
,2018-12-6,11.7,30.9,0,5.8,11.0,NNW,41,09:24,18.4,57,6,NNW,19,1017.7,30.0,28,4,NNE,19,1012.0
,2018-12-7,18.4,28.4,0,10.8,4.1,SSW,46,20:11,23.5,39,8,NW,15,1010.8,27.1,41,4,SE,19,1009.9
,2018-12-8,17.0,20.1,0,5.2,5.7,SE,39,14:38,17.4,85,7,E,7,1013.6,18.1,76,6,SE,26,1015.1
,2018-12-9,12.7,19.3,0,5.2,5.1,WSW,46,21:37,14.4,69,7,SE,9,1021.6,18.1,59,7,E,19,1019.0
,2018-12-10,11.9,20.4,0,4.4,11.0,ESE,43,15:18,17.0,48,4,SE,13,1015.4,17.0,61,6,E,19,1015.0
,2018-12-11,9.0,19.7,0,5.8,12.7,SE,31,16:14,15.2,58,3,NE,11,1021.5,18.8,48,1,SE,20,1019.5
,2018-12-12,11.8,28.3,0,6.6,12.9,ENE,50,15:12,19.3,61,1,N,13,1014.6,26.6,34,1,NE,24,1008.0
,2018-12-13,15.9,24.1,0,8.0,10.1,NE,44,14:24,20.0,61,7,N,11,1004.6,22.2,61,7,ENE,26,1004.6
,2018-12-14,16.2,22.6,0,5.6,6.4,ESE,41,14:45,18.6,56,7,NE,15,1015.0,20.2,65,5,ESE,26,1015.3
,2018-12-15,15.5,19.6,0,5.8,0.1,ESE,33,13:37,17.5,75,7,E,17,1018.1,16.7,88,8,SE,22,1014.4
,2018-12-16,16.2,26.3,2.0,1.8,6.5,S,43,16:23,19.6,94,7,N,13,1006.6,23.4,69,5,ESE,22,1001.3
,2018-12-17,15.5,22.1,27.6,5.2,5.6,S,56,16:15,18.9,83,7,NW,11,1004.3,19.0,67,7,S,30,1008.0
,2018-12-18,11.8,17.4,1.6,3.8,1.4,S,31,03:10,12.8,81,8,SSW,19,1019.0,16.0,54,7,SSE,15,1019.1
,2018-12-19,12.8,23.3,0.2,5.8,10.9,ESE,33,15:06,17.4,56,7,NNW,13,1017.9,20.9,48,3,SE,19,1013.7
,2018-12-20,13.4,17.0,12.6,6.4,4.3,S,43,16:18,13.7,89,8,S,24,1010.7,15.4,67,7,S,26,1011.0
,2018-12-21,9.8,17.4,1.2,3.4,2.9,S,37,12:55,15.2,56,7,ENE,4,1013.1,13.6,75,7,SSE,17,1012.6
,2018-12-22,10.4,18.2,1.2,2.6,6.8,SE,26,16:19,13.8,73,7,NNW,6,1017.2,16.9,51,7,ESE,17,1016.5
,2018-12-23,12.2,24.5,0,5.2,9.2,NW,54,10:10,16.2,56,7,NW,24,1015.9,21.9,43,7,NNW,19,1013.6
,2018-12-24,13.6,31.9,0,5.4,12.6,WNW,70,15:51,19.6,36,2,NNW,33,1012.1,31.2,13,1,NW,33,1007.5
,2018-12-25,15.2,20.2,0,13.6,9.5,WNW,50,00:39,18.7,55,4,NE,13,1015.5,17.9,54,7,SE,28,1016.1
,2018-12-26,14.5,20.2,0,8.4,6.7,SE,31,11:36,16.7,63,7,E,9,1017.9,19.4,58,7,SE,20,1015.8
,2018-12-27,14.7,24.0,0,7.4,5.8,SSW,31,14:27,18.1,43,7,NNW,9,1010.0,18.8,68,7,ESE,20,1006.6
,2018-12-28,16.6,22.4,0,5.6,12.0,ESE,37,13:58,18.4,76,1,ESE,22,1004.6,20.7,60,7,ESE,30,1005.1
,2018-12-29,16.2,25.7,2.2,7.6,11.9,WNW,76,08:58,22.3,47,3,WNW,30,1003.1,24.8,22,3,NW,28,1006.9
,2018-12-30,13.5,23.5,0,12.0,10.9,SSE,43,15:35,17.3,44,1,N,13,1013.4,22.3,33,1,SE,20,1012.0
,2018-12-31,16.4,23.2,0,7.6,10.6,SE,48,15:29,17.8,71,7,ESE,13,1012.5,22.1,55,3,SE,24,1007.2
