"Daily Weather Observations for Hobart, Tasmania for June 2019"
"Prepared at 16:03 UTC on Friday 16 August 2019   IDCJDW7021.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,5.9,17.0,0,0.8,8.3,NW,33,12:37,9.0,80,1,WSW,6,1029.6,16.5,55,1,NNW,6,1027.0
,2019-06-2,5.3,10.8,0,1.6,8.3,SSW,50,22:22,7.6,84,7,N,6,1022.5,10.3,82,8,N,9,1020.6
,2019-06-3,6.6,10.2,7.2,1.2,5.0,SW,48,08:25,7.8,72,4,SSW,15,1025.3,9.2,54,4,S,19,1024.5
,2019-06-4,4.4,11.3,0.4,0.6,3.2,SW,35,21:13,6.9,73,4,NNW,15,1027.2,10.5,61,7,SW,20,1026.2
,2019-06-5,3.3,14.7,0,1.2,3.4,NNW,83,10:15,9.4,66,2,NNE,26,1024.1,11.7,62,7,NNE,37,1018.3
,2019-06-6,9.4,17.1,0,2.0,7.0,SW,50,00:27,12.7,63,6,WSW,24,1025.9,14.4,53,7,NW,30,1026.0
,2019-06-7,7.9,17.0,0.2,2.4,6.3,WNW,59,05:11,12.6,64,7,NNW,17,1028.7,15.9,52,7,NNW,24,1026.8
,2019-06-8,3.2,12.8,0,2.6,6.6,NNW,37,10:49,5.3,82,7,NW,13,1024.9,12.2,55,5,S,4,1020.3
,2019-06-9,5.2,13.2,0,1.2,2.1,NNW,33,12:04,7.9,76,7,NW,9,1017.1,12.6,61,6,NNW,17,1014.0
,2019-06-10,7.7,14.5,0.8,0.8,1.2,NW,57,20:06,9.2,91,8,NNW,11,1005.7,12.6,85,7,NNW,11,997.7
,2019-06-11,9.1,17.6,1.0,2.2,5.7,NNW,44,11:00,12.5,68,3,WSW,9,1015.1,16.3,62,4,NNW,28,1016.0
,2019-06-12,7.0,12.8,0,1.2,0.0,NW,41,21:50,8.3,81,8,NNW,20,1010.8,11.4,84,8,NNW,13,1002.3
,2019-06-13,6.6,15.6,3.2,0.4,5.8,NW,56,15:19,9.0,80,7,NNW,11,1006.3,12.3,57,5,W,20,1003.5
,2019-06-14,8.6,13.7,0,2.6,3.2,NNW,44,00:02,9.7,66,3,NW,9,1009.5,12.0,63,4,N,24,1007.5
,2019-06-15,5.7,13.2,0,1.8,7.9,NW,35,10:22,7.3,69,5,NNW,6,1017.7,11.8,53,6,NNW,11,1018.0
,2019-06-16,3.2,12.8,0.2,1.8,7.1,NNW,28,10:49,4.9,82,7,WNW,11,1021.9,12.2,55,1,N,11,1019.9
,2019-06-17,4.4,12.0,0,0.8,3.6,NW,37,02:11,5.3,82,7,NNW,20,1019.7,11.9,65,7,NNW,7,1016.4
,2019-06-18,5.2,14.5,0,1.0,4.3,SW,48,22:44,10.3,72,8,NNW,13,1009.2,13.3,55,6,NNW,26,1007.2
,2019-06-19,6.7,10.6,2.6,3.2,4.7,SW,59,01:31,7.8,62,5,SW,20,1020.7,8.9,71,5,SW,9,1022.1
,2019-06-20,3.7,12.1,0,1.0,5.1,SW,43,19:46,6.2,76,1,NNW,9,1023.5,9.3,66,7,SSW,13,1022.0
,2019-06-21,5.1,11.7,3.6,1.2,4.4,SSW,46,13:16,8.1,70,4,SSW,9,1025.8,9.2,70,7,SW,17,1026.4
,2019-06-22,4.6,10.8,0,0.4,3.8,NNW,20,05:10,6.1,81,7,NNW,9,1030.1,9.7,73,6,ESE,9,1029.2
,2019-06-23,1.1,12.4,0,0.4,6.0,NNW,22,09:54,3.2,90,1,NNW,13,1032.0,10.5,61,7,NNE,9,1030.9
,2019-06-24,1.8,10.0,0.2,0.8,8.3,NW,33,05:53,3.4,90,1,NNW,15,1033.5,9.5,62,1,N,6,1032.0
,2019-06-25,-0.2,9.9,0,0.6,4.8,NNW,41,09:44,2.1,82,7,NW,28,1032.9,8.2,61,7,NNW,17,1031.2
,2019-06-26,2.1,14.2,0,1.4,8.0,NNW,31,02:40,5.4,81,1,NNW,15,1034.5,14.0,48,7,NNW,13,1031.7
,2019-06-27,3.9,12.7,0,0.6,3.7,NNW,46,06:49,4.9,81,7,NNW,30,1030.1,12.1,58,7,NNW,9,1026.6
,2019-06-28,4.9,18.1,0,1.0,1.9,NNW,41,02:14,11.2,61,7,NNW,15,1022.0,17.9,52,7,NNW,19,1017.6
,2019-06-29,11.1,17.8,0,2.2,0.1,N,56,13:34,11.9,82,7,WNW,4,1015.3,16.2,63,7,N,17,1008.5
,2019-06-30,10.5,15.5,0,2.2,3.0,NW,63,15:22,11.2,62,7,NNW,28,997.5,12.0,51,6,NNW,22,1003.0
