"Daily Weather Observations for Hobart, Tasmania for November 2019"
"Prepared at 13:03 UTC on Sunday  9 August 2020   IDCJDW7021.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-11-1,15.0,32.6,0,6.0,5.9,NNW,65,10:17,25.8,31,7,N,22,1006.1,30.4,29,7,N,28,1003.5
,2019-11-2,14.4,21.5,1.2,6.0,1.5,N,30,09:40,16.1,82,8,NNW,19,1004.8,16.7,83,8,E,9,1005.3
,2019-11-3,8.3,21.7,7.6,3.8,8.7,NNW,46,13:15,15.8,52,6,N,9,1009.3,18.5,57,7,WSW,9,1006.5
,2019-11-4,9.2,17.5,2.2,4.8,9.3,WNW,50,11:31,13.2,60,6,NNW,24,1008.2,15.5,36,5,SW,15,1008.9
,2019-11-5,4.1,16.8,0.4,2.4,7.1,NNW,56,21:18,11.1,53,2,NNW,26,1013.6,16.0,36,7,WNW,26,1008.5
,2019-11-6,10.9,20.0,0,6.4,9.1,WNW,87,15:35,14.8,44,2,NNW,20,999.0,18.0,27,7,NW,37,991.4
,2019-11-7,6.1,12.7,1.6,7.0,10.6,NW,76,06:21,9.2,74,6,NW,39,986.7,9.2,81,7,NW,31,988.5
,2019-11-8,5.1,12.7,7.4,4.4,4.1,SW,57,11:47,8.2,72,7,N,6,996.1,8.1,71,7,SSW,17,999.6
,2019-11-9,4.9,14.8,1.4,2.4,3.5,WNW,52,12:05,8.5,61,6,N,20,1003.8,11.4,60,7,NW,13,999.8
,2019-11-10,8.5,18.7,0.2,2.2,6.8,WSW,56,11:33,13.6,51,5,SW,19,1006.4,17.2,44,6,WSW,15,1007.8
,2019-11-11,11.3,26.3,0,4.6,8.4,NW,74,16:32,13.0,50,7,NW,30,1003.7,25.6,16,3,NW,33,997.5
,2019-11-12,8.7,16.3,3.2,10.0,11.0,NW,65,10:25,12.3,53,3,ESE,9,996.2,13.4,45,7,NW,26,997.1
,2019-11-13,6.9,16.2,0,5.6,10.8,WNW,91,09:38,10.5,58,4,NNW,31,998.4,14.6,49,4,WSW,35,998.3
,2019-11-14,10.1,19.9,3.6,6.4,10.1,WNW,81,16:13,15.1,55,7,N,24,1000.1,18.6,39,4,WNW,35,998.5
,2019-11-15,11.1,17.6,0,8.0,9.2,W,80,00:57,12.9,41,2,NW,28,998.7,14.4,38,5,W,44,999.2
,2019-11-16,7.6,17.3,0,8.4,8.3,W,76,15:08,12.5,40,4,SW,19,1006.2,16.4,30,6,WSW,37,1006.0
,2019-11-17,7.3,17.8,0,7.0,7.6,SSW,52,09:00,9.7,57,6,W,11,1015.3,17.4,33,5,SW,19,1014.0
,2019-11-18,9.7,21.3,0,5.0,9.3,NW,76,09:55,14.4,53,5,NNE,20,1003.4,20.5,39,7,NW,31,1001.5
,2019-11-19,8.5,18.8,0,6.8,8.6,SW,39,08:25,15.0,40,5,NW,9,1010.0,14.2,60,7,ESE,24,1011.5
,2019-11-20,10.2,24.4,0,3.4,8.0,NNW,56,22:34,15.2,57,6,NNE,19,1014.4,19.5,51,7,ESE,19,1010.1
,2019-11-21,14.4,36.8,0,7.4,6.0,NW,57,10:05,24.3,25,2,NNW,17,995.5,18.1,65,7,ESE,17,994.9
,2019-11-22,11.2,22.8,0,7.8,11.2,SSE,39,15:27,15.4,49,3,SE,15,1012.9,18.2,59,7,SE,26,1010.7
,2019-11-23,12.6,20.2,0,6.6,8.2,W,70,14:41,15.5,62,7,NNW,17,1008.6,18.7,32,3,WNW,31,1007.5
,2019-11-24,10.0,21.1,0,7.4,6.5,WSW,48,20:52,13.4,51,7,NW,17,1014.5,20.5,35,7,NW,30,1010.9
,2019-11-25,10.3,25.6,0,6.0,10.5,NW,54,13:00,17.2,44,6,NW,26,1003.2,23.5,27,7,NW,26,1000.0
,2019-11-26,10.5,18.8,2.6,9.2,10.3,SSE,48,13:14,14.7,58,7,SW,20,1003.3,18.2,34,1,WSW,17,1004.0
,2019-11-27,9.3,20.6,0.4,7.6,2.6,NW,54,12:29,12.6,57,7,NW,24,1006.7,17.7,48,7,NW,22,1005.6
,2019-11-28,11.2,21.1,0,5.6,10.6,WNW,46,00:56,15.0,34,2,NW,20,1011.7,19.8,21,3,NNW,30,1013.1
,2019-11-29,9.7,15.6,2.4,7.8,7.2,SE,44,13:34,12.1,73,7,E,9,1013.3,14.1,59,7,SE,30,1010.8
,2019-11-30,4.9,18.2,6.6,5.2,10.7,SSE,43,13:51,11.8,61,1,N,19,1010.5,14.1,66,6,S,28,1006.1
