"Daily Weather Observations for Hobart, Tasmania for June 2020"
"Prepared at 16:03 UTC on Sunday 16 August 2020   IDCJDW7021.202006"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-06-1,6.8,16.9,0,2.6,,NW,43,23:12,8.6,73,1,NNE,11,1001.6,16.3,48,4,WNW,13,1002.6
,2020-06-2,7.2,15.3,0,1.6,,NNW,67,09:11,12.4,62,7,NW,37,1006.3,14.6,63,3,NW,31,1003.9
,2020-06-3,7.4,11.8,1.0,1.8,,SW,52,08:11,8.6,60,2,SW,24,1025.1,10.1,56,5,WSW,11,1027.7
,2020-06-4,3.7,13.7,0,2.0,,NNW,39,21:46,7.4,72,1,N,13,1031.0,13.4,49,3,NNW,20,1027.3
,2020-06-5,7.4,14.2,0,1.4,,NW,54,03:02,11.4,65,7,NNW,22,1022.1,9.5,86,7,S,15,1023.7
,2020-06-6,1.5,10.8,2.4,1.4,,NNW,31,20:46,4.1,88,1,NNW,13,1025.7,8.8,63,4,NNW,9,1022.6
,2020-06-7,1.9,12.3,0,0.4,,NNW,31,11:03,4.5,89,1,NW,13,1024.7,11.1,62,5,NW,11,1023.5
,2020-06-8,3.0,13.8,0,0.8,,NW,33,11:15,4.3,87,6,W,6,1027.3,12.9,54,1,NNE,9,1026.8
,2020-06-9,3.2,14.0,0,0.8,,NNW,50,22:42,5.6,82,1,NNW,13,1029.1,13.4,55,1,NNW,20,1025.5
,2020-06-10,5.6,13.9,0,1.8,,NNW,50,04:29,9.0,72,7,NNW,17,1022.5,12.5,55,7,WNW,13,1018.6
,2020-06-11,8.2,11.5,0.8,1.6,,SSW,43,11:21,8.4,90,7,SSW,13,1023.2,10.2,57,3,SSW,15,1025.0
,2020-06-12,2.2,10.2,0.2,0.8,,NNW,24,23:26,5.9,75,7,NNW,15,1029.3,7.6,91,7,NNW,6,1026.0
,2020-06-13,5.2,12.5,4.4,0.2,,NNW,35,03:00,5.7,96,7,NNW,22,1016.1,10.0,80,7,NNW,19,1010.7
,2020-06-14,5.5,15.0,0,0.6,,NW,50,23:33,11.8,74,7,NNW,13,1001.9,14.2,52,3,NNW,26,998.9
,2020-06-15,10.6,15.9,0.8,2.0,,WNW,63,01:25,13.5,61,6,NNW,19,1003.8,15.1,59,7,NW,26,1003.2
,2020-06-16,12.5,15.2,0.2,3.0,,NW,83,09:11,14.4,56,2,NW,48,1001.7,10.4,50,1,NW,31,1006.8
,2020-06-17,4.1,12.0,10.8,2.2,,WSW,61,00:24,6.6,72,1,NNW,24,1031.3,10.6,58,1,NW,11,1033.4
,2020-06-18,2.0,8.7,0,0.8,,NNW,31,04:28,3.3,82,1,NNW,17,1035.2,8.6,65,7,NNW,11,1030.4
,2020-06-19,3.1,9.9,0,1.0,,NNW,33,00:27,4.1,87,7,N,9,1027.0,9.2,74,7,N,7,1024.2
,2020-06-20,4.1,13.1,0,0.2,,NNW,31,15:32,6.9,93,2,WSW,11,1019.1,12.0,87,6, ,Calm,1015.4
,2020-06-21,6.8,13.1,2.6,0.4,,SW,44,23:57,7.0,95,8,NNW,9,1012.5,10.6,83,7, ,Calm,1009.8
,2020-06-22,6.9,12.9,14.6,0.0,,S,76,19:26,12.3,91,8,S,20,1007.1,12.3,96,8,S,26,1006.2
,2020-06-23,11.3,11.9,40.6,0.6,,S,67,01:47,11.7,96,8,S,37,1016.5,11.5,97,8,S,31,1018.4
,2020-06-24,10.9,12.4,3.2,1.2,,S,41,00:21,11.3,95,8,S,9,1022.6,12.3,88,8,SE,7,1020.5
,2020-06-25,9.2,15.0,2.0,0.2,,NNW,41,16:50,9.5,98,7,NNW,15,1013.0,15.0,67,2,NNW,17,1009.3
,2020-06-26,6.4,10.4,0.4,1.2,,SW,44,10:13,7.3,70,1,WNW,9,1018.8,9.5,63,3,NNW,9,1020.7
,2020-06-27,3.2,12.3,0,0.6,,WNW,24,06:44,4.9,88,7,NW,7,1028.1,12.1,64,3,NNW,11,1027.0
,2020-06-28,3.0,10.8,0.2,0.4,,NNW,31,21:53,3.6,97,1,NW,19,1029.0,10.0,68,1,NNW,13,1027.3
,2020-06-29,3.6,12.9,0,0.8,,NW,33,00:57,6.1,83,6,NW,17,1027.3,11.6,67,3,NNW,13,1024.8
,2020-06-30,5.5,11.6,0,1.2,,NNW,37,04:49,6.6,89,2,NNW,19,1020.4,11.6,64,7,NNW,11,1015.9
