"Daily Weather Observations for Hobart, Tasmania for August 2020"
"Prepared at 06:20 UTC on Sunday 23 August 2020   IDCJDW7021.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,8.9,18.4,0,2.0,,NW,74,20:59,10.8,61,7,NW,28,1018.0,17.4,45,5,NNW,24,1012.7
,2020-08-2,8.9,14.7,0,2.6,,WNW,61,01:27,10.5,59,6,N,17,1016.9,13.6,39,7,NW,26,1014.2
,2020-08-3,6.6,10.9,0.8,2.6,,WNW,61,13:57,7.4,72,7,N,20,1008.1,10.2,47,3,NW,30,1004.7
,2020-08-4,1.6,9.1,0.2,0.4,,SE,94,19:48,2.7,82,7,NNW,13,1008.3,4.5,84,8,SW,33,1005.1
,2020-08-5,2.6,8.8,46.2,1.2,,S,70,00:28,6.6,79,7,SSW,30,1012.0,7.4,76,7,SSW,28,1011.6
,2020-08-6,5.3,12.8,2.6,3.2,,SSW,41,10:42,7.5,69,7,SSW,20,1019.7,10.6,61,4,S,20,1021.3
,2020-08-7,1.6,10.8,0,1.8,,NW,39,07:40,3.7,81,6,NNW,22,1029.2,9.8,73,6,SE,19,1025.3
,2020-08-8,3.7,12.8,0,1.0,,N,28,10:54,6.5,81,6,NNW,9,1026.5,12.6,50,5,NNW,9,1023.3
,2020-08-9,1.0,10.8,0,0.8,,SE,28,16:00,3.9,90,7,NNW,9,1025.3,9.0,72,1,ESE,15,1022.9
,2020-08-10,0.4,13.4,0,1.2,,NNW,31,09:48,2.0,96,1,NNW,20,1024.2,12.7,49,1,NNW,11,1020.4
,2020-08-11,1.4,11.2,0,0.4,,NNW,39,03:12,4.1,80,1,NNW,15,1018.4,11.1,45,7,WNW,9,1014.6
,2020-08-12,4.1,12.1,0,1.4,,NW,35,05:43,7.8,72,7,NNW,13,1011.0,12.0,63,8,NNW,17,1008.2
,2020-08-13,5.0,13.1,0.4,0.8,,NW,17,00:03,7.4,87,3,NNW,9,1013.1,12.5,75,7,SE,11,1012.6
,2020-08-14,7.4,15.5,0.4,1.4,,WSW,17,20:20,11.3,93,7, ,Calm,1015.7,14.1,76,7, ,Calm,1013.8
,2020-08-15,9.2,13.9,1.4,0.2,,SSE,24,21:13,10.1,97,7,N,7,1016.9,12.3,90,7,SE,11,1015.7
,2020-08-16,10.1,13.9,12.0,1.4,,S,56,21:33,12.0,95,7,SSE,11,1014.9,12.0,92,7,S,28,1011.8
,2020-08-17,9.6,14.8,10.4,1.0,,SSW,35,01:51,11.2,90,7,NNW,13,1005.6,12.7,83,7,ESE,11,1002.3
,2020-08-18,6.3,14.6,0,0.6,,NW,26,12:32,8.5,87,6,NNW,9,996.7,14.0,58,7,N,13,991.0
,2020-08-19,5.5,14.7,0,1.4,,N,37,10:07,7.2,79,5,NNW,19,986.1,13.5,54,6,SE,6,983.3
,2020-08-20,6.0,14.2,0.2,1.4,,NW,54,23:13,9.2,81,4,NW,11,990.1,13.0,47,6,NW,28,989.0
,2020-08-21,4.4,10.8,0.6,2.8,,NNW,50,03:11,5.6,72,6,N,20,989.8,9.2,63,6,NNE,6,988.4
,2020-08-22,1.5,11.9,0.6,1.0,,SSW,54,21:41,4.1,86,2,NNW,15,998.0,10.5,66,7,SSW,28,999.7
,2020-08-23,4.1,,17.0,37.4,,,,,9.9,76,7,SSW,22,1005.7,9.6,84,7,SW,20,1007.1
