"Daily Weather Observations for Hobart, Tasmania for December 2020"
"Prepared at 13:03 UTC on Thursday 11 November 2021   IDCJDW7021.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,15.7,26.0,0,6.8,,NW,93,17:48,20.3,55,7,N,11,997.3,18.2,71,7,WNW,30,992.5
,2020-12-2,7.5,18.4,11.0,6.4,,W,96,03:53,11.6,50,6,W,31,1008.6,17.3,33,3,S,20,1013.5
,2020-12-3,9.8,20.5,0,7.6,,NW,50,14:48,14.4,48,6,NW,28,1016.8,18.1,54,7,WNW,22,1014.6
,2020-12-4,12.0,19.8,0,4.4,,W,63,09:36,14.6,57,7,NW,28,1006.8,18.3,35,4,S,11,1008.0
,2020-12-5,10.9,21.5,0,8.0,,NNW,46,14:51,16.4,58,3,N,17,1003.5,21.4,31,8,NNW,17,993.7
,2020-12-6,11.2,16.6,8.0,5.2,,NW,70,12:20,12.1,52,4,WNW,48,985.5,14.5,50,4,N,20,987.0
,2020-12-7,7.9,17.6,1.4,4.6,,WSW,56,16:30,10.5,75,7,NW,17,992.1,15.5,48,6,SSW,9,995.9
,2020-12-8,7.0,17.6,0,5.0,,NW,61,14:20,12.2,55,7,N,15,1008.7,14.9,53,7,NNW,35,1007.1
,2020-12-9,12.1,23.2,0,5.2,,NW,61,16:58,16.8,55,7,NNW,28,1010.8,20.8,42,3,NNW,24,1008.6
,2020-12-10,8.1,17.6,0.2,8.8,,SSW,48,10:56,11.6,50,5,SSW,19,1022.6,15.4,41,5,SSW,17,1024.7
,2020-12-11,8.6,19.4,0.2,5.4,,ESE,46,12:39,13.1,56,7,ESE,7,1031.3,16.1,60,1,ESE,24,1030.7
,2020-12-12,11.0,20.6,0,5.6,,SE,35,15:09,15.0,62,1,N,7,1033.5,19.1,61,1,ESE,22,1029.8
,2020-12-13,12.1,29.0,0,7.2,,NE,41,12:07,17.6,55,7,NNW,22,1026.7,28.4,18,7,NNE,24,1021.0
,2020-12-14,15.2,33.5,0,8.0,,N,50,08:19,21.0,49,1,N,24,1016.4,30.0,33,1,E,19,1011.3
,2020-12-15,20.7,29.4,0,11.0,,SE,41,10:35,27.3,34,2,N,17,1008.9,19.0,72,4,SE,24,1012.4
,2020-12-16,11.9,15.5,0,8.4,,S,31,06:01,13.3,56,7,SE,20,1022.7,14.7,56,7,SE,20,1020.7
,2020-12-17,11.1,16.2,4.8,4.8,,SSW,20,11:26,11.8,94,8,E,6,1009.7,15.2,84,7,ENE,9,1004.7
,2020-12-18,11.8,20.3,6.4,2.2,,SW,48,16:16,15.0,81,7,NNE,6,1004.5,17.4,64,6,NW,17,1006.0
,2020-12-19,10.9,16.8,0.6,3.2,,SW,41,08:37,14.5,42,6,SW,20,1017.2,12.2,71,6,SE,17,1018.0
,2020-12-20,10.1,17.2,0.8,3.2,,NE,30,17:28,13.0,67,8,SSW,6,1020.0,16.2,56,7,NE,11,1018.0
,2020-12-21,9.4,19.4,0.2,3.8,,ESE,35,13:31,16.6,57,1,NE,9,1015.1,17.5,59,7,SE,22,1011.1
,2020-12-22,14.0,18.0,0,4.6,,SSW,30,08:49,15.8,79,8,SSW,19,1008.0,16.8,89,7,SE,9,1006.8
,2020-12-23,13.3,20.3,34.0,1.4,,NW,50,12:54,16.9,54,2,NNW,19,1011.6,17.1,69,7,SSW,19,1011.0
,2020-12-24,10.7,18.4,0.8,4.4,,WSW,63,12:57,13.9,52,6,NNW,13,1013.9,15.8,47,3,SW,24,1013.2
,2020-12-25,8.9,17.6,0.4,3.8,,SSW,39,11:22,14.6,42,3,SW,15,1022.2,16.0,47,2,ESE,20,1021.3
,2020-12-26,9.1,23.3,0,5.8,,N,46,13:11,15.7,51,2,NNW,15,1020.5,22.2,32,3,N,24,1014.8
,2020-12-27,14.1,26.4,0,7.0,,N,80,14:15,19.4,46,6,N,19,1003.6,25.9,36,7,N,37,996.4
,2020-12-28,7.7,20.9,3.0,6.6,,NNW,35,05:50,12.5,53,1,W,2,1009.6,20.2,31,7,WNW,17,1008.9
,2020-12-29,11.6,22.9,0,4.0,,NNW,57,05:08,17.3,49,3,NW,28,1011.7,21.3,43,7,NW,24,1012.1
,2020-12-30,10.6,21.4,0,4.8,,SSE,48,12:23,16.9,59,5,NNW,15,1018.8,17.9,61,5,SSE,28,1019.4
,2020-12-31,11.2,15.9,0.4,6.6,,SSE,33,12:09,12.6,81,8,SSW,20,1026.3,14.7,60,7,SSE,19,1027.8
