"Daily Weather Observations for Hobart, Tasmania for May 2021"
"Prepared at 16:03 UTC on Tuesday  7 December 2021   IDCJDW7021.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,8.8,23.2,0,1.2,,,,,12.8,70,6,NW,15,1026.3,22.5,36,6,NNW,9,1024.0
,2021-05-2,,,,2.8,,,,,,,7,,,,,,7,,,
,2021-05-3,,,,2.2,,,,,,,7,,,1014.7,10.6,84,7,S,19,1017.8
,2021-05-4,4.3,14.9,,3.0,,NNW,31,14:17,7.3,82,1,NNW,13,1022.7,13.2,53,3,NNW,20,1021.4
,2021-05-5,6.8,17.8,0,0.6,,NNW,30,10:54,10.8,78,1,NW,15,1025.7,15.9,62,7,SE,11,1025.3
,2021-05-6,10.8,18.5,0,1.0,,NNE,33,16:35,13.0,69,7,N,13,1027.5,18.1,51,1,NNE,17,1022.4
,2021-05-7,11.2,21.1,0,1.4,,N,37,12:06,15.5,72,7,N,20,1013.9,20.5,58,7,NNW,22,1009.0
,2021-05-8,12.3,19.2,0.2,1.8,,WNW,52,12:36,15.9,66,5,NNW,20,1005.2,16.7,57,6,SSW,22,1005.9
,2021-05-9,7.6,17.3,0,3.2,,NW,67,11:21,10.8,59,1,NNW,20,1011.3,16.9,47,7,NW,30,1006.2
,2021-05-10,10.8,17.5,0,4.0,,NNW,46,07:15,15.9,58,7,NW,19,1001.6,9.5,90,8,S,15,1007.2
,2021-05-11,6.2,11.3,3.2,1.8,,SSW,41,01:12,8.0,60,7,SSW,19,1025.6,10.4,46,2,SSE,13,1027.5
,2021-05-12,6.8,14.7,0.2,1.2,,N,31,08:59,8.9,65,6,N,19,1029.3,14.0,61,7,NNW,15,1023.4
,2021-05-13,8.8,16.3,0,1.4,,SW,52,13:41,12.0,72,7,NW,15,1004.3,12.0,60,8,N,19,1001.8
,2021-05-14,6.1,11.2,0,1.6,,N,43,09:03,8.6,66,2,NNW,24,1001.5,10.2,56,6,SW,15,1004.6
,2021-05-15,2.7,12.2,0.2,1.2,,NNW,50,22:27,7.9,65,3,WSW,13,1013.0,11.7,46,5,WNW,15,1013.4
,2021-05-16,7.7,15.8,0,2.2,,W,72,17:07,10.2,73,5,N,19,1008.9,12.7,56,6,NW,22,1004.9
,2021-05-17,6.0,14.3,4.0,2.6,,NW,39,17:04,8.8,62,5,S,7,1016.5,11.6,49,5,SW,9,1018.3
,2021-05-18,6.7,18.0,0,2.0,,NNW,65,21:18,12.4,65,1,S,7,1020.6,16.9,50,1,NNW,24,1018.2
,2021-05-19,11.3,15.9,0,2.8,,NNW,52,08:23,14.1,55,7,NNW,31,1019.0,15.4,58,7,NW,19,1017.3
,2021-05-20,13.4,14.9,0,2.2,,NNW,76,03:56,13.5,40,,WNW,39,1014.8,13.9,40,4,NNW,19,1019.9
,2021-05-21,8.2,15.7,0,3.6,,NW,61,09:48,11.1,57,6,NW,35,1026.7,15.5,43,6,NNW,19,1024.3
,2021-05-22,6.3,20.8,0,2.6,,NNW,41,15:50,8.0,78,1,NNE,7,1022.4,20.4,37,1,NW,19,1017.5
,2021-05-23,8.0,17.5,0,1.8,,NNW,24,00:31,12.0,81,3,NW,9,1028.0,16.0,57,5,ESE,7,1026.7
,2021-05-24,6.8,13.9,0,0.4,,NNW,41,05:52,7.9,79,7,NNW,24,1027.9,13.1,65,8,NNW,19,1024.2
,2021-05-25,7.9,18.1,0,1.2,,NW,59,23:13,11.5,73,7,NNW,19,1014.4,17.6,51,7,N,22,1006.5
,2021-05-26,9.7,14.3,0.4,1.4,,SW,67,12:29,11.1,71,7,N,24,999.8,12.8,40,3,W,19,1005.8
,2021-05-27,8.0,11.9,0.8,1.8,,W,56,13:12,9.8,51,2,NNE,13,1014.2,9.0,64,7,SW,24,1014.8
,2021-05-28,4.8,10.6,3.6,2.0,,SW,54,00:44,7.7,66,5,SSW,19,1028.0,9.9,52,3,WSW,13,1030.6
,2021-05-29,4.1,11.4,0,0.8,,SW,35,11:58,4.9,74,7,NW,11,1034.2,9.9,53,7,SSW,15,1032.8
,2021-05-30,4.6,12.7,0,1.2,,NNW,26,09:22,8.2,70,7,NW,15,1030.2,12.3,58,7,WNW,13,1027.2
,2021-05-31,2.4,13.5,0,1.0,,NW,33,09:12,3.3,96,3,NW,17,1022.9,12.3,52,7,NNW,9,1017.9
