"Daily Weather Observations for Hobart, Tasmania for June 2021"
"Prepared at 13:03 UTC on Monday  6 December 2021   IDCJDW7021.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,3.3,15.1,0,1.8,,NW,56,04:07,11.2,60,7,N,26,1015.1,14.6,59,5,N,20,1014.2
,2021-06-2,9.8,16.6,0,1.6,,NNW,48,00:17,10.4,62,7,NNW,24,1015.3,15.1,44,7,WNW,9,1012.7
,2021-06-3,8.8,15.1,0,1.8,,NNW,41,00:12,10.3,71,7,NNW,20,1010.8,14.9,61,7,WNW,19,1007.0
,2021-06-4,6.7,10.7,0.4,1.8,,WSW,52,13:58,8.6,59,1,W,19,1009.2,8.2,48,1,W,19,1011.2
,2021-06-5,5.0,16.2,0.6,2.0,,NNW,67,14:50,9.4,58,7,N,33,1008.2,16.1,51,7,NW,37,999.2
,2021-06-6,6.1,12.1,2.8,0.8,,NNW,28,15:52,6.9,79,7,ENE,7,1017.1,11.3,62,7,NW,9,1013.6
,2021-06-7,6.5,18.1,0.6,0.8,,NNW,85,14:00,12.0,69,7,NNW,9,1006.3,17.4,40,7,NNW,46,1000.0
,2021-06-8,8.2,16.1,0,2.8,,NNW,41,00:19,9.6,85,7,E,6,1001.5,13.0,64,7,SSW,9,1003.8
,2021-06-9,9.6,10.5,2.8,0.8,,SSW,57,07:01,9.9,93,8,SSW,31,1017.5,8.9,92,8,S,33,1020.1
,2021-06-10,7.9,13.0,4.0,0.6,,S,54,07:29,10.1,85,8,S,33,1024.9,11.0,95,8,S,26,1021.8
,2021-06-11,10.1,13.5,11.8,0.6,,S,39,18:14,12.9,99,8,SE,19,1020.6,13.1,97,8,SSW,15,1016.7
,2021-06-12,12.6,14.2,7.6,0.4,,SSW,41,03:27,13.0,99,8,SSW,22,1008.8,13.7,97,7,SSW,19,1007.7
,2021-06-13,11.6,15.3,3.4,0.2,,SSE,26,00:50,12.4,86,8,SW,7,1014.3,12.3,88,7,SE,7,1014.8
,2021-06-14,10.7,13.7,0.2,0.8,,N,15,12:21,10.9,99,8,NNE,6,1017.4,12.8,73,7,NE,9,1016.0
,2021-06-15,10.0,12.8,0.2,0.0,,NE,11,10:39,10.8,97,7, ,Calm,1018.6,12.3,85,7,SE,6,1016.8
,2021-06-16,6.5,12.6,0,0.6,,NNW,17,07:39,7.3,99,7,N,7,1016.8,11.0,85,7,ESE,6,1013.2
,2021-06-17,7.3,12.2,1.8,0.2,,SW,37,14:53,10.9,93,8,S,11,1009.4,11.1,93,8,SW,22,1007.9
,2021-06-18,10.7,13.9,22.0,1.0,,S,30,11:34,11.4,94,5,SSW,15,1015.0,12.5,75,3,SSE,19,1016.8
,2021-06-19,7.1,14.1,0.6,1.2,,S,30,17:05,8.6,92,3,N,7,1025.6,11.4,78,6,ESE,11,1025.9
,2021-06-20,7.3,10.1,0,0.4,,NNW,24,13:48,8.0,78,7,NNW,13,1029.1,9.7,70,1,NNW,15,1027.3
,2021-06-21,2.3,12.6,0.2,0.6,,NNW,30,08:24,4.2,93,1,NW,20,1029.4,11.4,61,1,NNW,13,1027.2
,2021-06-22,2.7,8.7,0,0.6,,NNW,31,03:49,3.7,94,7,NNW,19,1030.2,8.2,75,7,NNW,13,1027.5
,2021-06-23,3.3,9.2,0,0.4,,NW,39,06:37,6.2,82,7,NNW,24,1019.8,8.9,74,7,NNW,17,1012.7
,2021-06-24,5.8,15.6,0,0.6,,NNW,30,13:51,7.9,83,1,NNW,19,1005.8,14.1,57,7,NW,13,1004.4
,2021-06-25,5.6,14.1,0,0.6,,NNW,28,11:17,7.2,87,7,NNW,11,1011.7,12.3,68,1,NW,6,1010.4
,2021-06-26,4.8,11.9,0,0.0,,NNW,50,13:48,6.1,88,1, ,Calm,1012.7,11.7,54,1,N,28,1009.2
,2021-06-27,6.1,13.4,0.8,0.8,,SW,39,01:57,10.0,64,3,NNW,19,1018.1,12.2,60,7,NNW,20,1021.1
,2021-06-28,3.9,13.6,0,2.4,,NW,20,04:50,6.5,85,1,NNW,13,1031.0,12.9,59,1,NNW,7,1030.1
,2021-06-29,2.3,11.5,0,0.8,,NW,31,22:53,4.2,95,1,WNW,7,1033.2,11.3,63,1,N,7,1030.6
,2021-06-30,2.8,14.1,0,0.8,,NNW,44,07:23,5.2,82,3,NNW,24,1026.0,14.1,55,5,NNW,13,1022.0
