"Daily Weather Observations for Hobart, Tasmania for September 2021"
"Prepared at 13:04 UTC on Friday  3 December 2021   IDCJDW7021.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,9.2,18.4,2.8,2.8,,WNW,69,02:48,12.0,54,1,NNW,15,1021.8,18.3,37,4,NNW,24,1018.9
,2021-09-2,9.9,26.0,0,5.0,,NNW,80,13:37,16.9,53,5,NNW,6,1015.9,25.6,20,0,NNW,39,1010.7
,2021-09-3,15.3,15.4,0,5.6,,NNW,41,00:19,15.3,64,8,NNW,17,1011.7,12.5,88,8,NW,7,1011.1
,2021-09-4,5.1,14.0,6.0,1.4,,SE,35,13:52,9.9,70,1,ESE,4,1019.7,10.0,81,6,SE,19,1020.2
,2021-09-5,5.3,13.6,3.8,2.6,,SSW,56,23:13,9.3,78,2,NNW,11,1019.1,13.0,49,6,E,9,1013.9
,2021-09-6,7.6,16.0,0.4,1.6,,NW,67,17:30,11.0,50,1,NNW,19,1023.6,14.6,38,4,NW,33,1020.0
,2021-09-7,9.4,13.7,0,4.8,,SW,109,03:55,10.8,52,5,SW,33,1018.3,12.4,45,5,W,20,1021.8
,2021-09-8,7.8,18.9,0,3.6,,WNW,69,13:26,13.1,56,2,N,22,1018.5,17.0,45,7,WNW,35,1014.4
,2021-09-9,11.9,17.8,0,7.2,,W,91,20:17,17.7,47,7,NW,50,1001.9,10.6,80,8,NW,15,1002.6
,2021-09-10,5.7,15.5,21.6,3.0,,WSW,81,05:15,11.6,50,3,NNW,17,1015.3,12.6,52,7,NW,19,1014.2
,2021-09-11,6.9,19.4,0,2.8,,NW,54,17:35,11.3,62,1,N,17,997.0,18.3,45,7,W,17,991.4
,2021-09-12,6.1,13.9,6.2,3.6,,SW,54,16:09,9.3,65,2,NNW,26,997.3,9.9,54,6,WSW,6,1000.9
,2021-09-13,5.5,11.0,4.2,1.6,,SSW,43,05:07,8.0,69,7,SSW,24,1020.3,9.2,64,6,SE,22,1023.3
,2021-09-14,2.1,15.1,0.2,1.2,,NNW,24,08:49,7.8,70,1,NNW,17,1028.5,11.9,59,6,SE,13,1026.1
,2021-09-15,6.4,12.6,0,2.4,,NW,22,11:33,9.9,74,7,NNE,4,1028.1,11.8,52,7,SE,13,1026.0
,2021-09-16,3.1,13.7,0,1.8,,SE,30,15:32,9.4,66,1,NNW,11,1026.2,12.5,55,2,SE,17,1022.8
,2021-09-17,5.0,15.2,0,1.6,,N,39,17:06,10.0,73,1,NNW,17,1017.2,14.0,48,7,N,17,1010.4
,2021-09-18,7.5,15.3,3.2,2.4,,NW,67,09:36,12.4,63,4,NNW,33,998.6,12.4,51,6,NW,31,1000.2
,2021-09-19,5.8,17.9,1.2,4.2,,NNW,80,07:33,14.0,55,6,NW,46,998.1,16.0,49,4,NW,30,997.3
,2021-09-20,5.8,13.2,3.4,3.8,,NW,61,07:09,7.5,76,6,NW,30,997.6,12.1,50,7,NW,26,999.1
,2021-09-21,5.6,17.2,0.6,3.0,,NNW,52,20:44,9.4,53,6,NW,15,1017.1,12.5,53,7,NNW,28,1015.1
,2021-09-22,9.1,22.2,0,4.0,,NNW,61,20:45,17.2,47,6,NNW,26,1015.4,21.4,38,1,NW,28,1011.8
,2021-09-23,11.8,17.7,0,7.0,,WNW,94,04:26,16.1,50,5,WNW,44,1001.3,14.2,38,2,W,39,1002.4
,2021-09-24,7.3,13.7,0,7.0,,WNW,76,20:13,11.4,57,2,NW,30,994.5,6.8,81,8,NW,20,992.4
,2021-09-25,2.4,11.1,16.4,3.4,,W,63,00:29,8.5,57,2,NW,9,1012.7,9.7,55,3,SW,20,1016.7
,2021-09-26,1.8,13.7,0.6,1.6,,NE,35,11:44,9.5,59,1,NNW,13,1027.3,12.3,52,6,ESE,11,1025.0
,2021-09-27,3.4,16.9,0,3.2,,NNW,41,11:04,9.1,63,1,NNW,28,1021.4,13.4,50,4,ESE,19,1017.1
,2021-09-28,6.4,15.6,0,3.2,,WNW,28,07:30,12.1,63,7,NNW,11,1018.0,14.8,49,7,ENE,6,1015.9
,2021-09-29,8.8,,1.0,2.4,,,,,10.2,67,7,SSE,9,1023.0,11.8,64,6,SE,22,1021.9
,2021-09-30,8.4,12.7,,3.2,,SSW,30,23:57,10.8,74,7,SE,9,1022.4,12.1,72,7,ESE,15,1019.2
