"Daily Weather Observations for Hobart, Tasmania for February 2022"
"Prepared at 13:03 UTC on Saturday 10 December 2022   IDCJDW7021.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,17.3,30.2,0,6.2,,WSW,76,15:36,24.9,61,1,NNE,9,994.8,29.1,26,1,NW,26,992.6
,2022-02-2,10.4,19.8,0,9.4,,SSW,61,09:36,13.2,48,7,SSE,7,1007.8,18.2,37,7,SSW,13,1007.8
,2022-02-3,11.7,17.3,0.4,3.6,,SSE,56,11:50,16.2,49,7,SW,17,1010.7,16.7,57,6,SSE,35,1016.1
,2022-02-4,8.9,19.4,3.8,5.6,,SSE,35,17:50,14.6,60,6,N,7,1023.7,18.2,50,1,ESE,17,1023.3
,2022-02-5,14.5,19.7,0,5.0,,SSW,35,19:09,16.4,75,7,NE,2,1026.7,18.3,64,5,SE,20,1026.6
,2022-02-6,13.5,21.6,0,5.4,,SE,30,16:25,16.2,64,7,E,6,1031.4,20.7,48,1,SE,20,1030.3
,2022-02-7,10.9,22.9,0.2,5.8,,ESE,33,14:19,16.2,66,1,NNW,17,1030.3,21.8,55,1,ESE,24,1026.5
,2022-02-8,15.4,23.5,0,6.2,,ESE,39,14:17,17.5,62,7,NE,15,1022.3,21.3,61,6,ESE,22,1017.3
,2022-02-9,13.0,26.7,0,3.6,,N,33,08:44,17.5,65,1,NNW,20,1008.4,24.4,47,7,SE,19,1005.0
,2022-02-10,15.5,25.1,0,7.8,,NW,41,12:17,20.4,49,2,NNE,11,1009.9,22.0,35,7,NW,15,1011.6
,2022-02-11,12.7,21.5,0,7.2,,SSW,50,16:31,17.5,45,2,WSW,15,1021.7,19.7,44,3,S,20,1021.8
,2022-02-12,10.2,20.1,0,7.2,,ESE,30,15:27,12.5,63,7,N,9,1026.4,19.0,47,5,ESE,17,1023.4
,2022-02-13,12.5,27.4,0,5.6,,NNW,61,14:08,16.4,60,7,N,22,1016.9,27.1,37,7,NNW,33,1011.5
,2022-02-14,15.7,18.8,0,7.0,,SE,30,16:27,16.1,75,8,SSW,13,1021.6,18.2,66,8,ESE,17,1021.9
,2022-02-15,15.1,20.7,0,1.0,,SSE,33,16:08,16.6,67,8,SSE,11,1025.5,19.6,56,1,SE,17,1024.0
,2022-02-16,16.2,27.9,0,6.2,,NW,48,18:30,18.1,72,7,NNW,11,1017.1,24.1,57,7,SE,15,1009.8
,2022-02-17,16.4,25.1,0.2,7.2,,NW,56,10:46,19.1,38,6,WNW,24,1004.3,23.9,21,1,WNW,28,1002.9
,2022-02-18,14.7,19.0,0,10.2,,W,63,04:38,15.6,46,5,SW,22,1004.0,17.9,40,4,WSW,28,1010.6
,2022-02-19,10.7,28.0,0,7.0,,NW,46,11:10,15.1,49,1,N,19,1019.0,26.5,26,6,WNW,22,1013.0
,2022-02-20,12.3,26.5,0,6.4,,NW,65,19:51,15.3,67,8,NNW,13,1005.4,24.9,29,6,NNW,26,997.8
,2022-02-21,11.2,19.8,0,8.6,,NW,67,12:32,15.1,45,5,NW,24,1002.0,17.7,40,7,WNW,19,1006.5
,2022-02-22,9.3,20.0,0,4.4,,ESE,37,16:00,13.3,55,3,NNW,9,1021.8,18.3,48,1,SE,24,1020.7
,2022-02-23,13.1,29.8,0,5.0,,NNW,46,15:40,18.5,62,1,N,13,1020.9,27.9,45,5,N,24,1016.2
,2022-02-24,17.3,22.0,0,6.4,,SE,48,15:14,17.7,82,7,ESE,13,1019.6,20.7,55,1,SE,30,1019.0
,2022-02-25,12.7,17.4,0,4.0,,SE,35,14:59,13.4,80,8,S,17,1023.6,16.8,55,5,SE,22,1024.2
,2022-02-26,13.4,20.4,0,4.0,,E,35,12:59,16.8,52,7,NW,13,1026.9,17.9,66,7,E,24,1024.7
,2022-02-27,15.4,18.8,0,6.0,,SSE,28,13:39,17.3,73,8,E,6,1023.4,17.8,91,8,S,15,1020.5
,2022-02-28,15.5,20.1,0.8,1.8,,SE,31,09:08,18.8,88,7,SE,11,1020.6,18.3,83,8,ESE,20,1020.6
