"Daily Weather Observations for Hobart, Tasmania for March 2022"
"Prepared at 13:03 UTC on Friday  9 December 2022   IDCJDW7021.202203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-03-1,16.7,23.0,8.8,1.0,,ENE,44,15:19,18.8,96,7,SSE,9,1022.8,21.2,69,7,NE,24,1022.6
,2022-03-2,15.5,24.0,2.4,3.4,,ENE,39,15:08,16.7,91,7,N,6,1023.0,23.7,54,5,NE,19,1020.7
,2022-03-3,16.7,26.7,0.2,3.8,,NE,35,16:03,21.4,68,3,NNW,9,1021.1,25.4,54,3,NE,19,1019.1
,2022-03-4,16.2,26.6,0,5.6,,NNW,43,08:37,19.2,72,8,NNW,20,1015.6,25.2,48,7,NNE,13,1011.8
,2022-03-5,18.3,25.5,0,4.0,,SSW,57,20:10,20.9,70,6,NNW,2,1007.3,23.6,54,6,SSW,20,1006.6
,2022-03-6,12.6,16.5,3.8,6.6,,SSW,54,23:25,13.7,52,7,S,20,1022.9,14.9,49,7,SSE,26,1024.9
,2022-03-7,9.8,21.1,0.2,5.4,,NNW,35,11:22,13.3,59,7,NNW,15,1022.0,20.4,38,1,ENE,15,1017.0
,2022-03-8,11.1,16.7,0.2,4.0,,SSW,48,08:11,12.6,61,7,SW,30,1021.4,15.1,54,4,SE,28,1024.1
,2022-03-9,6.9,17.7,0,4.0,,SE,33,15:28,10.9,68,1,NNW,9,1027.1,17.2,49,3,SE,20,1024.7
,2022-03-10,9.4,19.8,0,6.0,,SSW,41,11:03,12.1,71,7,NNW,13,1021.9,16.9,56,7,SSW,19,1019.8
,2022-03-11,12.1,20.3,0,4.8,,NNW,33,10:44,14.1,60,7,NW,6,1019.4,19.2,46,7,SW,13,1018.0
,2022-03-12,11.0,22.2,0,3.2,,SE,31,16:18,15.8,59,1,N,9,1022.4,21.2,41,3,ESE,13,1021.4
,2022-03-13,11.6,26.4,0,5.6,,SE,39,16:14,16.1,65,0,NW,9,1022.9,22.8,41,1,ESE,22,1019.6
,2022-03-14,14.4,17.6,0,4.0,,SSW,31,06:37,14.5,87,8,SW,17,1027.2,15.3,91,8,S,20,1027.8
,2022-03-15,14.5,18.9,5.2,2.6,,N,33,22:40,16.0,91,8,S,9,1028.2,18.1,90,8,S,7,1025.5
,2022-03-16,15.0,23.6,2.4,1.2,,ENE,37,15:17,17.0,83,7,N,4,1023.1,22.1,57,7,NE,20,1019.7
,2022-03-17,17.0,29.2,0,4.4,,WNW,43,16:58,19.5,73,2,NNW,17,1014.7,29.0,42,8,NW,17,1009.4
,2022-03-18,13.6,18.0,0.4,4.4,,SSW,43,05:12,15.4,62,7,SW,7,1021.7,17.3,44,4,SSE,20,1023.7
,2022-03-19,8.7,19.8,0,2.6,,ESE,26,16:08,11.5,73,2,NNW,17,1025.2,19.1,51,1,SE,15,1022.4
,2022-03-20,11.5,22.6,0,5.6,,SSE,37,16:06,13.5,78,7,NNW,9,1018.7,21.4,48,7,N,4,1018.5
,2022-03-21,12.3,23.2,1.8,2.6,,N,39,09:50,13.7,89,8,NNW,17,1018.9,20.5,66,7,E,13,1013.7
,2022-03-22,13.7,17.4,0.2,2.8,,SW,33,20:25,16.3,91,7,SE,7,1008.4,16.0,83,8,NW,15,1004.8
,2022-03-23,11.5,18.2,4.4,2.0,,WNW,63,13:36,12.4,60,7,NNW,13,1006.4,16.8,41,7,SSW,13,1008.1
,2022-03-24,11.2,21.4,0.2,4.0,,NW,50,14:51,15.7,56,7,NNW,19,1012.7,19.8,43,7,NW,24,1011.9
,2022-03-25,11.6,22.8,0,5.2,,NNW,35,23:35,15.9,69,1, ,Calm,1019.0,20.9,44,1,ESE,9,1019.4
,2022-03-26,10.5,23.3,0,4.6,,ESE,26,13:34,13.5,79,1,NNW,13,1024.5,21.7,58,1,ESE,17,1021.7
,2022-03-27,12.3,27.1,0,3.8,,N,54,16:42,13.4,87,1,N,13,1020.6,26.6,35,1,N,22,1014.5
,2022-03-28,13.3,21.0,0,6.6,,SSE,35,13:55,17.1,66,7,ENE,6,1012.3,18.7,73,4,S,17,1013.4
,2022-03-29,14.1,24.2,0,2.8,,N,35,10:43,16.7,67,4,NNW,13,1017.0,21.5,55,3,SE,17,1013.0
,2022-03-30,11.7,16.9,0.2,4.0,,NNE,50,01:47,13.9,70,7,WNW,4,1015.7,13.7,72,7,S,19,1017.7
,2022-03-31,9.3,15.1,0.2,2.0,,SSW,44,09:09,11.5,60,7,SSW,17,1028.6,13.8,64,6,SSE,24,1029.9
