"Daily Weather Observations for Hobart, Tasmania for April 2022"
"Prepared at 13:03 UTC on Thursday  8 December 2022   IDCJDW7021.202204"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-04-1,11.4,16.2,0,2.4,,SSW,37,09:01,12.4,64,8,SSW,13,1033.5,15.6,68,7,SE,19,1031.5
,2022-04-2,11.6,14.8,0.4,1.0,,SSE,44,11:49,13.2,85,7,S,22,1029.0,14.1,69,7,SE,28,1026.6
,2022-04-3,11.1,16.9,0.6,2.8,,SW,24,04:01,14.6,71,8,NNW,7,1021.3,16.0,64,7,SE,11,1016.6
,2022-04-4,13.2,20.4,0.4,1.0,,ESE,26,15:15,16.5,76,6,NNW,11,1009.8,17.4,81,7,E,17,1008.0
,2022-04-5,11.2,15.7,0.4,3.4,,SSW,52,04:34,13.9,62,7,SW,13,1017.7,13.9,59,8,S,20,1019.4
,2022-04-6,10.0,17.7,0.2,3.8,,NW,24,11:33,12.5,51,7,ENE,6,1027.2,16.4,50,1,SE,13,1025.4
,2022-04-7,8.1,20.7,0,3.2,,NW,28,03:58,13.6,65,4,NNW,9,1030.0,18.2,51,3,SE,13,1028.4
,2022-04-8,9.2,21.9,0,3.4,,NNW,31,08:01,13.0,70,1,NNW,20,1031.0,19.5,48,1,SE,15,1027.4
,2022-04-9,10.0,24.5,0,3.4,,N,54,16:00,13.0,71,4,NNW,26,1025.2,23.2,45,4,N,28,1020.0
,2022-04-10,13.0,26.7,0,4.2,,NNW,59,11:04,19.9,67,7,SE,7,1013.7,24.7,40,7,WNW,19,1009.2
,2022-04-11,11.5,17.8,1.4,4.4,,W,46,11:45,12.5,60,6,SW,7,1018.6,16.6,37,5,WSW,15,1018.3
,2022-04-12,8.6,,0.2,3.8,,,,,14.3,58,3,NNW,22,1020.3,17.1,57,7,NW,20,1018.7
,2022-04-13,9.2,22.8,,3.2,,NNW,31,11:12,16.1,61,1,NNE,6,1023.2,19.0,52,1,ESE,13,1021.5
,2022-04-14,9.6,19.9,0,4.0,,N,46,09:59,12.5,73,7,NNE,7,1022.6,17.7,55,7,ESE,7,1020.4
,2022-04-15,12.5,18.9,0,2.4,,NNW,52,09:27,16.7,59,8,NNW,30,1016.0,18.8,60,7,NNW,24,1015.1
,2022-04-16,10.1,19.5,0.2,2.4,,SSW,28,16:51,13.6,62,8,NNW,13,1021.9,18.3,59,6,SE,13,1017.4
,2022-04-17,10.6,26.0,0,1.8,,NNW,78,14:37,13.9,78,8,N,6,1011.5,25.0,35,7,NNW,41,1004.3
,2022-04-18,12.6,15.7,1.8,4.2,,ESE,31,05:15,13.5,84,7,SSE,9,1014.8,14.8,59,7,SE,19,1015.7
,2022-04-19,11.0,16.3,0,2.4,,SW,20,16:48,14.1,71,7,NNW,9,1015.3,14.8,69,8,ESE,7,1009.8
,2022-04-20,10.8,18.7,0.4,2.2,,WSW,65,21:38,16.0,61,2,NNW,19,1007.6,15.4,51,7,NNW,20,1007.8
,2022-04-21,7.4,14.4,1.2,2.6,,WSW,56,02:36,10.5,60,4,WSW,9,1023.6,13.1,49,4,SW,20,1026.3
,2022-04-22,8.0,17.8,0.2,2.6,,N,31,11:09,11.1,67,6,NNW,17,1033.0,15.2,50,7,SE,9,1031.5
,2022-04-23,6.5,19.2,0,2.6,,NNW,31,13:05,11.2,71,1,NNW,15,1032.3,18.0,47,3,N,15,1029.5
,2022-04-24,7.3,19.3,0,2.6,,ESE,20,15:31,11.9,75,1,NNW,9,1033.6,17.3,58,1,ESE,11,1030.8
,2022-04-25,11.0,14.4,0,2.6,,NNW,24,09:11,11.1,87,8,NNW,17,1031.1,13.5,78,7,ESE,7,1028.5
,2022-04-26,8.3,16.6,0,0.8,,NW,20,03:27,10.9,88,3,NNW,13,1026.6,16.0,66,7,ESE,13,1023.5
,2022-04-27,8.0,16.0,0,1.6,,NNW,22,08:16,10.7,86,7,NNW,11,1023.6,14.9,75,8, ,Calm,1021.1
,2022-04-28,10.7,21.6,10.0,0.0,,ENE,17,16:35,14.5,99,5,N,6,1018.1,20.2,73,7,ESE,11,1014.2
,2022-04-29,13.4,22.5,0,0.2,,WNW,41,19:42,15.3,84,1,NNW,17,1013.0,21.2,66,7,WNW,9,1009.6
,2022-04-30,13.2,17.2,3.6,2.8,,WSW,43,14:12,13.8,63,7,NNW,19,1005.5,15.4,46,5,NW,26,1007.0
