"Daily Weather Observations for Hobart, Tasmania for June 2022"
"Prepared at 13:03 UTC on Tuesday  6 December 2022   IDCJDW7021.202206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-06-1,5.1,11.2,7.6,1.6,,SW,41,10:22,9.2,78,3,SSW,11,1001.7,9.7,85,7,SSW,11,1007.8
,2022-06-2,3.3,11.2,2.4,0.0,,NW,33,22:00,5.6,80,1,N,11,1017.8,9.6,62,7,NNW,15,1015.5
,2022-06-3,5.4,11.8,0,0.6,,NNW,39,05:41,7.1,75,7,NNW,13,1008.7,11.7,61,7,N,13,1003.1
,2022-06-4,6.6,13.4,0,0.4,,NNW,39,01:50,9.0,78,1,NNW,19,1001.2,12.9,58,7,WNW,9,999.6
,2022-06-5,5.1,13.7,2.2,2.8,,NNW,56,15:09,7.7,92,8,NW,13,990.8,12.2,48,6,NNW,35,988.6
,2022-06-6,7.5,11.7,0.2,1.8,,WNW,59,11:31,10.9,59,5,NNE,22,987.6,6.7,83,8,ENE,7,992.4
,2022-06-7,3.9,8.0,3.0,1.4,,WSW,61,19:37,5.8,69,6,W,13,1001.1,5.1,78,7,SW,28,1001.7
,2022-06-8,4.3,11.8,7.4,1.0,,SW,54,00:27,7.1,68,5,NNW,7,1009.5,10.5,57,3,W,19,1006.0
,2022-06-9,7.0,12.5,0.4,1.0,,WNW,106,22:19,8.2,61,6,WSW,26,1003.2,8.8,60,6,WSW,33,1003.8
,2022-06-10,6.4,10.0,0,2.6,,WSW,96,00:24,7.3,66,6,SW,24,1005.9,6.3,68,6,SW,22,1008.3
,2022-06-11,4.8,11.6,13.2,2.6,,WSW,91,13:10,7.2,79,7,SW,22,1002.5,10.7,55,7,WSW,39,997.5
,2022-06-12,3.0,8.5,7.4,1.2,,SW,63,13:22,5.8,65,4,WNW,11,1009.7,7.1,66,7,SW,19,1011.3
,2022-06-13,3.7,12.6,0.2,1.2,,N,39,13:38,6.2,72,2,WNW,11,1018.9,11.6,59,1,NNW,17,1016.3
,2022-06-14,2.4,12.4,0,1.0,,NNW,31,15:31,4.4,86,7,WNW,11,1019.4,11.6,59,7,NW,17,1016.1
,2022-06-15,4.4,9.4,0,0.8,,NNW,39,08:34,6.5,87,8,NNW,30,1012.8,9.1,83,8, ,Calm,1010.5
,2022-06-16,5.4,13.0,1.6,0.6,,NW,28,11:06,7.4,94,3,NW,15,1014.3,12.8,71,7,NNW,9,1014.9
,2022-06-17,5.0,11.8,0,0.4,,NNW,24,09:53,6.9,91,7,NW,9,1019.7,11.0,77,7,WSW,7,1019.1
,2022-06-18,6.8,14.3,3.6,1.0,,SSW,20,06:18,9.5,97,7, ,Calm,1028.2,13.0,77,1,NE,7,1028.1
,2022-06-19,7.3,15.3,0.2,0.6,,NNE,31,13:05,7.9,99,6,NNW,9,1032.1,14.1,62,1,NE,19,1029.2
,2022-06-20,7.9,13.6,0,0.0,,N,37,23:50,11.3,75,7,N,15,1024.2,13.3,66,7,NNW,17,1018.5
,2022-06-21,10.2,15.3,0,0.6,,N,35,00:01,11.0,78,7,NW,7,1013.0,14.2,58,7,NNW,11,1012.5
,2022-06-22,4.7,13.2,0,0.6,,NNW,30,22:59,6.5,86,4,N,9,1020.2,11.0,70,7,ESE,11,1018.3
,2022-06-23,6.2,16.2,0,0.8,,NW,50,12:27,8.3,81,7,S,7,1010.8,15.6,60,7,NNW,19,1004.1
,2022-06-24,8.3,14.0,3.6,1.0,,WNW,67,08:24,11.3,58,3,WNW,22,1002.4,11.7,48,1,NNW,17,1005.4
,2022-06-25,8.6,14.1,0.4,2.6,,WNW,67,05:57,10.4,69,7,N,22,1006.2,13.7,58,7,NW,19,1005.9
,2022-06-26,7.9,11.5,3.8,1.4,,NW,67,00:50,8.7,58,5,NNE,24,1014.3,10.1,54,5,NW,13,1017.3
,2022-06-27,3.0,11.4,0,0.8,,N,54,23:07,5.1,78,3,NNW,15,1028.8,10.2,56,3,NNW,15,1028.7
,2022-06-28,5.0,14.9,0,1.8,,NNW,59,04:23,10.9,67,7,NNE,17,1023.3,14.8,57,7,NNW,17,1021.1
,2022-06-29,8.3,13.5,0,0.6,,NNW,43,13:40,8.9,75,7,NNW,13,1018.9,13.4,54,8,NNW,13,1014.9
,2022-06-30,7.1,12.5,1.0,0.8,,SSW,41,04:17,7.7,73,3,SW,17,1025.5,10.2,53,6,SW,24,1026.0
