"Daily Weather Observations for Hobart, Tasmania for July 2022"
"Prepared at 13:03 UTC on Monday  5 December 2022   IDCJDW7021.202207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-07-1,2.5,11.9,0,0.8,,NNW,30,10:27,5.2,81,1,NW,17,1030.7,11.7,57,1,N,9,1028.5
,2022-07-2,2.5,12.8,0,1.0,,NNW,30,09:28,5.1,84,2,NW,17,1028.5,12.7,59,1,NW,13,1027.1
,2022-07-3,3.5,14.3,0,1.0,,NW,31,05:58,6.0,83,2,WNW,15,1029.3,13.7,59,1,N,13,1026.8
,2022-07-4,5.6,15.3,0,1.0,,NNW,33,03:26,8.0,84,1,S,6,1025.9,13.4,61,7,ENE,4,1024.2
,2022-07-5,5.6,15.8,0,1.0,,NNW,26,10:37,7.9,84,3,NNW,13,1028.0,12.6,69,2,ESE,15,1027.4
,2022-07-6,4.9,12.4,0,1.0,,NNE,33,16:57,6.0,91,7,NNW,15,1025.3,12.1,65,7,N,17,1019.8
,2022-07-7,5.9,13.7,0,0.6,,NNW,46,11:23,8.8,70,1,NNW,17,1012.0,13.3,46,1,NNW,20,1007.8
,2022-07-8,5.9,12.1,3.0,1.4,,SW,50,13:52,9.0,79,8,SSW,17,1008.3,11.4,62,8,SSW,24,1008.7
,2022-07-9,8.3,11.3,11.8,1.0,,SSE,43,07:32,9.4,89,7,SSE,22,1023.5,11.0,65,7,SSE,19,1026.4
,2022-07-10,6.2,12.4,0,0.8,,N,35,17:49,7.7,73,7,NNW,15,1031.2,12.1,53,3,NNW,17,1027.9
,2022-07-11,5.0,13.9,0,1.6,,NNW,39,03:58,5.3,82,7,NNW,26,1021.7,13.2,55,7,N,20,1017.1
,2022-07-12,5.3,12.1,0.2,1.4,,S,35,16:19,7.8,86,7,NNW,6,1016.0,11.4,69,6,SSW,13,1014.4
,2022-07-13,6.4,10.9,1.0,1.2,,SSW,33,15:08,7.1,83,7,SSW,11,1018.9,9.5,66,7,SSW,17,1019.0
,2022-07-14,1.9,12.5,0.6,0.4,,NNW,33,11:40,5.1,86,4,W,7,1023.5,11.7,65,7,NW,19,1022.2
,2022-07-15,4.9,10.7,0.4,0.8,,WNW,35,21:01,7.3,91,7,WSW,2,1021.8,10.3,83,7,WSW,2,1019.3
,2022-07-16,5.1,13.7,0,0.6,,NNW,44,15:10,6.1,83,8,NNW,11,1013.7,13.4,53,7,NNW,24,1005.2
,2022-07-17,6.1,12.4,0.4,1.8,,NW,61,11:01,11.0,70,4,NNW,24,990.9,10.4,54,1,NW,26,991.9
,2022-07-18,2.3,7.3,4.8,1.0,,SW,54,02:02,4.2,73,7,S,7,1012.8,6.1,68,7,SW,19,1019.7
,2022-07-19,3.4,9.4,1.0,0.8,,SSW,24,05:47,5.0,78,7,NNW,15,1033.4,9.1,64,7,NNW,9,1034.0
,2022-07-20,2.2,11.0,0,0.2,,NW,20,02:30,4.4,80,1,NNW,13,1036.0,9.5,57,1,NE,9,1034.6
,2022-07-21,1.1,11.5,0,0.8,,NNW,26,03:24,2.5,84,1,NNW,19,1038.6,9.8,56,1,ESE,11,1035.7
,2022-07-22,2.5,13.3,0,0.6,,NNW,39,08:53,4.6,80,1,NNW,30,1033.8,12.1,57,2,NNW,17,1029.7
,2022-07-23,4.6,15.4,0,1.2,,N,39,02:16,8.7,85,7,NE,9,1026.1,14.6,58,7,N,19,1022.6
,2022-07-24,8.4,16.2,0.2,1.0,,NNW,26,11:15,9.4,90,7,NW,7,1022.3,14.6,66,7,NW,11,1020.3
,2022-07-25,4.9,15.4,0,0.8,,NW,26,07:42,6.4,99,5,NNW,15,1018.8,13.6,70,7,SE,6,1013.1
,2022-07-26,6.4,16.8,1.4,0.6,,SW,26,18:44,11.3,96,7,WSW,4,1007.2,16.4,58,6,NNE,7,1006.0
,2022-07-27,6.2,14.9,0,1.4,,NNW,41,15:49,8.4,89,2, ,Calm,1014.1,13.3,60,6,NNW,17,1011.7
,2022-07-28,6.7,12.7,0.2,1.4,,WSW,37,08:07,8.7,66,3,WNW,11,1018.9,11.9,52,3,NNW,19,1017.3
,2022-07-29,4.5,10.5,0.4,1.0,,WSW,43,08:16,7.2,59,5,WSW,20,1024.1,8.9,64,6,SSW,15,1023.6
,2022-07-30,2.4,11.7,0,1.4,,NW,39,13:46,5.9,75,1,NW,13,1023.2,11.4,46,3,NNW,20,1018.3
,2022-07-31,4.7,12.2,0,1.8,,N,46,20:59,7.2,72,7,N,17,1013.3,11.6,65,7,NNW,15,1007.6
