"Daily Weather Observations for Hobart, Tasmania for December 2022"
"Prepared at 13:03 UTC on Tuesday  6 June 2023   IDCJDW7021.202212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-12-1,10.4,18.1,0,,,SW,39,06:07,12.8,49,,S,15,1018.3,14.6,55,,ESE,24,1017.8
,2022-12-2,10.1,20.1,0,,,S,30,14:07,15.9,56,,N,11,1019.6,18.8,52,,SE,19,1017.0
,2022-12-3,10.3,25.9,0,,,NNW,44,07:37,16.8,58,,NNW,28,1014.2,25.2,35,,ESE,15,1011.4
,2022-12-4,13.4,19.5,0,,,S,33,16:01,15.8,73,,ENE,7,1013.3,18.6,64,,SE,13,1010.0
,2022-12-5,11.7,14.2,11.8,,,S,70,06:19,11.7,93,,SSE,33,1010.1,11.5,78,,S,33,1013.0
,2022-12-6,9.9,15.2,4.2,,,SSE,44,04:15,12.3,58,,SE,24,1015.1,13.7,52,,SSE,26,1011.7
,2022-12-7,6.5,16.9,0,,,S,46,16:56,13.1,56,,N,13,1001.2,13.9,63,,SE,24,997.7
,2022-12-8,8.2,15.4,4.6,,,WSW,59,02:57,11.4,62,,WSW,26,1005.5,14.2,37,,SW,28,1009.4
,2022-12-9,7.9,15.8,0.6,,,SSW,43,08:35,13.6,61,,SW,20,1016.4,14.0,81,,S,22,1015.9
,2022-12-10,10.8,18.2,3.6,,,SE,30,16:35,14.9,65,,ENE,11,1018.0,17.8,57,,SE,17,1015.0
,2022-12-11,10.3,18.5,0,,,NNW,43,08:31,15.1,59,,N,20,1008.2,17.7,60,,NNW,22,1004.6
,2022-12-12,12.7,20.4,10.4,,,SW,52,20:39,14.2,89,,S,13,993.1,15.1,83,,SSW,17,989.8
,2022-12-13,12.0,20.8,3.4,,,NW,54,08:29,15.2,48,,NNW,26,997.1,13.7,71,,S,20,996.8
,2022-12-14,9.0,13.7,24.0,,,SSW,61,11:45,9.2,85,,SSW,19,1010.5,11.2,74,,S,24,1013.6
,2022-12-15,8.2,11.5,3.6,,,SSW,48,09:21,9.8,82,,SSW,20,1018.4,10.8,73,,S,20,1018.2
,2022-12-16,9.3,15.3,1.2,,,SSW,44,12:25,10.8,88,,S,17,1021.3,14.0,70,,SE,28,1022.0
,2022-12-17,9.6,15.6,1.4,,,SSE,44,13:56,12.0,72,,SSW,13,1026.8,13.0,71,,SSE,30,1027.0
,2022-12-18,9.4,17.2,0.2,,,ESE,35,11:45,14.5,65,,S,7,1030.1,16.6,56,,SE,24,1028.7
,2022-12-19,9.1,17.9,0,,,SE,41,12:56,14.7,63,,SE,11,1029.3,14.5,72,,SE,28,1028.2
,2022-12-20,10.2,17.4,0.2,,,ESE,28,18:06,13.8,64,,ESE,7,1027.1,16.7,62,,SE,19,1024.7
,2022-12-21,12.7,20.2,0,,,ESE,35,13:13,16.8,50,,NNE,17,1021.1,19.1,57,,ESE,22,1017.0
,2022-12-22,11.1,22.8,0,,,NNW,35,08:59,16.7,62,,NW,17,1014.2,20.1,58,,SE,20,1010.9
,2022-12-23,12.7,22.3,0,,,SSW,30,15:39,16.9,75,,E,7,1011.5,22.0,54,,SE,19,1008.0
,2022-12-24,14.4,22.4,2.0,,,NW,52,08:54,18.1,47,,NW,28,1005.1,21.5,43,,NW,22,1006.1
,2022-12-25,11.9,27.9,0.2,,,WSW,48,02:24,18.3,58,,NNW,22,1010.3,24.9,43,,ESE,24,1010.7
,2022-12-26,16.2,21.2,0,,,SE,31,13:26,17.4,77,,ESE,9,1020.6,19.9,68,,SE,20,1020.7
,2022-12-27,14.4,31.5,0,,,NNW,39,22:36,20.5,67,,N,11,1019.5,27.0,53,,SE,15,1013.9
,2022-12-28,20.5,29.3,0,,,W,87,10:50,29.0,37,,NNW,46,995.9,22.1,36,,WNW,28,1001.9
,2022-12-29,8.9,19.7,0,,,ESE,30,16:13,15.3,47,,NNE,11,1020.8,19.4,42,,ESE,19,1021.0
,2022-12-30,12.1,22.0,0,,,NE,33,16:03,18.0,54,,NNW,9,1024.1,21.2,49,,ENE,20,1020.5
,2022-12-31,14.8,28.0,4.2,,,ENE,39,15:46,19.8,74,,N,17,1018.2,27.8,48,,NE,22,1014.2
