"Daily Weather Observations for Hobart, Tasmania for January 2013"
"Prepared at 16:09 UTC on Wednesday  7 August 2013   IDCJDW7021.201301"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport."
"On average, there is slightly more sunshine at the airport than in the city."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-01-1,14.1,21.8,0,6.8,5.4,W,57,12:01,14.6,84,,SSE,11,1003.1,19.3,26,,W,30,1003.8
,2013-01-2,8.9,23.9,0.2,5.4,8.9,SW,43,10:25,12.9,48,,SW,15,1014.2,17.9,30,,NE,9,1014.0
,2013-01-3,12.9,33.8,0,6.4,9.4,NW,98,20:34,23.6,24,,N,30,1008.6,33.5,14,,NW,35,1005.6
,2013-01-4,23.4,41.8,0,15.4,7.9,NW,83,13:55,27.0,23,,NNW,35,1003.2,40.3,10,,WNW,50,999.0
,2013-01-5,17.5,25.1,0,15.4,10.4,ESE,43,12:42,21.7,41,,E,15,1010.4,21.1,47,,SE,28,1014.8
,2013-01-6,12.7,26.4,0,8.0,12.5,NW,50,22:33,19.3,48,,NE,4,1024.6,22.5,46,,SE,30,1023.0
,2013-01-7,14.3,27.9,0,6.6,10.7,ESE,43,14:22,17.6,78,,ESE,11,1021.0,19.9,67,,SE,28,1014.8
,2013-01-8,16.4,26.1,0,6.6,5.8,WNW,69,09:14,24.2,29,,NW,22,992.5,16.9,41,,WSW,31,990.4
,2013-01-9,9.1,18.2,0,7.6,9.7,WSW,76,16:56,11.3,53,,NNW,11,996.0,16.5,32,,WSW,26,995.8
,2013-01-10,11.0,22.1,0,6.8,5.3,NW,50,11:12,16.3,42,,N,11,1003.7,19.8,38,,NW,19,1005.0
,2013-01-11,14.1,27.6,1.0,5.4,12.2,WNW,65,15:45,18.5,57,,N,24,998.4,26.4,29,,NW,35,996.7
,2013-01-12,14.4,24.6,0,9.4,7.0,NW,61,12:59,17.3,50,,NW,7,1003.5,22.7,32,,NW,37,1004.2
,2013-01-13,12.9,19.5,0,9.4,3.9,WSW,65,17:01,14.9,48,,NW,13,1009.5,17.8,33,,W,24,1009.3
,2013-01-14,11.1,19.3,0,4.4,9.2,WSW,41,07:13,14.2,44,,SSW,24,1019.2,17.8,47,,SE,24,1019.0
,2013-01-15,10.0,26.0,0,6.2,7.5,NW,48,14:04,15.2,52,,N,6,1015.6,24.4,20,,NW,30,1011.7
,2013-01-16,13.5,18.4,0,6.8,5.6,NW,44,01:05,14.2,78,,SE,9,1013.9,17.3,51,,SE,24,1013.9
,2013-01-17,13.4,28.1,0,5.8,6.7,ESE,30,14:54,14.9,64,,N,19,1009.5,27.5,31,,NNE,15,1001.4
,2013-01-18,14.9,21.9,1.0,8.2,4.8,WSW,61,13:16,19.6,68,,NW,24,993.4,19.3,40,,SW,30,998.5
,2013-01-19,12.6,23.8,0.4,5.8,12.4,NW,61,09:27,16.3,43,,NNW,22,1008.4,21.7,38,,NW,24,1009.4
,2013-01-20,10.8,23.3,0,8.0,12.9,SE,31,15:34,18.1,52,,NNE,6,1016.1,21.7,46,,SE,22,1014.2
,2013-01-21,13.0,21.1,0,8.6,10.7,ESE,43,12:05,17.3,73,,ESE,13,1012.2,19.3,62,,SE,30,1008.6
,2013-01-22,13.7,22.6,0.2,8.0,6.3,NW,50,10:28,19.3,47,,NNW,13,1006.4,16.2,86,,SSW,22,1007.9
,2013-01-23,9.8,19.3,1.8,4.0,9.2,SE,41,15:43,16.0,51,,NNE,9,1020.3,18.0,48,,SE,26,1021.4
,2013-01-24,10.9,23.0,0,6.4,6.2,N,50,18:18,17.2,63,,N,9,1021.2,21.0,50,,NNE,28,1014.6
,2013-01-25,17.0,22.5,0,5.2,6.6,SW,59,13:29,20.5,65,,SW,7,999.6,20.6,42,,SSW,24,1007.0
,2013-01-26,10.9,19.4,5.8,5.8,4.2,ESE,31,18:39,14.4,60,,SE,11,1020.3,19.3,42,,SE,19,1018.9
,2013-01-27,12.8,20.6,0.8,5.2,5.9,SSW,43,11:13,13.8,82,,WSW,11,1011.2,19.1,62,,E,22,1007.5
,2013-01-28,12.1,26.4,0.2,3.4,11.4,SSE,50,17:54,15.6,73,,NNW,19,1010.8,23.3,44,,SE,20,1008.0
,2013-01-29,12.2,18.1,0,9.4,4.3,S,43,00:49,13.9,58,,SSW,17,1012.9,16.0,51,,SE,17,1011.4
,2013-01-30,10.2,27.6,0,5.8,9.9,NNW,52,15:49,16.2,45,,NNW,30,1008.2,25.2,31,,NNW,28,1005.8
,2013-01-31,14.4,21.2,0,7.8,1.7,S,33,15:10,17.7,61,,NNW,13,1007.8,15.1,87,,S,15,1006.8
