"Daily Weather Observations for Melbourne (Olympic Park), Victoria for January 2015"
"Prepared at 16:03 UTC on Friday  7 August 2015   IDCJDW3033.201501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-01-1,13.3,26.9,0,,,S,33,15:16,17.2,74,,S,11,1014.3,23.8,44,,NNE,11,1013.7
,2015-01-2,15.4,38.8,0,,,N,41,11:03,20.2,70,,SE,4,1014.7,37.8,16,,NNW,11,1010.2
,2015-01-3,20.0,38.2,0,,,N,69,15:37,30.3,34,,N,35,1012.0,37.5,22,,N,26,1006.6
,2015-01-4,16.3,21.4,4.2,,,NNE,41,01:24,17.6,73,,S,13,1018.1,20.5,57,,SSW,17,1018.0
,2015-01-5,15.0,22.0,0,,,SSW,41,17:00,18.3,62,,SSE,9,1020.6,20.9,68,,SSW,15,1019.7
,2015-01-6,17.7,26.0,0,,,SSW,28,13:08,21.5,68,,ENE,4,1020.3,24.6,60,,SSW,13,1018.7
,2015-01-7,18.9,37.4,0,,,NW,61,12:47,23.6,71,,NE,7,1015.5,27.3,70,,SE,11,1010.9
,2015-01-8,23.1,28.2,19.4,,,NW,30,23:08,26.0,61,,WSW,9,1009.7,26.5,63,,SSW,11,1008.1
,2015-01-9,16.5,18.0,1.2,,,SSW,28,03:02,16.7,99,,S,9,1010.7,17.4,78,,S,13,1010.8
,2015-01-10,13.6,21.7,5.2,,,SSW,22,15:38,15.6,89,, ,Calm,1014.3,18.4,72,,S,11,1013.7
,2015-01-11,15.6,27.5,0,,,SE,44,17:23,21.4,71,,SE,15,1015.9,26.6,53,,SSE,20,1013.0
,2015-01-12,16.1,31.3,0,,,SSW,35,14:25,20.3,72,,N,6,1014.7,28.5,46,,SSW,15,1009.9
,2015-01-13,20.2,25.6,0,,,N,41,17:05,24.7,50,,NNE,13,1003.7,21.2,88,,NNE,13,998.2
,2015-01-14,18.3,22.7,15.8,,,WSW,39,14:27,20.0,86,,WSW,13,1001.2,21.7,64,,SSW,9,1003.3
,2015-01-15,15.8,20.0,0,,,S,31,17:34,16.4,75,,W,13,1008.9,18.7,67,,S,13,1008.8
,2015-01-16,13.1,27.3,0,,,NW,41,15:36,17.0,56,,NNW,15,1009.8,25.8,33,,WNW,9,1005.4
,2015-01-17,15.9,25.0,0,,,SSW,39,01:17,17.3,66,,WNW,11,1011.0,23.7,35,,WSW,17,1010.1
,2015-01-18,15.3,19.5,0,,,SSW,37,14:32,16.7,59,,SW,11,1016.0,19.4,58,,SSW,15,1016.7
,2015-01-19,13.5,23.6,0,,,S,35,16:54,15.6,56,,SE,13,1018.7,22.5,33,,SE,13,1014.0
,2015-01-20,13.0,30.4,0,,,N,43,08:23,21.6,56,,NNE,7,1007.9,29.3,36,,N,19,1003.6
,2015-01-21,19.7,33.1,0,,,N,33,09:47,22.8,65,,NNE,9,1008.4,32.4,30,,NNE,7,1007.7
,2015-01-22,18.7,35.8,0,,,SSW,41,18:30,20.4,83,,S,6,1012.3,34.4,29,,N,17,1005.9
,2015-01-23,20.2,25.0,0,,,SSW,39,13:48,23.7,55,,SSW,7,1005.7,22.4,69,,SSW,17,1006.4
,2015-01-24,15.8,26.3,0,,,SSW,31,16:40,18.5,71,,NNE,6,1006.2,24.3,50,,SSW,13,1002.3
,2015-01-25,14.7,22.0,0,,,SW,46,16:31,16.1,65,,WSW,15,1007.5,20.9,33,,WSW,15,1008.8
,2015-01-26,11.6,19.8,1.0,,,S,39,14:52,12.2,86,, ,Calm,1017.0,18.9,48,,S,15,1016.0
,2015-01-27,11.7,19.1,0.6,,,SSW,39,15:43,16.1,61,,SE,15,1017.4,18.6,52,,SSE,15,1016.5
,2015-01-28,13.3,25.4,0,,,SSE,46,15:35,17.0,60,,SSE,17,1018.2,24.5,36,,SE,22,1016.9
,2015-01-29,12.8,22.2,0,,,S,48,16:19,17.2,60,,SE,15,1020.9,20.8,45,,S,19,1018.4
,2015-01-30,13.1,21.0,0,,,S,39,15:42,16.4,64,,SE,11,1016.8,19.5,50,,SSW,20,1014.6
,2015-01-31,14.3,20.2,0,,,SSW,39,11:13,16.8,73,,W,9,1012.0,19.5,62,,SSW,20,1012.1
