"Daily Weather Observations for Melbourne (Olympic Park), Victoria for October 2015"
"Prepared at 13:03 GMT on Wednesday 10 August 2016   IDCJDW3033.201510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-10-1,6.0,21.6,0,,,SSW,30,12:59,14.8,54,,NNW,6,1026.9,20.9,36,,S,9,1025.4
,2015-10-2,9.9,28.6,0,,,N,37,12:10,16.4,66,,NNE,9,1032.2,27.9,27,,NNW,20,1027.6
,2015-10-3,16.3,31.3,0,,,N,50,13:48,22.7,37,,N,24,1027.2,31.0,20,,NNW,26,1020.7
,2015-10-4,13.9,24.9,0,,,N,22,00:10,18.8,62,,SSE,6,1021.9,23.3,42,,WSW,9,1019.9
,2015-10-5,12.7,34.4,0,,,N,43,10:44,15.5,80,,NNE,11,1020.8,33.3,17,,N,26,1016.2
,2015-10-6,15.5,35.8,0,,,NNW,70,12:15,24.9,24,,N,20,1012.8,34.3,11,,NW,26,1010.6
,2015-10-7,11.8,16.2,0,,,SSW,41,11:27,13.4,47,,S,17,1034.3,15.2,53,,S,20,1035.0
,2015-10-8,7.6,18.6,0,,,SSW,28,15:09,11.1,71,,NE,9,1036.5,17.6,56,,SSW,17,1032.0
,2015-10-9,10.9,29.9,0,,,N,26,09:13,17.5,68,,NNE,11,1030.1,27.9,33,,S,13,1026.6
,2015-10-10,17.5,29.2,0,,,N,41,19:42,22.2,47,,NNE,9,1025.1,27.7,35,,N,15,1022.4
,2015-10-11,16.9,19.2,0.4,,,SSW,37,16:09,17.5,81,,SSW,7,1019.5,17.9,75,,SW,13,1016.1
,2015-10-12,11.3,16.1,0.6,,,S,35,13:11,12.3,87,,S,11,1018.9,15.1,66,,S,15,1019.8
,2015-10-13,7.9,17.6,0.4,,,S,24,09:02,13.0,67,,SSE,11,1025.0,16.1,66,,SSW,13,1023.4
,2015-10-14,11.2,28.6,0,,,N,39,14:33,14.4,85,,NE,9,1023.9,27.5,38,,NNE,15,1019.7
,2015-10-15,14.4,34.0,0,,,N,54,11:08,22.7,48,,N,20,1017.7,33.0,16,,NNW,22,1014.1
,2015-10-16,17.0,23.8,0,,,S,30,12:57,19.0,65,,NE,7,1016.6,15.9,79,,S,9,1021.5
,2015-10-17,11.5,20.5,0,,,S,31,17:51,14.6,84,,SSW,4,1024.8,19.2,42,,S,13,1025.4
,2015-10-18,12.6,17.7,0,,,SSW,30,13:43,14.8,66,,SE,9,1029.8,17.0,57,,SSW,15,1027.6
,2015-10-19,8.3,26.7,0,,,SSW,26,15:44,13.2,71,,NNE,7,1025.1,25.2,33,,SW,11,1019.8
,2015-10-20,12.9,31.8,0,,,NNE,35,14:09,17.6,54,,N,6,1016.6,30.5,31,,N,22,1010.7
,2015-10-21,17.6,18.3,2.4,,,SSW,39,16:36,18.2,76,,SW,7,1012.4,15.7,87,,SSW,15,1014.5
,2015-10-22,11.4,16.7,7.0,,,SSW,43,15:17,14.1,81,,SSE,11,1019.6,15.5,76,,SSW,13,1020.0
,2015-10-23,11.8,16.4,0,,,SSW,33,17:10,14.1,62,,SSE,17,1023.6,15.2,58,,SSW,15,1022.2
,2015-10-24,9.2,19.5,0,,,S,28,13:04,14.3,70,, ,Calm,1023.0,18.1,60,,SSW,13,1020.2
,2015-10-25,10.2,31.3,0,,,NNW,50,14:39,18.2,62,,NNE,11,1016.6,30.1,23,,N,28,1010.2
,2015-10-26,14.0,15.9,0.2,,,SSW,50,11:59,14.3,89,,SSW,24,1017.6,15.5,58,,SSW,24,1022.5
,2015-10-27,10.4,23.3,0.2,,,SE,35,08:07,14.0,58,,SE,19,1027.3,22.0,34,,ESE,19,1023.1
,2015-10-28,10.1,26.8,0,,,N,44,07:24,17.2,47,,N,20,1022.9,26.4,27,,N,7,1019.0
,2015-10-29,13.7,26.1,0,,,SSE,28,17:42,16.8,78,,WNW,6,1022.5,22.5,58,,SW,11,1020.0
,2015-10-30,12.6,27.4,0,,,SSE,33,14:53,18.1,53,,N,4,1019.5,24.7,38,,S,9,1017.2
,2015-10-31,15.7,25.9,1.0,,,NNW,41,16:04,17.0,93,,SW,2,1015.1,24.1,57,,NNE,22,1010.6
