"Daily Weather Observations for Melbourne (Olympic Park), Victoria for September 2017"
"Prepared at 13:01 UTC on Saturday 11 August 2018   IDCJDW3033.201709"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-09-1,3.7,17.0,0,,,N,46,12:31,7.3,75,,NE,9,1024.6,16.3,42,,N,15,1020.3
,2017-09-2,7.3,18.4,0,,,N,44,11:21,13.5,55,,NNE,7,1017.4,16.6,49,,NNE,13,1013.7
,2017-09-3,13.4,17.2,0,,,W,48,09:21,16.3,39,,NNW,11,1002.5,16.8,41,,NW,17,1003.9
,2017-09-4,8.8,13.7,0.4,,,NW,57,09:54,10.9,47,,WNW,17,1006.0,12.4,39,,W,19,1004.0
,2017-09-5,6.5,13.3,0.2,,,NW,50,13:46,9.0,57,,NW,15,1008.4,12.5,45,,WNW,17,1005.2
,2017-09-6,6.7,15.1,4.8,,,SW,41,14:26,10.7,68,,WNW,13,1013.8,13.0,72,,SSW,9,1014.1
,2017-09-7,7.9,15.2,0.8,,,NNW,41,10:34,12.4,64,,NW,11,1018.4,14.7,54,,W,11,1017.3
,2017-09-8,8.0,13.5,3.2,,,SW,41,16:08,10.3,54,,WSW,13,1022.3,12.3,53,,SSW,15,1021.9
,2017-09-9,7.1,14.9,1.2,,,SSW,24,10:45,9.9,78,,W,7,1025.7,14.1,56,,S,9,1024.2
,2017-09-10,5.3,16.1,0.2,,,N,20,23:31,10.8,76,,SSW,4,1024.6,16.0,47,,SSW,4,1020.1
,2017-09-11,8.1,18.1,0,,,N,46,11:02,12.7,63,,N,24,1016.4,16.9,50,,N,19,1011.7
,2017-09-12,12.2,19.9,0.2,,,NNW,39,01:04,15.2,60,,NNW,17,1009.6,19.7,59,,WSW,9,1006.1
,2017-09-13,13.3,16.4,2.0,,,WSW,50,09:47,14.9,62,,NW,13,1003.8,11.7,69,,WNW,9,1006.2
,2017-09-14,5.8,15.3,1.4,,,W,43,16:12,9.6,66,,WNW,11,1016.2,14.1,56,,W,11,1014.3
,2017-09-15,9.6,16.7,0,,,WSW,35,15:32,13.5,58,,WNW,13,1018.5,14.8,82,,WNW,9,1016.0
,2017-09-16,7.4,13.3,21.4,,,SSW,54,02:37,9.1,81,,SW,7,1022.7,12.5,52,,S,13,1024.3
,2017-09-17,4.0,18.1,0.2,,,N,43,12:54,10.5,58,,NNE,6,1027.2,17.8,35,,N,22,1021.1
,2017-09-18,10.5,22.0,0,,,NNW,63,10:47,15.7,32,,N,28,1014.0,20.9,30,,N,31,1008.4
,2017-09-19,9.0,13.9,0.2,,,WNW,31,00:51,11.6,58,,WSW,13,1019.2,12.4,58,,SSW,9,1020.6
,2017-09-20,6.0,19.2,0,,,N,35,13:08,11.6,63,,NNE,11,1021.1,18.6,42,,N,22,1015.8
,2017-09-21,11.6,23.6,0,,,N,54,10:49,14.8,46,,N,20,1011.9,22.4,33,,N,20,1007.5
,2017-09-22,12.8,25.6,0,,,N,33,13:53,14.9,71,,NE,7,1009.8,24.8,32,,NNW,24,1005.0
,2017-09-23,14.8,30.6,0,,,N,61,11:58,21.1,30,,N,9,996.8,30.0,24,,NNW,24,988.8
,2017-09-24,12.9,19.9,0.4,,,NNW,56,13:18,14.9,56,,NNW,17,999.9,18.4,40,,NNW,24,997.9
,2017-09-25,10.3,14.2,1.6,,,SSW,35,13:02,12.9,64,,W,11,1008.5,12.8,68,,SSW,17,1010.6
,2017-09-26,5.0,15.1,0.4,,,S,24,12:54,11.3,64,,NNW,2,1018.5,14.0,46,,SSW,15,1016.3
,2017-09-27,9.6,24.6,0,,,NNW,50,13:11,12.5,64,, ,Calm,1008.1,24.5,30,,W,9,1001.4
,2017-09-28,10.4,18.5,0,,,SW,35,14:59,14.1,66,,WSW,13,1008.9,16.8,45,,WSW,17,1009.8
,2017-09-29,10.6,18.4,0,,,NNW,48,18:00,13.6,53,,NNW,15,1014.3,17.7,38,,NNW,19,1010.7
,2017-09-30,11.0,15.4,1.0,,,WSW,37,06:32,12.5,58,,WSW,13,1017.4,14.4,51,,SSW,11,1019.2
