"Daily Weather Observations for Melbourne (Olympic Park), Victoria for October 2017"
"Prepared at 13:01 UTC on Friday 10 August 2018   IDCJDW3033.201710"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-10-1,9.7,17.2,0,,,S,24,16:36,12.4,65,,NNW,9,1023.3,16.4,58,,S,9,1022.1
,2017-10-2,9.5,16.4,0,,,SSW,24,16:34,12.1,75,,WNW,6,1025.1,15.2,58,,SSW,13,1023.3
,2017-10-3,6.8,22.3,0,,,S,28,16:49,10.4,77,,NNE,11,1022.5,19.8,43,,SSW,11,1020.3
,2017-10-4,8.5,20.8,0,,,SSW,22,12:41,11.8,81,,NE,11,1021.1,20.3,54,,SW,11,1017.5
,2017-10-5,11.7,19.4,0,,,WSW,48,14:18,19.1,43,,N,13,1013.2,18.2,55,,SW,19,1013.2
,2017-10-6,10.1,15.0,2.4,,,S,48,05:35,11.6,66,,S,19,1023.0,14.2,70,,SSW,19,1023.6
,2017-10-7,7.2,23.7,0.2,,,NW,31,14:26,11.1,78,,NE,9,1021.6,22.7,37,,N,13,1017.2
,2017-10-8,11.1,25.3,0,,,NNW,57,11:34,20.9,40,,NNE,17,1010.7,23.9,44,,N,26,1008.2
,2017-10-9,14.0,18.7,2.4,,,W,39,04:39,14.3,75,,WSW,13,1011.1,17.4,55,,S,15,1012.7
,2017-10-10,8.0,18.8,0.2,,,S,24,13:08,13.0,62,,E,2,1017.9,17.2,44,,SSW,13,1016.3
,2017-10-11,9.8,25.6,0,,,NNW,57,14:50,17.3,43,,NNE,7,1010.2,23.7,31,,N,24,1003.9
,2017-10-12,10.5,19.2,10.0,,,NNW,37,08:24,13.2,65,,WNW,13,1013.7,17.3,41,,WNW,15,1014.5
,2017-10-13,13.1,16.7,0,,,S,31,13:56,14.2,66,,WNW,11,1019.2,14.3,71,,S,17,1020.3
,2017-10-14,8.2,16.1,0,,,S,31,14:49,12.9,66,,SSW,9,1025.7,15.3,56,,S,19,1024.5
,2017-10-15,6.8,17.6,0,,,SSW,31,14:31,12.4,67,,SE,4,1026.3,16.7,67,,SSW,17,1024.3
,2017-10-16,11.3,28.6,0,,,NNE,28,12:29,12.9,91,,N,4,1025.9,26.2,40,,S,7,1021.9
,2017-10-17,12.8,30.2,0,,,N,37,09:18,21.0,50,,NNE,9,1023.2,30.1,24,,N,17,1020.6
,2017-10-18,14.5,30.9,0,,,NNW,48,09:33,21.7,43,,NE,9,1022.1,29.9,31,,N,20,1018.0
,2017-10-19,21.7,25.6,0,,,SW,43,15:38,23.8,45,,N,17,1015.5,23.5,71,,S,7,1015.3
,2017-10-20,11.3,16.2,2.6,,,S,41,13:05,13.4,69,,SW,9,1027.0,15.3,56,,S,20,1027.9
,2017-10-21,11.0,15.4,0,,,S,28,02:51,11.8,71,,SW,9,1026.1,14.8,63,,SSE,6,1023.2
,2017-10-22,11.1,16.0,0,,,SSW,28,14:25,12.7,78,,WSW,11,1018.6,15.2,76,,SSW,13,1017.6
,2017-10-23,11.9,19.0,0,,,SSW,31,15:55,13.6,72,,NW,6,1019.4,17.3,61,,S,13,1017.0
,2017-10-24,12.1,20.5,0.2,,,SSW,26,11:58,15.0,74,,N,7,1017.6,17.4,61,,SSW,13,1014.8
,2017-10-25,13.3,18.5,11.4,,,SSW,24,13:28,14.5,94,,SE,7,1014.3,17.3,67,,SSW,9,1011.5
,2017-10-26,12.9,16.8,0.2,,,SSW,39,13:19,13.8,83,,SSE,13,1010.1,15.5,73,,SSW,17,1009.2
,2017-10-27,10.3,27.4,0,,,N,48,13:02,15.1,78,,N,11,1010.1,25.2,37,,N,28,1005.4
,2017-10-28,15.0,21.4,0.4,,,N,39,01:30,15.4,72,,SW,9,1008.6,19.7,46,,SSW,11,1007.0
,2017-10-29,11.5,28.6,0,,,N,61,13:19,19.0,63,,N,19,1004.3,27.4,25,,N,30,999.0
,2017-10-30,8.8,17.0,4.4,,,W,46,11:49,12.6,62,,NNW,17,1006.2,14.4,55,,WNW,11,1009.4
,2017-10-31,8.1,16.4,6.0,,,S,28,16:47,12.0,62,,WSW,9,1020.9,15.4,48,,S,15,1019.8
