"Daily Weather Observations for Melbourne (Olympic Park), Victoria for March 2018"
"Prepared at 13:01 UTC on Sunday 19 August 2018   IDCJDW3033.201803"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-03-1,16.2,20.5,0.8,,,SW,35,05:18,16.6,83,,SSW,11,1016.8,19.0,70,,S,19,1017.4
,2018-03-2,14.5,22.8,0.4,,,SSW,22,14:06,17.6,73,,SE,9,1015.0,22.2,60,,SSW,9,1012.7
,2018-03-3,13.9,32.7,0,,,SSW,46,15:12,17.6,81,,NE,7,1008.9,32.0,25,,NW,19,1005.5
,2018-03-4,15.8,21.0,0,,,S,35,14:26,16.8,80,,W,6,1015.7,20.0,56,,SSW,19,1015.5
,2018-03-5,14.9,21.1,0,,,SSW,39,14:43,17.4,60,,SSE,11,1019.1,19.9,47,,S,20,1020.6
,2018-03-6,12.5,27.6,0,,,SSE,30,17:29,15.9,68,,SSE,9,1024.4,24.3,36,,SW,9,1022.7
,2018-03-7,14.4,28.5,0,,,SSW,26,11:35,17.3,71,,NNE,6,1026.4,26.5,41,,SW,9,1023.5
,2018-03-8,14.9,30.5,0,,,NNW,26,09:47,18.2,64,,NNE,9,1025.3,29.0,29,,SSW,9,1022.7
,2018-03-9,14.6,28.8,0,,,SSW,20,13:32,18.6,70,,NE,7,1026.1,26.9,36,,SSW,13,1023.6
,2018-03-10,14.3,35.1,0,,,NE,24,11:09,17.1,56,,NNE,11,1024.7,33.9,21,,ENE,9,1021.2
,2018-03-11,17.0,22.8,0,,,SSW,39,16:21,22.0,48,,SW,9,1022.4,21.6,64,,SSW,17,1023.1
,2018-03-12,16.7,20.9,0,,,SSE,35,14:34,17.4,62,,SSW,15,1023.4,19.7,57,,S,17,1022.0
,2018-03-13,14.6,20.5,2.2,,,SSW,37,14:43,16.3,80,,SSE,2,1023.0,19.9,54,,S,17,1022.0
,2018-03-14,12.8,21.3,0,,,SSW,26,13:23,16.8,70,,NNE,2,1020.8,19.9,55,,S,13,1017.4
,2018-03-15,15.3,20.8,0,,,S,28,13:41,16.1,69,,WSW,6,1015.5,20.5,57,,SSW,13,1014.9
,2018-03-16,12.5,24.4,0,,,S,20,14:05,15.4,87,,S,2,1016.1,23.6,45,,SSE,7,1012.7
,2018-03-17,15.4,32.0,0,,,N,63,19:34,22.8,41,,N,13,1012.1,30.4,30,,N,17,1008.5
,2018-03-18,22.6,23.1,0,,,W,59,11:36,22.6,50,,SW,11,1003.0,22.1,28,,WNW,20,1011.1
,2018-03-19,13.2,28.0,0,,,SSW,41,20:03,15.4,53,,N,13,1016.2,26.6,32,,W,9,1013.3
,2018-03-20,15.4,19.2,0.2,,,SSE,39,14:17,16.3,68,,S,11,1025.9,17.9,46,,SSE,19,1027.6
,2018-03-21,11.2,25.1,0,,,SE,41,00:26,15.8,63,,SE,11,1028.8,24.5,38,,ESE,15,1025.1
,2018-03-22,12.3,28.1,0,,,SE,30,17:15,15.3,64,,NNE,9,1026.9,25.1,36,,SSW,11,1022.5
,2018-03-23,15.2,29.4,0,,,N,37,09:38,20.2,50,,N,15,1022.3,28.4,31,,N,15,1017.6
,2018-03-24,20.2,24.2,0,,,N,37,07:02,22.7,52,,W,11,1013.5,20.7,84,,N,11,1010.7
,2018-03-25,17.8,25.4,13.0,,,N,50,03:15,22.0,51,,NNW,20,1001.3,23.3,42,,WNW,11,999.3
,2018-03-26,10.7,18.5,5.2,,,WNW,39,08:19,13.1,63,,NW,11,1008.4,16.5,72,,SSW,13,1010.1
,2018-03-27,9.6,22.6,1.2,,,N,35,12:32,11.3,75,,NE,9,1017.4,20.1,41,,N,19,1014.3
,2018-03-28,11.3,30.3,0,,,N,44,08:40,20.7,36,,N,20,1012.4,28.4,26,,SSW,11,1012.5
,2018-03-29,16.5,21.8,0,,,SSW,24,15:02,17.1,87,,WNW,7,1016.9,20.9,58,,S,7,1014.8
,2018-03-30,12.2,23.3,0,,,S,26,14:32,14.2,77,,NNE,9,1016.4,22.4,46,,S,9,1015.9
,2018-03-31,13.2,22.4,0,,,SE,26,19:30,14.9,74,,NE,6,1019.1,20.8,52,,SSW,11,1015.9
