"Daily Weather Observations for Melbourne (Olympic Park), Victoria for May 2018"
"Prepared at 13:01 UTC on Friday 17 August 2018   IDCJDW3033.201805"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-05-1,7.2,23.4,0,,,N,35,13:47,10.3,62,,NNE,11,1026.5,23.2,27,,N,19,1021.7
,2018-05-2,10.2,23.2,0,,,N,28,11:18,17.8,40,,N,13,1018.0,22.8,34,,N,11,1013.5
,2018-05-3,14.5,24.4,0,,,NNW,57,20:56,18.3,44,,N,20,1011.8,24.2,26,,N,20,1006.5
,2018-05-4,11.5,17.2,6.2,,,NW,46,10:56,12.4,68,,NNW,7,1010.4,13.5,68,,W,17,1015.4
,2018-05-5,12.1,21.6,2.6,,,N,30,00:54,14.5,66,,N,9,1026.5,21.1,46,,W,11,1026.4
,2018-05-6,9.9,21.7,0,,,NNW,24,13:20,14.7,70,,N,7,1031.8,20.5,45,,NNW,11,1027.3
,2018-05-7,12.0,19.5,0,,,N,48,11:39,14.4,64,,N,24,1020.0,18.8,45,,N,17,1014.3
,2018-05-8,13.4,17.9,0.2,,,NW,20,00:30,15.1,71,,S,2,1022.7,16.9,54,,SSW,11,1020.9
,2018-05-9,8.0,18.4,0,,,NNW,37,16:17,13.6,68,,NNW,13,1020.3,17.3,48,,N,15,1015.7
,2018-05-10,9.0,12.8,8.0,,,WSW,41,02:36,10.5,64,,NW,13,1010.8,11.1,57,,W,11,1008.4
,2018-05-11,7.4,15.1,18.6,,,SSW,65,14:52,11.1,96,,SSE,6,1010.1,14.1,85,,SSW,31,1011.3
,2018-05-12,11.0,16.9,8.4,,,SSE,41,10:44,14.3,70,,SSE,13,1023.0,15.6,75,,S,17,1023.5
,2018-05-13,13.0,16.2,4.0,,,SSW,31,00:12,14.3,68,,S,11,1028.9,15.4,68,,SSW,15,1028.3
,2018-05-14,6.8,15.9,0,,,SSW,15,16:57,9.0,100,, ,Calm,1029.6,14.9,64,, ,Calm,1025.7
,2018-05-15,8.9,14.6,0,,,SSW,31,12:04,12.7,76,,WSW,9,1026.4,14.1,63,,SSW,19,1027.1
,2018-05-16,9.4,14.3,2.0,,,SSW,31,13:32,12.1,71,,SSW,4,1031.2,13.6,49,,SSW,13,1030.1
,2018-05-17,11.7,15.0,0,,,NNW,24,09:54,12.4,72,,NW,9,1028.0,14.0,73,,NW,7,1024.9
,2018-05-18,12.3,17.7,0.2,,,WSW,28,09:15,14.9,81,,WNW,7,1023.1,16.9,66,,SSW,9,1022.4
,2018-05-19,10.6,15.5,2.6,,,NW,26,23:18,11.8,79,,NW,6,1025.5,14.4,58,,SW,9,1023.4
,2018-05-20,11.8,16.2,0,,,W,33,11:23,14.0,76,,NW,9,1022.9,15.1,80,,W,11,1021.5
,2018-05-21,12.6,16.7,2.4,,,WSW,37,13:50,13.3,78,,WNW,9,1023.1,15.4,74,,W,11,1021.2
,2018-05-22,13.0,17.0,0,,,W,33,12:17,14.8,78,,W,9,1024.0,16.7,73,,WSW,11,1023.8
,2018-05-23,11.8,15.3,4.6,,,WSW,24,06:24,12.9,89,,W,11,1028.4,14.6,69,,SW,6,1026.8
,2018-05-24,12.9,16.1,0,,,SSW,30,12:57,13.6,67,,WSW,2,1028.0,14.6,74,,SW,9,1026.2
,2018-05-25,9.4,14.9,0,,,S,17,12:02,12.2,62,,ESE,7,1029.4,14.2,59,,SSW,9,1026.7
,2018-05-26,5.2,20.5,0,,,N,31,13:09,7.3,91,,NNE,9,1028.8,20.4,42,,N,13,1024.6
,2018-05-27,7.3,20.7,0,,,N,39,12:47,12.9,73,,NNE,11,1025.0,19.7,51,,N,19,1022.1
,2018-05-28,12.9,20.5,0,,,NNE,33,15:59,16.2,50,,NNE,11,1021.4,19.9,47,,NNE,17,1016.3
,2018-05-29,13.7,17.9,0.8,,,NNW,48,03:33,14.3,76,,N,15,1014.5,15.2,50,,WSW,15,1016.0
,2018-05-30,7.7,15.1,0,,,NNW,39,14:25,10.1,71,,NW,6,1023.7,14.3,44,,NW,17,1021.6
,2018-05-31,9.6,14.8,5.0,,,S,33,09:38,13.1,67,,S,17,1027.7,13.6,60,,S,11,1029.3
