"Daily Weather Observations for Melbourne (Olympic Park), Victoria for June 2018"
"Prepared at 16:01 UTC on Thursday 16 August 2018   IDCJDW3033.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,4.1,13.3,0,,,S,19,13:27,6.3,85,,NNE,7,1031.0,12.8,66,,SW,11,1028.6
,2018-06-2,3.5,13.6,0.2,,,SSW,20,13:25,5.9,90,,NE,7,1028.8,13.4,72,,SSW,11,1026.7
,2018-06-3,4.3,13.8,0,,,SSW,17,15:28,4.6,99,,NE,9,1025.5,12.9,74,,SSW,7,1023.1
,2018-06-4,4.5,14.4,0,,,S,17,13:18,7.5,100,, ,Calm,1024.1,13.8,73,,S,9,1023.5
,2018-06-5,7.5,15.0,1.6,,,SSW,28,15:00,11.3,100,,SSW,4,1029.4,14.1,77,,SSW,15,1028.0
,2018-06-6,5.6,19.1,0.4,,,N,26,15:32,7.8,100,,NE,7,1030.7,18.5,40,,NNE,11,1026.8
,2018-06-7,7.7,17.8,0.2,,,N,52,21:51,14.8,64,,N,24,1025.4,17.2,55,,N,26,1020.8
,2018-06-8,12.4,13.6,0.6,,,N,50,05:28,12.6,80,,N,20,1019.3,12.9,89,,NNE,11,1016.8
,2018-06-9,11.3,15.6,3.0,,,N,19,00:07,12.5,96,, ,Calm,1022.4,15.4,60,,SSW,7,1022.6
,2018-06-10,4.1,15.3,0,,,NE,15,05:12,5.3,100,,NNE,7,1028.3,13.5,76,,SSW,9,1025.5
,2018-06-11,5.3,17.6,0.2,,,N,41,12:16,7.9,90,,N,9,1022.9,17.0,50,,NNE,19,1015.8
,2018-06-12,7.9,16.6,0.4,,,N,43,00:22,13.0,77,,N,20,1006.2,16.1,63,,N,19,1003.6
,2018-06-13,9.5,14.1,0,,,N,43,12:14,11.6,60,,NNW,11,1008.7,13.2,66,,N,20,1005.7
,2018-06-14,8.6,14.5,5.6,,,N,54,19:04,10.6,75,,NNW,22,1009.2,13.4,64,,N,20,1007.5
,2018-06-15,9.6,14.0,4.6,,,NW,43,19:42,12.1,64,,NNW,13,1008.6,13.3,53,,NW,19,1009.1
,2018-06-16,6.9,13.1,2.2,,,NW,33,12:28,8.4,72,,NNW,19,1013.5,12.9,52,,WNW,11,1011.2
,2018-06-17,8.0,13.1,15.6,,,S,54,10:44,9.6,94,,W,15,1011.9,12.0,88,,S,22,1015.2
,2018-06-18,9.5,12.0,7.2,,,S,35,02:54,11.5,70,,SSE,9,1026.0,11.9,71,,S,11,1026.2
,2018-06-19,3.0,14.5,0.4,,,NNE,19,10:38,5.3,100,,NNE,4,1030.4,13.8,55,,NNE,2,1027.1
,2018-06-20,4.3,15.3,0.2,,,N,35,13:36,6.1,84,,NNE,9,1028.5,15.2,51,,N,13,1026.1
,2018-06-21,4.0,15.1,0,,,N,20,11:23,6.9,84,,NNE,2,1029.2,14.1,46,,S,7,1027.0
,2018-06-22,4.3,15.0,0,,,NNW,20,13:03,6.0,85,,NE,9,1028.9,14.9,53,,N,7,1026.1
,2018-06-23,6.0,12.8,0,,,SW,20,16:29,9.0,77,,NNE,7,1026.3,12.6,78,,SW,6,1026.0
,2018-06-24,9.0,13.1,0,,,SSW,26,13:04,9.4,85,, ,Calm,1031.1,12.3,61,,SW,9,1029.7
,2018-06-25,8.4,12.6,0,,,SSW,19,12:28,9.9,72,,SSW,7,1032.6,11.9,69,,SSE,7,1031.2
,2018-06-26,8.4,14.1,0,,,ENE,17,11:34,9.7,91,,NNE,6,1034.0,12.4,78,,SSW,7,1032.0
,2018-06-27,4.8,11.2,0.2,,,NNE,15,08:09,5.5,100,,NNW,7,1032.5,10.3,84,,SSW,7,1029.5
,2018-06-28,5.3,10.6,0,,,SW,15,10:53,6.6,100,, ,Calm,1025.5,9.5,84,, ,Calm,1021.8
,2018-06-29,6.1,12.5,0.2,,,N,46,00:00,10.6,85,,N,15,1019.4,12.4,65,,N,17,1016.8
,2018-06-30,9.4,14.2,0.4,,,N,48,01:50,10.5,73,,NW,13,1016.4,13.3,57,,SW,11,1022.4
