"Daily Weather Observations for Melbourne (Olympic Park), Victoria for July 2018"
"Prepared at 13:01 UTC on Tuesday 21 August 2018   IDCJDW3033.201807"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-07-1,3.5,14.7,0.4,,,NNW,19,00:57,5.7,84,,NNE,9,1032.5,12.4,63,,SSW,6,1031.2
,2018-07-2,2.4,14.6,0,,,N,33,16:10,4.1,92,,NNE,9,1032.3,13.9,48,,N,17,1028.2
,2018-07-3,4.1,14.3,0,,,NNW,52,11:13,10.4,69,,N,20,1026.0,13.4,63,,N,24,1023.8
,2018-07-4,10.4,17.1,0,,,N,57,13:28,13.7,59,,N,24,1021.3,16.2,49,,N,28,1018.0
,2018-07-5,12.7,18.7,0.4,,,N,56,15:44,14.3,55,,N,17,1016.2,17.8,46,,N,28,1007.8
,2018-07-6,12.5,15.2,0,,,NW,48,14:41,12.5,66,,WNW,17,1005.8,14.2,44,,NW,20,1007.7
,2018-07-7,9.6,12.9,1.2,,,NW,50,08:32,9.7,69,,NW,20,1004.5,11.8,60,,W,19,1010.8
,2018-07-8,9.3,13.9,0.8,,,W,39,01:30,11.4,77,,W,13,1018.3,13.6,70,,WSW,11,1020.0
,2018-07-9,10.1,13.8,1.2,,,SW,31,12:43,10.5,77,,SSW,6,1027.5,13.1,65,,SW,11,1027.6
,2018-07-10,9.3,11.5,0,,,N,24,13:42,9.5,64,,WNW,7,1029.4,10.6,63,,N,11,1027.0
,2018-07-11,6.6,11.6,0,,,NNW,37,11:26,8.6,62,,N,11,1023.0,11.4,54,,NNE,15,1021.0
,2018-07-12,4.3,11.3,0,,,WSW,17,10:28,7.7,82,, ,Calm,1023.3,10.8,76,,S,7,1020.7
,2018-07-13,5.8,13.9,0.2,,,SW,20,13:18,7.2,100,,NNE,6,1022.8,13.1,63,,SW,9,1021.4
,2018-07-14,4.4,15.5,0,,,N,26,15:18,6.0,86,,NE,9,1022.2,14.8,43,,N,13,1017.6
,2018-07-15,6.0,13.8,0,,,N,50,13:38,7.9,66,,N,24,1015.3,13.5,45,,NNW,24,1011.7
,2018-07-16,7.9,12.6,0,,,N,46,12:22,10.1,55,,N,13,1008.3,12.3,55,,N,17,1006.6
,2018-07-17,9.1,17.5,0,,,N,69,10:06,10.7,58,,N,22,1006.1,16.2,45,,N,35,998.8
,2018-07-18,6.2,15.2,1.2,,,N,57,14:32,8.8,77,,NNE,11,1015.4,14.7,49,,NNW,22,1012.5
,2018-07-19,8.7,17.6,0,,,N,52,07:32,10.6,53,,N,26,1008.1,16.7,42,,NNW,19,1004.5
,2018-07-20,7.2,12.1,4.4,,,W,43,13:11,8.8,66,,NW,11,1008.9,11.2,66,,WNW,17,1010.4
,2018-07-21,6.7,14.0,0.2,,,N,31,13:46,8.1,79,,NNE,9,1022.4,12.4,51,,NNW,13,1021.6
,2018-07-22,8.0,14.8,0,,,N,41,13:16,9.0,66,,N,17,1023.1,14.1,43,,N,20,1018.4
,2018-07-23,8.4,15.4,0.2,,,N,80,19:05,9.7,61,,N,26,1013.3,13.9,37,,N,30,1006.6
,2018-07-24,8.6,15.6,0.6,,,N,57,10:24,10.9,74,,N,19,1008.6,15.5,60,,NNW,28,1004.5
,2018-07-25,8.3,15.7,6.2,,,NW,33,11:52,10.6,69,,N,15,1016.1,14.5,47,,W,9,1015.3
,2018-07-26,7.7,15.1,0,,,NNW,28,13:39,9.2,79,,N,11,1018.9,13.8,63,,N,17,1015.7
,2018-07-27,9.2,19.5,0,,,NNW,31,10:32,11.6,69,,N,15,1014.1,19.0,45,,NNW,13,1011.4
,2018-07-28,8.4,18.6,0,,,N,33,14:20,12.3,71,,NE,9,1013.0,17.5,47,,N,20,1008.8
,2018-07-29,10.8,14.6,2.0,,,NW,52,11:04,11.8,62,,WNW,17,1002.7,12.1,56,,WNW,20,1004.5
,2018-07-30,8.2,12.6,0.4,,,N,57,23:59,10.1,69,,NNW,11,1016.2,11.7,56,,N,20,1013.8
,2018-07-31,8.3,16.2,0,,,N,57,01:17,10.6,66,,N,15,1011.9,15.2,51,,NNW,24,1008.4
