"Daily Weather Observations for Melbourne (Olympic Park), Victoria for August 2018"
"Prepared at 13:01 UTC on Monday 12 August 2019   IDCJDW3033.201808"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-08-1,9.9,14.8,1.6,,,W,28,00:52,11.1,69,,NW,7,1019.2,13.7,56,,SSW,9,1019.7
,2018-08-2,4.9,16.1,0,,,NNE,44,12:25,7.8,79,,NNE,9,1022.1,15.7,46,,N,20,1016.1
,2018-08-3,7.8,18.4,0,,,NNW,61,11:54,15.6,37,,N,9,1006.0,15.9,43,,NNW,19,999.9
,2018-08-4,8.0,15.3,1.6,,,N,41,10:35,10.6,75,,N,17,1011.6,13.1,67,,N,19,1010.1
,2018-08-5,10.6,17.6,0,,,N,57,11:29,11.3,57,,N,22,1010.0,17.0,37,,N,33,1003.4
,2018-08-6,9.4,13.8,0,,,NNW,54,15:32,10.1,68,,N,13,999.5,12.8,52,,NNW,24,997.3
,2018-08-7,7.3,14.8,0,,,NW,46,14:33,9.7,63,,NNW,13,1007.0,13.9,45,,NW,15,1007.8
,2018-08-8,9.6,16.0,1.0,,,NNW,48,02:59,11.9,71,,N,17,1008.3,12.8,80,,WSW,11,1010.4
,2018-08-9,5.6,15.4,2.2,,,N,41,14:33,9.4,67,,N,11,1022.2,12.7,57,,N,26,1018.9
,2018-08-10,9.4,20.0,0,,,N,70,10:14,15.3,44,,N,26,1012.3,19.2,38,,N,30,1006.6
,2018-08-11,8.1,14.7,10.4,,,NNW,39,00:15,8.5,94,,WNW,7,1006.6,13.7,45,,WNW,13,1005.9
,2018-08-12,5.4,14.8,4.6,,,NW,41,15:36,7.9,68,,NW,11,1019.2,14.2,46,,WNW,13,1018.6
,2018-08-13,7.9,14.9,0,,,W,35,18:17,12.7,71,,WNW,13,1023.6,14.1,63,,W,15,1023.3
,2018-08-14,9.4,16.7,0.2,,,NNW,56,14:48,11.6,72,,N,15,1021.8,16.1,53,,N,28,1015.9
,2018-08-15,11.5,18.4,0,,,N,54,00:55,13.8,51,,NNW,15,1006.2,17.0,36,,WNW,15,1005.2
,2018-08-16,8.7,14.7,0.2,,,NW,30,09:27,10.8,63,,NW,15,1013.0,13.7,48,,W,13,1012.6
,2018-08-17,7.7,15.9,0,,,N,52,23:58,10.6,64,,N,11,1014.0,15.1,41,,NNW,19,1010.5
,2018-08-18,8.9,13.8,2.2,,,WNW,52,18:34,10.6,65,,NNW,15,1008.5,9.6,59,,WNW,20,1008.8
,2018-08-19,6.7,11.9,9.2,,,S,48,13:54,7.1,76,,W,15,1018.6,10.9,64,,SSW,13,1022.8
,2018-08-20,5.5,12.4,2.0,,,NW,30,13:11,8.9,67,,WNW,9,1024.3,10.3,77,,WNW,7,1020.1
,2018-08-21,8.6,12.4,1.2,,,NW,24,06:41,9.8,73,,NW,13,1017.6,11.2,75,,SW,7,1014.4
,2018-08-22,8.7,14.0,1.0,,,N,24,11:21,10.7,73,,W,4,1017.5,13.2,55,,NE,7,1015.6
,2018-08-23,5.6,16.0,0,,,NNE,19,04:33,8.8,79,,NE,7,1020.5,14.9,50,,SSW,7,1019.0
,2018-08-24,4.8,15.4,0,,,SSW,20,14:46,8.5,77,,NE,7,1025.0,14.2,54,,SSW,13,1023.1
,2018-08-25,3.9,15.2,0,,,SSW,20,14:26,8.0,74,,NE,6,1022.8,14.2,54,,SSW,13,1018.3
,2018-08-26,4.9,14.7,0,,,WSW,33,15:09,7.7,87,, ,Calm,1018.6,13.8,56,,SW,11,1017.4
,2018-08-27,6.8,12.9,3.6,,,S,33,14:12,8.6,78,,SSE,7,1026.6,11.5,55,,SSW,17,1026.0
,2018-08-28,1.9,11.2,0.2,,,SW,26,15:19,6.3,81,,NE,6,1025.8,10.0,64,,SSW,13,1022.6
,2018-08-29,0.8,12.5,0,,,SSW,22,12:37,5.3,70,,NNE,7,1023.0,11.1,58,,SSW,11,1019.7
,2018-08-30,4.8,16.7,0,,,N,37,09:19,8.9,59,,NNE,9,1017.3,9.8,72,,NNE,13,1013.8
,2018-08-31,8.9,16.0,1.6,,,N,56,03:20,12.3,65,,N,15,999.8,14.1,67,,N,6,997.7
