"Daily Weather Observations for Melbourne (Olympic Park), Victoria for October 2018"
"Prepared at 13:01 UTC on Saturday 10 August 2019   IDCJDW3033.201810"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-10-1,4.7,23.3,0,,,N,35,10:51,13.2,62,,NNE,9,1027.2,20.9,33,,SW,15,1023.5
,2018-10-2,11.4,25.8,0,,,N,39,15:07,14.7,54,,NNE,9,1024.6,25.1,29,,NNW,20,1017.9
,2018-10-3,14.7,18.1,0,,,SSW,33,09:01,17.9,56,,SSW,13,1016.8,15.5,73,,S,13,1017.0
,2018-10-4,10.9,14.6,0,,,S,33,13:48,12.1,66,,S,13,1022.9,13.8,70,,SSW,15,1021.3
,2018-10-5,9.1,20.5,0,,,SE,31,13:55,14.2,62,,SSE,13,1025.9,20.1,40,,SE,13,1022.7
,2018-10-6,8.3,23.8,0,,,N,37,09:04,17.9,44,,NNW,20,1023.9,23.0,36,,SW,9,1020.6
,2018-10-7,10.3,24.7,0,,,SW,24,12:52,14.4,65,,NNE,9,1022.8,23.8,33,,S,13,1019.9
,2018-10-8,13.5,28.2,0,,,WNW,30,18:28,16.6,61,,NNE,7,1019.2,26.7,28,,S,11,1015.7
,2018-10-9,16.1,17.9,,,,S,35,18:03,16.6,80,,SSW,4,1015.3,14.9,100,,S,13,1015.4
,2018-10-10,10.1,16.5,,,,ESE,50,17:36,12.0,61,,SE,17,1023.1,15.4,43,,ESE,20,1021.9
,2018-10-11,6.4,20.7,0,,,SSE,39,15:22,11.2,68,, ,Calm,1024.7,18.6,40,,SW,11,1022.3
,2018-10-12,8.7,22.7,0,,,SE,31,17:26,13.3,73,,NE,11,1026.6,20.8,42,,S,17,1022.7
,2018-10-13,10.5,24.9,0,,,NNW,35,09:02,16.3,51,,NNE,13,1023.9,23.7,30,,ESE,7,1019.7
,2018-10-14,12.4,27.3,0,,,NNE,43,10:41,20.3,47,,NNE,20,1020.9,26.6,34,,N,20,1017.5
,2018-10-15,19.5,27.5,0,,,NNE,46,12:16,21.4,45,,NNE,22,1018.2,26.8,36,,N,24,1014.1
,2018-10-16,20.0,23.1,0.2,,,NNE,54,05:09,21.0,61,,NNE,15,1013.2,22.2,60,,N,15,1012.2
,2018-10-17,16.1,22.6,5.2,,,NNW,39,13:18,17.7,81,,NNE,9,1013.5,21.3,48,,NNW,20,1010.9
,2018-10-18,14.7,20.7,2.0,,,NNW,39,09:01,15.7,82,,N,15,1013.9,19.7,54,,NW,17,1013.3
,2018-10-19,12.8,27.4,0,,,N,46,08:54,17.8,64,,NNW,20,1015.0,26.5,31,,N,22,1009.8
,2018-10-20,11.7,16.1,5.0,,,WSW,41,02:21,11.8,90,,WSW,6,1014.7,13.9,74,,SSE,13,1014.8
,2018-10-21,7.6,19.2,5.6,,,WNW,20,09:00,12.8,76,,WSW,9,1020.4,17.9,42,,S,13,1018.3
,2018-10-22,8.9,27.0,0,,,NNW,44,13:44,16.2,59,,NNE,13,1014.2,25.8,30,,N,28,1010.6
,2018-10-23,13.0,18.8,0,,,SSW,41,15:55,14.8,81,,SW,9,1013.3,18.4,55,,SSE,15,1014.2
,2018-10-24,9.2,15.5,0,,,SSW,39,14:36,12.9,55,,SSE,13,1023.7,14.5,49,,SSW,17,1022.5
,2018-10-25,6.4,19.5,0,,,SSW,35,15:06,12.0,66,,W,6,1019.6,18.9,38,,S,9,1017.1
,2018-10-26,9.6,18.3,0,,,S,30,15:43,13.0,67,,WNW,4,1020.7,17.9,53,,SSW,11,1018.8
,2018-10-27,11.3,19.6,0,,,SSW,41,19:05,13.1,72,,WSW,6,1017.8,16.9,64,,S,19,1016.3
,2018-10-28,9.3,15.9,0,,,SSW,35,16:16,11.7,55,,SSW,9,1020.4,15.5,50,,SSW,11,1018.5
,2018-10-29,9.1,17.0,0,,,SSW,33,12:09,12.7,54,,S,13,1020.6,15.7,56,,SSW,17,1017.4
,2018-10-30,8.3,25.2,0,,,SSW,30,17:48,15.9,60,, ,Calm,1016.8,23.2,33,,S,9,1014.6
,2018-10-31,13.0,19.5,0,,,SSW,28,13:26,15.9,77,,ESE,4,1020.2,18.0,72,,SSW,13,1019.6
