"Daily Weather Observations for Melbourne (Olympic Park), Victoria for February 2019"
"Prepared at 13:01 UTC on Tuesday 20 August 2019   IDCJDW3033.201902"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-02-1,12.6,24.2,0,,,SSW,41,15:08,16.4,49,,SE,15,1022.6,22.4,45,,S,20,1019.0
,2019-02-2,15.0,34.4,0,,,NW,39,12:30,19.2,66,,NE,4,1015.6,33.4,37,,SSE,7,1010.1
,2019-02-3,19.1,38.2,0,,,S,37,18:36,25.0,66,,SSW,7,1009.7,37.0,24,,SW,7,1006.2
,2019-02-4,20.0,22.7,0,,,SSW,39,15:11,20.4,72,,S,11,1014.5,21.3,71,,SSW,17,1015.7
,2019-02-5,17.7,26.9,0,,,SSE,30,04:32,18.5,72,,SSE,13,1017.7,23.5,64,,SSW,9,1014.7
,2019-02-6,18.5,34.7,0,,,SW,41,18:23,22.3,75,,N,7,1014.1,33.5,37,,SSE,9,1009.2
,2019-02-7,20.7,28.3,11.0,,,S,28,11:32,23.7,76,,NNW,11,1011.6,27.5,58,,S,9,1009.3
,2019-02-8,18.1,23.1,0,,,S,33,16:20,18.1,83,,S,9,1009.4,22.3,49,,SSW,13,1006.3
,2019-02-9,14.6,19.7,0,,,SSW,46,13:57,16.7,55,,NNW,15,999.4,18.7,45,,SSW,20,1003.0
,2019-02-10,13.0,23.3,4.8,,,NNW,28,11:06,15.7,58,,NW,7,1010.8,21.9,45,,S,13,1009.0
,2019-02-11,14.4,27.5,0,,,NNW,39,15:59,18.7,68,, ,Calm,1005.1,26.0,44,,SSW,7,999.8
,2019-02-12,18.4,21.5,0,,,SW,46,09:49,20.7,55,,NNW,19,993.2,18.4,41,,WNW,17,997.9
,2019-02-13,11.8,19.2,2.8,,,S,39,10:54,13.7,56,,W,15,1010.2,17.4,47,,S,15,1013.1
,2019-02-14,12.3,23.2,0,,,S,26,11:34,14.9,61,,NW,9,1020.2,21.0,45,,S,9,1019.8
,2019-02-15,14.8,22.8,0,,,S,31,13:21,18.6,68,,SSE,7,1024.0,21.1,66,,SSW,17,1022.2
,2019-02-16,16.1,23.2,0,,,SSW,31,13:20,18.7,77,,SW,6,1019.2,21.9,70,,S,15,1016.1
,2019-02-17,15.0,29.0,0,,,S,20,12:36,18.1,80,,NNE,6,1012.8,27.8,30,,S,13,1010.9
,2019-02-18,18.0,23.6,0,,,SSW,37,15:32,20.2,64,,WSW,11,1007.3,23.3,59,,SSW,15,1005.2
,2019-02-19,13.7,20.2,0,,,SSW,33,13:56,17.0,59,,SW,9,1012.0,18.7,60,,S,19,1012.8
,2019-02-20,13.5,23.2,0,,,S,30,15:14,15.9,60,,WNW,4,1015.3,22.0,46,,ENE,6,1014.4
,2019-02-21,14.0,20.4,0,,,SSW,31,13:41,17.4,57,,SSW,11,1020.0,18.9,60,,SSW,15,1021.2
,2019-02-22,15.5,21.2,0,,,S,39,16:06,17.3,64,,SSE,9,1024.1,20.2,62,,SSW,17,1023.4
,2019-02-23,16.4,25.8,0,,,ESE,37,19:23,17.5,65,,SSE,9,1025.9,21.2,64,,SSW,19,1024.1
,2019-02-24,13.8,32.9,0,,,NNE,35,10:25,18.1,69,,ENE,4,1026.4,31.8,25,,N,11,1023.3
,2019-02-25,18.0,34.2,0,,,NNW,43,09:59,23.6,36,,N,19,1025.2,32.2,21,,NW,13,1021.8
,2019-02-26,17.9,22.3,0,,,SSW,35,15:45,20.6,81,,SSW,9,1021.9,21.6,66,,SSW,17,1021.8
,2019-02-27,12.9,25.7,0,,,S,24,16:48,16.3,71,,WSW,4,1022.4,24.3,52,,SW,11,1019.0
,2019-02-28,16.3,36.8,0,,,N,46,09:23,24.5,50,,NNE,9,1018.8,35.3,26,,N,19,1016.8
