"Daily Weather Observations for Melbourne (Olympic Park), Victoria for March 2019"
"Prepared at 13:01 UTC on Monday 19 August 2019   IDCJDW3033.201903"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-03-1,22.6,38.1,0,,,NE,39,17:29,28.5,35,,N,9,1020.2,36.9,18,,N,13,1017.9
,2019-03-2,22.3,36.3,0,,,NNW,41,09:32,26.8,38,,N,20,1019.7,34.6,26,,N,20,1016.7
,2019-03-3,25.1,36.0,0,,,N,46,12:56,27.9,33,,N,13,1018.3,35.8,21,,N,17,1015.5
,2019-03-4,19.0,24.6,0,,,SSW,30,15:34,20.7,69,,SSW,4,1019.6,24.2,60,,SSW,11,1016.8
,2019-03-5,18.0,24.3,0,,,SSE,28,17:17,20.4,72,,SSW,4,1013.2,21.6,66,,S,15,1008.2
,2019-03-6,13.2,17.2,1.6,,,W,54,12:46,13.8,66,,WNW,13,1014.1,15.9,53,,SSW,13,1017.4
,2019-03-7,9.7,22.1,2.0,,,SW,24,14:18,11.4,63,,NE,9,1025.1,20.4,38,,SSW,6,1021.0
,2019-03-8,11.3,26.8,0,,,NNE,31,12:10,15.7,43,,NE,9,1018.0,26.4,23,,NW,7,1016.0
,2019-03-9,13.9,24.7,0,,,SSW,28,16:24,16.0,62,,NE,6,1018.6,23.3,44,,SSW,15,1016.7
,2019-03-10,14.3,23.7,0,,,NNW,39,13:52,16.0,87,,NNE,9,1012.0,20.1,56,,NNW,24,1009.3
,2019-03-11,15.9,21.8,0.2,,,SW,37,14:52,19.9,70,,NNW,4,1011.0,20.7,71,,SSW,13,1009.3
,2019-03-12,15.8,19.2,0,,,WSW,39,09:17,17.5,59,,WNW,11,1009.4,17.0,54,,SSW,13,1013.2
,2019-03-13,11.9,18.6,0,,,SSW,28,14:17,13.4,71,,WSW,9,1018.9,17.7,48,,S,15,1018.3
,2019-03-14,12.1,20.8,0.2,,,SSW,33,14:26,16.0,66,,S,7,1017.0,20.1,55,,SSW,13,1015.7
,2019-03-15,11.7,22.2,0,,,SSW,35,14:10,15.5,77,,NNE,4,1019.8,21.1,53,,SSW,20,1018.8
,2019-03-16,12.2,25.6,0,,,SSW,22,14:03,14.2,84,,NE,7,1021.0,24.4,51,,SSW,13,1018.4
,2019-03-17,14.2,25.6,0,,,SSW,24,15:59,18.4,91,,W,4,1019.4,24.7,62,,SSW,11,1016.4
,2019-03-18,16.5,28.2,0,,,SE,33,17:54,18.7,75,,SE,7,1017.9,27.8,50,,SE,13,1014.7
,2019-03-19,16.9,23.4,0,,,SSW,35,15:44,19.3,86,, ,Calm,1016.2,22.9,77,,SSW,13,1014.7
,2019-03-20,19.3,23.4,0,,,SSW,28,16:10,20.0,96,, ,Calm,1015.4,22.2,74,,SSW,13,1014.6
,2019-03-21,18.2,24.3,0,,,SSW,20,13:36,20.0,86,, ,Calm,1016.1,23.2,64,,S,13,1015.1
,2019-03-22,18.7,28.6,0,,,NNW,31,16:37,20.1,88,,NNE,6,1015.4,25.5,66,,SW,9,1011.7
,2019-03-23,19.9,31.3,1.8,,,SSW,46,16:41,22.3,61,,N,13,1009.5,29.8,37,,N,26,1004.7
,2019-03-24,16.5,29.3,2.0,,,NNW,57,20:01,19.0,79,,NNE,9,1011.0,29.0,35,,NNW,26,1004.1
,2019-03-25,14.8,19.0,0.2,,,W,50,07:54,15.0,53,,WNW,17,1005.5,15.8,44,,W,17,1009.3
,2019-03-26,12.3,20.3,0,,,S,33,11:08,13.5,56,,NW,15,1018.2,19.2,43,,S,13,1020.2
,2019-03-27,11.1,21.7,0,,,SSW,24,13:36,13.5,66,, ,Calm,1024.7,19.6,51,,S,13,1021.5
,2019-03-28,11.6,27.9,0,,,NNE,39,15:15,14.6,61,,N,7,1018.3,27.1,24,,NNE,19,1013.0
,2019-03-29,14.6,28.5,0,,,N,56,15:33,21.5,35,,N,20,1006.1,27.2,21,,NW,13,1000.3
,2019-03-30,9.1,15.6,1.8,,,WNW,39,13:39,9.5,80,,W,15,1009.9,14.5,50,,SW,15,1009.9
,2019-03-31,9.4,18.5,2.2,,,SSW,30,13:14,14.1,79,,WNW,9,1015.2,16.6,81,,S,13,1017.4
