"Daily Weather Observations for Melbourne (Olympic Park), Victoria for August 2019"
"Prepared at 13:01 UTC on Wednesday 12 August 2020   IDCJDW3033.201908"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-08-1,5.8,13.8,0,,,S,22,13:37,10.4,68,,W,4,1032.7,13.1,62,,S,9,1031.9
,2019-08-2,9.7,12.7,0.4,,,SW,26,14:08,10.8,81,,W,2,1033.3,11.8,59,,SSW,9,1031.6
,2019-08-3,10.0,13.9,0,,,WNW,31,14:09,10.6,85,,WNW,11,1031.5,13.7,63,,WSW,9,1029.5
,2019-08-4,9.2,13.1,1.0,,,NNW,17,23:22,10.1,87,,W,7,1031.2,13.0,58,,SSE,2,1028.0
,2019-08-5,10.0,15.8,0,,,N,35,13:56,10.9,57,,N,11,1025.3,14.9,45,,N,20,1022.1
,2019-08-6,9.1,13.5,0.4,,,NNE,48,13:44,9.3,71,,N,17,1019.4,12.9,59,,N,19,1013.9
,2019-08-7,9.3,14.1,0,,,N,33,01:07,10.8,61,,NNW,13,1011.0,13.0,63,,S,9,1007.2
,2019-08-8,6.7,13.9,10.8,,,NNW,48,12:05,9.2,78,,N,13,1000.8,12.7,43,,NW,13,997.9
,2019-08-9,7.8,10.1,2.0,,,WNW,52,14:14,9.1,69,,W,19,996.3,7.9,74,,W,17,1001.2
,2019-08-10,5.2,12.5,4.2,,,SSW,43,15:42,7.2,89,,WSW,11,1004.5,12.4,58,,SSW,13,1004.2
,2019-08-11,4.8,12.9,6.0,,,S,41,14:14,6.4,85,,WNW,9,1007.0,11.5,85,,S,9,1011.6
,2019-08-12,6.3,12.0,8.8,,,SW,24,00:34,8.8,82,,W,13,1023.7,11.8,54,,SW,13,1023.7
,2019-08-13,8.8,13.1,0,,,W,22,08:23,10.0,84,,W,7,1027.5,12.8,74,,S,11,1026.5
,2019-08-14,9.1,13.8,0.2,,,NNW,39,15:28,10.1,90,, ,Calm,1028.0,13.3,50,,NNW,19,1024.4
,2019-08-15,7.3,16.2,0,,,N,52,12:27,10.7,55,,N,22,1022.6,15.5,47,,N,20,1018.7
,2019-08-16,10.6,16.9,0,,,N,50,01:15,11.7,56,,N,22,1012.8,12.2,89,,WNW,7,1014.2
,2019-08-17,7.0,16.5,3.8,,,NE,28,22:51,8.8,87,,NNE,6,1022.0,14.7,55,,SSW,7,1017.2
,2019-08-18,8.8,19.4,0,,,N,67,11:37,16.4,42,,NNE,20,1006.6,13.3,66,,WNW,11,1004.6
,2019-08-19,5.8,12.3,4.0,,,NW,39,00:50,7.8,69,,W,15,1017.8,11.3,65,,W,13,1020.3
,2019-08-20,7.6,17.0,0.4,,,NW,43,15:48,11.7,68,,NW,13,1023.8,16.6,53,,W,11,1020.8
,2019-08-21,11.5,16.6,0.2,,,WSW,46,06:22,13.1,77,,WSW,19,1019.8,16.3,49,,W,13,1018.3
,2019-08-22,9.6,13.0,1.6,,,W,46,00:02,11.6,57,,SW,15,1022.6,12.4,63,,SSW,17,1024.4
,2019-08-23,3.8,15.1,0,,,N,50,15:23,8.1,72,,NE,4,1026.0,14.5,50,,N,30,1020.3
,2019-08-24,7.9,18.0,0,,,N,52,13:40,11.3,51,,N,22,1016.3,17.0,44,,N,24,1010.9
,2019-08-25,6.5,12.9,1.2,,,SSW,26,12:41,8.7,70,,W,7,1021.9,11.9,55,,SSW,13,1021.8
,2019-08-26,5.3,14.4,0,,,SSW,20,12:06,8.0,82,,NNE,7,1026.4,13.4,47,,SSW,9,1024.3
,2019-08-27,4.2,15.3,0,,,S,20,15:41,8.3,81,,NE,9,1026.1,14.9,52,,SSE,9,1022.7
,2019-08-28,8.3,13.4,0,,,SSW,39,17:53,12.0,61,,N,15,1020.8,9.4,94,,WSW,11,1019.8
,2019-08-29,6.1,13.0,6.2,,,SSW,33,13:38,10.3,61,,SSE,13,1029.9,12.2,51,,SSW,15,1029.0
,2019-08-30,2.3,15.3,0.2,,,SSW,15,14:15,6.8,83,,NE,6,1029.9,13.9,55,,SSW,11,1025.6
,2019-08-31,5.0,18.2,0,,,NNW,46,12:21,11.6,64,,NNE,11,1024.3,17.6,43,,N,22,1019.7
