"Daily Weather Observations for Melbourne (Olympic Park), Victoria for April 2021"
"Prepared at 13:01 UTC on Wednesday  8 December 2021   IDCJDW3033.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,12.4,29.9,0,,,NNW,20,11:49,14.4,86,,NE,9,1024.3,28.7,30,,SE,7,1021.6
,2021-04-2,13.5,30.6,0,,,N,15,06:00,15.1,75,,NNE,9,1026.2,29.3,28,,SSW,9,1023.1
,2021-04-3,15.1,31.6,0,,,N,37,11:45,21.9,55,,NNW,17,1022.3,30.5,32,,N,19,1018.3
,2021-04-4,15.2,24.5,0,,,S,35,14:18,22.9,50,,NNW,11,1018.5,20.0,72,,S,15,1018.0
,2021-04-5,16.0,19.0,0,,,SSW,30,15:38,16.9,58,,SSE,9,1022.7,18.1,58,,SSW,17,1021.5
,2021-04-6,12.8,20.2,0,,,SSW,26,12:38,16.2,64,,SE,9,1023.7,19.6,59,,SSW,11,1021.5
,2021-04-7,14.9,23.0,0,,,SSW,20,16:55,15.8,82,, ,Calm,1020.2,21.6,61,,SSW,9,1015.8
,2021-04-8,15.4,29.3,0,,,NNW,43,14:36,20.5,73,,N,9,1011.0,28.9,25,,NNW,17,1005.0
,2021-04-9,13.8,17.3,6.2,,,S,35,03:11,15.2,59,,W,13,1010.0,15.7,62,,S,17,1009.6
,2021-04-10,12.9,18.3,0.2,,,WSW,54,14:43,14.1,71,,WNW,11,1007.9,15.4,53,,SW,17,1008.0
,2021-04-11,8.1,14.5,3.4,,,S,56,12:02,9.8,75,,WNW,11,1014.8,14.1,56,,SSW,19,1016.9
,2021-04-12,9.7,16.8,10.0,,,W,28,02:30,11.7,95,,WNW,6,1023.7,16.0,65,,SSW,11,1021.8
,2021-04-13,7.8,20.0,0.6,,,N,59,15:18,11.5,81,,NNE,9,1018.8,18.5,46,,N,28,1011.6
,2021-04-14,11.5,20.8,0,,,N,43,01:40,18.0,46,,NW,13,1010.9,20.1,46,,WSW,11,1011.1
,2021-04-15,14.0,20.2,0,,,SW,39,14:25,15.8,52,,WNW,11,1016.2,15.7,71,,WNW,6,1015.3
,2021-04-16,11.5,15.1,1.0,,,SSW,24,10:53,12.3,75,,NNE,6,1024.2,14.5,56,,S,7,1023.9
,2021-04-17,12.3,17.7,0,,,SSE,22,14:57,14.2,50,,W,9,1025.6,16.7,50,,S,13,1024.0
,2021-04-18,13.1,18.8,0,,,NNW,20,11:20,14.9,77,,NW,2,1023.5,17.5,64,,S,2,1020.3
,2021-04-19,12.0,20.6,0,,,NW,30,13:27,15.3,64,,N,9,1018.4,18.9,47,,NNW,15,1014.1
,2021-04-20,14.0,18.7,0,,,SSW,44,19:42,16.3,53,,N,9,1011.0,11.4,88,,W,6,1011.0
,2021-04-21,7.1,14.9,10.4,,,N,19,23:00,10.0,65,,NW,2,1019.2,14.2,48,,S,7,1015.4
,2021-04-22,9.9,17.0,0,,,WSW,30,16:15,13.4,62,,NNW,13,1013.3,16.8,46,,WNW,9,1012.0
,2021-04-23,12.1,17.3,0.4,,,WSW,31,09:24,14.7,66,,W,11,1018.6,16.4,51,,WSW,9,1018.5
,2021-04-24,13.1,18.3,0,,,NW,30,13:06,15.1,56,,NNW,15,1023.2,17.3,58,,SSE,2,1021.8
,2021-04-25,9.9,17.8,2.6,,,SSW,24,19:10,12.8,83,,N,2,1027.0,16.0,70,,SSW,4,1025.2
,2021-04-26,10.9,17.9,1.2,,,SSW,20,10:50,13.6,83,,SW,6,1027.9,16.1,68,,S,9,1027.1
,2021-04-27,11.8,16.6,0.6,,,W,19,08:57,13.4,87,,WSW,9,1029.5,16.3,73,,SSW,11,1026.7
,2021-04-28,7.4,16.9,0.4,,,SSW,22,15:03,12.3,87,, ,Calm,1026.4,14.8,70,,S,13,1023.9
,2021-04-29,8.2,18.4,0,,,SSW,17,13:44,12.0,83,, ,Calm,1025.1,17.5,66,,SSW,9,1022.9
,2021-04-30,9.5,24.4,0,,,N,30,12:05,12.5,83,,NNE,13,1027.0,23.9,32,,N,15,1024.0
