"Daily Weather Observations for Melbourne (Olympic Park), Victoria for October 2022"
"Prepared at 16:01 UTC on Friday  2 December 2022   IDCJDW3033.202210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-10-1,6.9,18.3,0,,,S,22,14:49,12.6,72,,NNE,7,1025.9,17.6,49,,S,13,1021.1
,2022-10-2,7.2,17.7,0,,,S,28,14:25,11.6,87,,SE,2,1021.3,16.5,46,,SSE,13,1020.1
,2022-10-3,7.0,21.2,0,,,SSW,20,14:53,9.5,85,,N,7,1021.2,20.3,37,,S,9,1018.2
,2022-10-4,9.5,16.0,0,,,SSW,26,11:35,13.9,73,,ESE,9,1023.7,15.7,61,,SSE,13,1023.6
,2022-10-5,10.5,14.5,0,,,SE,19,13:40,12.4,73,,NNE,6,1023.2,14.3,85,,ESE,11,1020.9
,2022-10-6,11.6,21.5,7.4,,,NNE,43,15:49,14.4,96,,ENE,2,1017.6,19.8,64,,NNE,22,1013.8
,2022-10-7,14.4,19.6,15.2,,,SW,31,10:25,17.4,81,,N,11,1010.3,17.7,77,,ENE,9,1009.3
,2022-10-8,9.6,15.2,19.8,,,SSE,35,15:40,11.2,70,,W,13,1018.6,13.6,61,,S,17,1019.6
,2022-10-9,7.1,15.1,0.2,,,SSW,28,10:28,9.3,85,,W,9,1025.2,14.0,43,,SSW,15,1025.0
,2022-10-10,5.3,18.0,0,,,S,24,11:53,9.3,71,,NNE,7,1027.4,17.5,33,,SSE,9,1024.2
,2022-10-11,8.4,22.2,0,,,N,35,11:01,11.5,71,,NNE,13,1021.4,20.8,42,,N,19,1017.4
,2022-10-12,11.4,18.8,1.8,,,N,50,23:00,16.4,90,,N,9,1015.6,15.5,100,,NNE,13,1014.1
,2022-10-13,15.4,17.5,21.6,,,N,43,01:51,15.7,100,,NNE,6,1010.5,16.3,85,,NNE,13,1002.8
,2022-10-14,10.3,18.3,22.6,,,NNW,48,08:42,13.6,76,,N,17,1006.7,17.9,58,,WNW,17,1009.0
,2022-10-15,10.0,19.0,1.2,,,SSE,26,20:10,13.6,57,,NW,11,1019.6,17.4,40,,NNW,15,1018.0
,2022-10-16,11.4,16.2,2.4,,,SSE,33,12:46,13.4,85,,W,7,1022.2,15.5,58,,S,17,1021.9
,2022-10-17,6.2,15.2,0,,,S,33,17:23,10.3,75,,N,6,1024.4,14.4,57,,SSW,19,1022.7
,2022-10-18,6.8,21.6,0,,,NNW,20,10:42,11.5,75,,NW,7,1019.9,19.8,43,,S,9,1016.6
,2022-10-19,7.8,20.7,0,,,SW,28,12:55,12.8,72,,NNE,9,1019.7,19.3,51,,SSW,15,1017.1
,2022-10-20,9.6,20.9,0,,,SSW,35,14:48,15.5,61,,SSW,7,1018.3,20.1,61,,SW,17,1014.5
,2022-10-21,13.2,26.3,0,,,NE,20,13:38,17.4,76,, ,Calm,1012.5,24.2,56,,NE,9,1008.4
,2022-10-22,16.1,19.8,18.6,,,SSW,24,17:57,16.1,100,,SSW,7,1008.1,19.0,82,,SSW,13,1009.5
,2022-10-23,13.9,20.3,4.2,,,SE,39,18:11,14.9,85,,SSE,11,1016.1,19.6,65,,SE,11,1013.2
,2022-10-24,13.2,20.6,0.4,,,SE,37,12:48,15.6,76,,SE,13,1013.0,19.8,66,,SE,13,1008.6
,2022-10-25,15.6,23.7,2.0,,,SSW,26,15:11,17.1,97,,N,9,1004.6,22.9,60,,SSW,13,1001.1
,2022-10-26,15.4,19.9,1.0,,,SW,24,21:29,15.5,100,,SSE,7,1000.8,18.5,81,,WSW,9,999.1
,2022-10-27,14.7,18.6,8.2,,,WSW,39,14:11,16.3,78,,N,13,998.1,18.4,80,,N,9,997.3
,2022-10-28,11.1,15.6,15.8,,,NW,41,10:33,12.5,75,,NNW,15,999.6,15.1,66,,W,17,1000.6
,2022-10-29,10.0,17.8,3.0,,,WSW,37,13:49,13.0,66,,WNW,11,1006.4,13.4,80,,SW,13,1006.6
,2022-10-30,8.5,21.6,2.4,,,N,54,16:26,12.5,81,,NNE,7,1010.0,21.1,42,,N,24,1003.7
,2022-10-31,12.2,22.4,1.2,,,N,67,01:15,20.9,57,,NNW,19,990.9,19.0,52,,NW,13,988.5
