"Daily Weather Observations for Melbourne, Victoria for February 2012"
"Prepared at 13:03 UTC on Monday 20 August 2012   IDCJDW3050.201202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-02-1,12.9,24.5,0,5.8,13.2,SSE,61,14:28,16.6,59,1,SE,30,1017.8,23.8,34,5,SSE,33,1014.2
,2012-02-2,13.7,27.1,0,9.0,11.4,WSW,39,14:02,17.2,66,5,WSW,7,1013.2,25.1,41,5,W,11,1009.2
,2012-02-3,15.3,27.1,0,6.2,12.3,SSE,33,13:13,18.5,71,7,WSW,13,1008.4,26.1,41,3,SSE,20,1005.5
,2012-02-4,16.3,32.9,,7.4,9.6,N,44,10:50,20.7,65,,NNE,20,1003.8,31.7,23,,NNW,24,999.8
,2012-02-5,20.7,32.1,,13.2,3.9,N,98,10:54,26.9,32,,N,44,994.2,30.1,34,,WSW,50,991.8
,2012-02-6,13.5,23.8,6.6,10.6,11.8,SW,56,16:00,15.5,55,1,WSW,24,1007.4,20.4,42,6,SSW,15,1006.6
,2012-02-7,14.5,22.0,0,6.0,3.8,S,43,15:57,16.4,63,5,WSW,19,1010.9,20.7,43,6,SSE,30,1011.4
,2012-02-8,13.7,22.2,0,5.6,11.1,S,48,14:18,17.4,51,5,SW,9,1014.8,21.1,45,5,SSE,30,1014.4
,2012-02-9,12.4,25.2,0,6.4,11.3,SSE,41,17:04,15.6,66,4,SW,15,1013.1,23.4,43,5,W,20,1010.6
,2012-02-10,15.5,26.9,0,6.2,7.0,S,52,14:51,20.5,71,5,SW,11,1011.4,24.5,52,6,S,30,1010.0
,2012-02-11,15.6,21.9,,8.6,5.6,S,41,15:10,18.5,75,,S,15,1013.7,19.6,71,,S,24,1013.4
,2012-02-12,15.6,23.7,,3.0,8.2,SSE,50,15:53,18.5,70,,SSE,17,1017.0,19.6,81,,S,28,1016.2
,2012-02-13,16.8,24.7,7.6,4.4,6.7,SSW,41,14:45,19.6,68,7,SSE,19,1019.7,22.4,64,5,S,26,1018.4
,2012-02-14,16.0,29.0,0,4.8,10.4,SSE,33,14:35,17.7,80,7,WSW,11,1020.3,27.0,48,2,S,15,1017.3
,2012-02-15,17.4,34.0,0,8.4,7.8,N,61,08:28,23.3,57,4,N,44,1016.3,33.1,22,6,NNW,30,1013.0
,2012-02-16,21.9,27.4,0,13.4,4.8,N,46,06:23,22.9,63,7,N,30,1013.8,24.3,61,6,SSE,30,1012.0
,2012-02-17,18.4,23.9,9.4,4.8,2.5,S,30,18:32,19.0,83,8,S,17,1017.3,22.5,61,6,S,17,1016.0
,2012-02-18,16.4,26.2,,3.2,8.0,SSE,30,10:39,16.9,85,,SW,7,1018.0,25.1,57,,S,11,1015.1
,2012-02-19,16.9,30.0,,4.0,6.4,N,35,11:44,20.1,80,,SSW,4,1014.5,28.3,48,,E,9,1012.1
,2012-02-20,19.5,23.9,0,4.6,1.0,S,35,19:27,20.7,72,7,SSE,19,1014.8,22.3,65,7,S,15,1014.4
,2012-02-21,17.8,24.4,0,4.0,6.6,S,39,17:38,19.5,67,7,SW,15,1015.5,23.0,53,7,SSW,13,1014.2
,2012-02-22,14.7,26.1,0,3.4,12.6,SSE,33,16:01,18.1,71,3,WSW,13,1015.9,24.5,51,1,S,19,1015.5
,2012-02-23,16.0,25.8,0,5.8,11.9,SSE,39,13:16,20.1,69,4,WSW,11,1018.7,24.0,61,2,S,24,1018.5
,2012-02-24,15.0,37.1,0,6.6,12.3,N,39,11:37,19.1,69,1,NE,7,1020.6,35.8,17,1,WNW,15,1017.4
,2012-02-25,18.8,37.1,,14.2,12.7,N,61,07:57,27.9,33,,N,44,1017.6,35.3,19,,N,28,1015.0
,2012-02-26,24.7,33.2,,15.2,10.3,NW,98,19:11,26.8,50,,N,44,1013.1,31.3,43,,NNE,39,1009.7
,2012-02-27,21.6,25.1,10.0,11.4,0.0,N,81,23:24,22.0,91,8,N,31,1011.6,22.9,88,7,S,17,1011.9
,2012-02-28,17.7,21.1,25.6,1.4,0.0,SSE,39,15:33,17.9,91,8,S,11,1015.0,20.4,64,7,SSE,28,1015.2
,2012-02-29,16.2,23.3,0.6,2.0,1.5,SSE,31,09:39,19.0,59,7,SSE,17,1015.7,22.4,55,7,SSW,7,1011.7
