"Daily Weather Observations for Melbourne, Victoria for May 2012"
"Prepared at 13:03 UTC on Friday 17 August 2012   IDCJDW3050.201205"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-05-1,8.2,22.6,0,2.8,3.5,N,61,02:43,16.7,55,7,N,39,1021.0,21.8,42,6,N,37,1017.2
,2012-05-2,11.8,15.2,19.8,5.0,1.5,S,50,14:31,12.1,91,8,WSW,20,1024.2,15.2,55,6,SSW,28,1023.9
,2012-05-3,8.4,13.0,2.8,0.6,0.2,WSW,48,10:25,11.1,75,7,W,28,1020.6,12.1,84,8,W,20,1019.1
,2012-05-4,10.8,17.1,3.0,1.4,5.5,W,48,14:14,13.0,68,3,W,22,1021.0,15.6,51,7,WSW,19,1019.7
,2012-05-5,9.7,14.1,,2.4,2.1,WSW,30,10:23,11.0,74,,W,15,1021.3,13.6,83,,SSW,13,1019.0
,2012-05-6,9.9,16.2,,1.0,3.0,WSW,31,09:10,11.2,79,,WSW,22,1018.4,15.4,43,,WSW,13,1016.6
,2012-05-7,10.7,15.4,1.6,1.8,1.0,N,69,22:49,12.4,63,7,N,31,1017.5,15.1,57,7,N,39,1013.2
,2012-05-8,12.4,20.7,0.2,4.0,10.0,N,72,00:22,14.4,55,3,N,46,1014.6,20.2,42,1,N,35,1012.1
,2012-05-9,14.4,22.3,0,7.4,5.2,N,63,10:26,17.9,43,5,N,39,1014.8,21.1,41,5,N,37,1013.9
,2012-05-10,10.7,20.6,0,4.4,9.8,N,31,23:25,12.1,75,1,NNW,11,1022.6,20.2,31,1,S,6,1018.2
,2012-05-11,12.0,18.5,1.0,3.2,6.0,SW,46,14:07,13.6,67,5,WNW,17,1018.3,16.3,51,6,SW,24,1017.3
,2012-05-12,8.8,16.8,,2.2,8.7,W,54,14:43,10.9,66,,W,24,1020.1,14.9,45,,WSW,35,1017.2
,2012-05-13,10.3,15.0,,3.0,3.5,SSW,57,13:50,10.5,82,,SW,28,1017.5,12.7,80,,SSW,22,1019.0
,2012-05-14,10.4,17.4,11.0,2.4,3.6,S,41,14:06,12.0,88,7,SSE,11,1026.5,16.2,65,7,SSE,24,1026.4
,2012-05-15,10.6,18.2,2.6,0.4,5.1,SSE,37,14:07,11.9,85,7,WSW,19,1027.9,17.8,60,6,S,26,1026.1
,2012-05-16,11.9,17.8,0.2,0.2,2.3,N,20,22:22,12.7,85,7,W,11,1026.8,16.1,46,7,ESE,7,1023.8
,2012-05-17,9.4,19.2,0,2.0,9.3,NNE,33,15:44,11.1,73,5,N,19,1024.6,18.6,36,6,NNW,11,1021.0
,2012-05-18,10.3,17.0,0,3.6,2.7,N,59,10:08,12.6,60,7,N,37,1022.5,16.6,49,6,N,31,1019.6
,2012-05-19,11.2,15.9,,2.6,0.3,NNW,35,00:04,11.4,91,,NW,11,1024.1,15.1,58,,S,11,1024.1
,2012-05-20,8.5,16.5,,0.8,6.8,N,26,22:54,8.8,74,,NW,11,1027.6,15.6,42,,E,9,1024.8
,2012-05-21,4.6,17.0,1.6,1.2,9.0,N,54,23:24,9.4,68,0,N,30,1023.7,16.2,43,5,NW,28,1020.3
,2012-05-22,9.4,18.3,0,3.6,2.5,N,61,13:55,11.6,58,,N,35,1020.1,17.7,43,,NNW,31,1016.1
,2012-05-23,11.4,20.5,0,4.0,8.5,N,70,14:58,12.5,54,5,N,31,1015.7,20.2,28,2,N,52,1010.3
,2012-05-24,10.9,15.7,0,6.0,2.4,N,35,00:17,11.8,53,3,WSW,9,1016.1,14.7,65,7,SSE,15,1014.5
,2012-05-25,9.3,11.0,4.2,1.4,0.0,WSW,72,15:31,9.3,86,8,NW,20,1007.4,10.7,87,8,WSW,52,1004.9
,2012-05-26,8.5,16.1,,2.4,3.2,S,43,17:17,10.9,83,,WNW,19,1013.7,13.3,87,,WSW,20,1014.4
,2012-05-27,10.1,15.1,,1.8,1.7,SSW,39,12:56,11.3,73,,WSW,19,1024.6,14.1,58,,SSW,20,1024.7
,2012-05-28,10.9,15.1,34.6,1.6,0.1,WSW,30,01:49,11.9,76,7,SW,19,1029.9,14.2,67,7,SSW,15,1029.4
,2012-05-29,10.1,14.8,0,1.4,0.0,W,20,04:07,12.0,68,7,NNW,9,1033.6,14.1,64,6,NNW,9,1033.2
,2012-05-30,9.5,15.1,0,0.8,0.0,SE,17,13:59,11.5,85,8,WSW,9,1036.2,14.6,80,7,SSW,11,1033.9
,2012-05-31,5.7,17.5,0,0.6,9.6,N,43,10:23,7.7,87,0,N,13,1032.6,17.1,50,1,NNE,22,1029.5
