"Daily Weather Observations for Melbourne, Victoria for July 2012"
"Prepared at 13:03 UTC on Tuesday 21 August 2012   IDCJDW3050.201207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-07-1,6.4,10.5,,1.6,0.0,WSW,46,19:26,7.3,76,,N,26,1012.7,8.4,92,,ENE,13,1012.0
,2012-07-2,7.1,12.4,15.2,2.0,0.9,SW,41,11:25,9.2,87,7,WSW,28,1020.8,11.9,63,7,SW,22,1022.0
,2012-07-3,8.9,14.4,1.4,0.4,3.2,SW,28,13:49,10.5,90,7,WSW,11,1024.5,13.0,67,6,SSW,15,1023.7
,2012-07-4,8.7,14.0,2.6,0.8,3.2,S,31,13:30,9.3,81,5,SW,11,1030.2,12.6,73,6,S,20,1030.6
,2012-07-5,5.4,13.6,0,1.4,8.4,ESE,22,13:23,7.4,93,6, ,Calm,1036.1,13.0,62,5,SSE,17,1034.8
,2012-07-6,5.7,12.1,0,0.4,0.3,N,24,23:54,7.0,88,7,NNW,7,1036.3,12.0,54,7, ,Calm,1033.4
,2012-07-7,2.3,14.5,0,0.6,8.5,N,35,10:06,4.6,82,,N,24,1033.0,13.4,39,,NNE,13,1030.1
,2012-07-8,3.2,15.3,0,1.8,3.6,N,48,11:48,5.4,72,,NNE,17,1029.8,15.2,39,,NNE,30,1026.3
,2012-07-9,5.4,16.5,,2.2,1.4,N,63,10:54,10.7,72,,N,35,1025.3,15.8,48,,N,28,1021.9
,2012-07-10,10.3,14.3,0.4,1.8,0.0,N,54,22:26,12.2,74,8,NE,7,1017.5,13.9,69,,NNE,19,1010.8
,2012-07-11,11.4,15.8,2.0,0.4,4.0,NW,56,10:54,12.7,73,7,N,30,1013.3,13.6,66,,N,30,1013.7
,2012-07-12,11.7,14.0,,2.8,0.1,N,59,05:44,12.1,78,,N,35,1011.8,13.3,72,,NE,13,1007.6
,2012-07-13,9.6,14.9,3.6,0.4,1.5,NW,19,21:53,10.4,86,7,NW,9,1009.0,14.4,66,6,NW,7,1007.1
,2012-07-14,10.4,14.0,,0.6,5.5,WSW,52,23:45,11.4,66,,N,15,1008.1,13.4,56,,NW,22,1006.3
,2012-07-15,7.7,15.5,,2.2,7.9,NW,57,14:48,8.8,61,,N,26,1017.3,14.4,53,,NNW,39,1015.9
,2012-07-16,8.8,17.2,3.4,2.2,5.1,N,56,16:03,11.4,81,6,N,24,1024.8,16.5,59,7,NNW,28,1022.8
,2012-07-17,11.3,16.6,0,2.2,7.6,N,65,12:23,12.8,65,2,N,28,1021.5,16.0,43,7,NNW,33,1017.8
,2012-07-18,8.9,15.0,1.2,3.4,5.6,SW,46,16:42,10.0,73,7,N,19,1018.2,14.2,32,4,WNW,22,1016.7
,2012-07-19,4.1,15.0,0.2,2.4,4.6,NNW,39,23:44,6.8,72,2,N,22,1022.8,13.9,44,7,NW,19,1021.5
,2012-07-20,6.8,16.4,0,2.6,2.1,NNW,41,00:03,10.9,76,7,N,19,1027.3,14.8,69,7,SSW,13,1027.4
,2012-07-21,7.2,17.6,0,0.8,6.0,SW,26,12:34,8.4,83,,WNW,11,1033.1,17.1,55,,SSE,11,1031.8
,2012-07-22,8.3,16.7,0,0.4,3.8,SE,20,14:12,11.5,86,,SW,7,1033.3,15.2,58,,SSE,9,1030.9
,2012-07-23,4.0,16.5,0,1.6,6.1,N,26,02:13,5.6,91,2,N,9,1031.4,14.7,56,7,NW,9,1027.7
,2012-07-24,5.6,15.1,0,2.0,3.1,NNE,39,11:43,8.1,76,7,N,17,1027.2,14.7,48,7,NNE,20,1023.6
,2012-07-25,8.1,15.9,0,2.0,0.7,N,48,09:14,11.3,68,7,N,31,1017.6,14.4,53,7,N,26,1013.2
,2012-07-26,9.3,13.3,5.0,2.2,7.0,N,59,15:50,9.9,77,3,N,39,1007.8,12.2,67,6,N,43,1006.5
,2012-07-27,9.9,14.6,2.6,2.0,2.5,SW,44,20:10,11.1,91,7,WSW,19,1011.4,13.2,75,7,S,24,1012.7
,2012-07-28,8.2,16.1,,1.0,3.4,WSW,48,15:00,10.3,82,,NW,13,1020.1,15.5,64,,WSW,28,1019.2
,2012-07-29,7.2,13.2,,1.8,4.2,SW,37,13:32,8.2,86,,WSW,19,1027.4,12.3,65,,SSW,15,1026.7
,2012-07-30,7.3,15.8,21.4,1.6,4.3,S,41,11:49,11.2,74,7,WSW,11,1031.1,14.3,60,6,S,24,1030.0
,2012-07-31,8.5,15.1,0,0.6,6.1,SSE,33,13:16,9.2,77,3,SSW,9,1030.5,12.3,55,6,S,20,1027.7
