"Daily Weather Observations for Melbourne, Victoria for October 2012"
"Prepared at 13:03 UTC on Saturday 10 August 2013   IDCJDW3050.201210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-10-1,10.0,18.2,,2.8,6.3,SW,37,09:51,13.5,66,,SW,24,1030.7,17.5,46,,S,20,1030.5
,2012-10-2,11.6,22.2,0.2,3.0,8.9,SSE,41,15:45,14.0,68,7,WSW,7,1032.9,18.1,54,,NNE,19,1027.4
,2012-10-3,9.9,27.2,0,4.0,11.4,N,50,23:53,18.7,49,,N,20,1025.0,24.7,30,,NNW,24,1020.4
,2012-10-4,16.9,31.4,0,8.0,11.3,WNW,69,11:29,21.0,31,2,N,37,1013.4,30.9,11,1,WNW,39,1008.8
,2012-10-5,11.9,18.0,0,10.4,11.1,SW,35,12:31,14.5,65,5,SSW,22,1017.8,16.7,45,3,SSE,24,1018.1
,2012-10-6,11.3,13.9,0,4.4,1.2,S,41,19:43,12.2,63,,SE,19,1016.7,10.5,79,,S,22,1016.1
,2012-10-7,6.8,15.7,3.2,2.0,2.3,SW,35,10:17,9.6,76,,WSW,20,1020.4,13.5,62,,S,17,1019.6
,2012-10-8,9.2,16.3,1.2,1.0,3.7,S,28,14:45,10.6,71,7,W,11,1017.2,15.2,42,7,SSW,11,1014.8
,2012-10-9,8.3,18.1,0,2.0,9.1,SW,41,20:09,11.9,64,2,WSW,19,1015.1,16.8,36,6,WSW,15,1012.2
,2012-10-10,7.3,15.8,6.4,3.8,6.4,WSW,31,20:44,9.9,71,6,W,15,1012.6,14.6,36,7,NW,11,1009.1
,2012-10-11,6.9,13.4,2.4,3.0,0.5,SSE,48,13:02,8.9,80,7,SSW,13,1010.2,11.4,72,7,SSE,26,1011.9
,2012-10-12,8.8,15.2,0.6,1.0,2.7,SSW,46,11:38,11.7,72,7,SW,20,1020.2,14.0,55,7,S,28,1020.3
,2012-10-13,10.2,17.1,,3.0,4.8,WSW,41,12:28,11.9,75,,WSW,19,1022.7,16.6,52,,WSW,17,1021.3
,2012-10-14,8.3,22.5,,1.6,11.5,N,44,22:18,12.2,68,,N,13,1025.2,21.2,38,,WSW,7,1021.5
,2012-10-15,12.1,26.7,1.8,7.2,1.8,N,76,06:25,18.9,35,7,N,52,1018.2,24.3,30,6,N,43,1014.4
,2012-10-16,12.0,20.6,0,4.4,2.8,SW,69,17:43,17.2,54,7,N,24,1011.5,18.3,64,7,WNW,22,1009.1
,2012-10-17,8.6,17.2,2.0,4.0,4.8,WSW,41,08:05,12.0,64,6,W,22,1020.8,15.9,50,6,WSW,22,1020.6
,2012-10-18,9.0,21.4,0,2.4,7.5,SSE,26,15:28,11.8,73,7,NNE,7,1021.2,20.9,42,7,S,9,1018.5
,2012-10-19,11.7,28.4,0.4,3.6,8.8,N,56,11:48,14.5,78,7,N,20,1012.5,26.9,29,2,NW,22,1007.9
,2012-10-20,12.8,22.2,,6.2,9.0,SW,39,22:44,13.7,66,,W,15,1015.3,21.2,41,,S,17,1013.4
,2012-10-21,11.2,19.2,,4.6,9.8,SW,67,15:21,13.9,59,,SW,20,1017.5,18.2,27,,WSW,33,1016.0
,2012-10-22,8.1,18.6,4.2,6.0,11.2,SSE,33,09:27,12.1,68,7,SSW,13,1023.8,17.5,41,3,SSE,13,1023.9
,2012-10-23,8.5,23.4,0,4.6,9.9,N,59,15:38,14.5,39,7,N,37,1024.6,22.1,22,7,N,33,1020.9
,2012-10-24,13.0,22.7,0,5.8,2.8,N,76,08:47,18.1,40,6,N,50,1017.6,22.1,30,7,N,35,1015.0
,2012-10-25,17.9,21.2,0,8.2,5.9,WSW,63,10:11,19.9,50,5,WNW,24,1005.9,19.3,51,7,W,35,1010.2
,2012-10-26,10.5,15.7,1.6,5.4,6.0,SW,54,16:33,12.0,64,6,SW,24,1013.8,14.8,58,7,W,26,1012.1
,2012-10-27,9.2,15.5,,3.8,1.0,SW,39,08:06,11.0,70,,SW,26,1021.0,14.0,55,,S,17,1023.0
,2012-10-28,10.9,18.0,,3.2,9.2,SSE,33,15:18,12.7,64,,S,6,1025.5,17.9,50,,SSE,17,1023.4
,2012-10-29,9.3,25.4,5.2,4.0,12.2,N,52,13:10,13.6,68,6,NE,6,1021.3,24.8,44,7,N,24,1016.1
,2012-10-30,13.2,32.0,0,6.0,12.7,N,50,07:31,22.4,40,1,N,37,1013.6,30.9,18,1,NW,28,1011.4
,2012-10-31,18.6,30.2,0,11.4,3.0,SW,76,15:36,25.6,27,6,N,48,1010.4,30.0,24,7,N,13,1009.0
