"Daily Weather Observations for Melbourne, Victoria for November 2012"
"Prepared at 13:03 UTC on Friday  9 August 2013   IDCJDW3050.201211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-11-1,12.8,16.0,3.2,7.6,3.8,SW,70,10:37,13.8,74,7,W,26,1007.9,14.8,53,7,SW,37,1013.2
,2012-11-2,10.6,16.8,0.6,4.6,1.6,SSW,35,06:55,12.2,80,7,S,24,1018.9,15.8,54,6,SSE,22,1019.3
,2012-11-3,10.4,22.0,0,3.0,8.3,NNE,43,12:35,13.8,55,,ESE,15,1018.9,19.5,50,,NNE,22,1014.8
,2012-11-4,12.1,29.1,0,5.4,12.2,N,54,07:54,19.9,47,,N,41,1015.4,28.2,23,,N,30,1012.3
,2012-11-5,19.9,26.8,0,14.0,0.1,N,63,01:45,25.5,26,,N,44,1010.2,24.3,46,7,NNE,28,1010.0
,2012-11-6,20.1,22.9,0,6.4,1.6,N,57,03:46,20.1,64,,SW,19,1009.6,21.8,53,,NE,11,1009.4
,2012-11-7,14.8,19.6,1.6,3.2,0.3,SSE,26,14:18,16.2,76,8,W,9,1011.5,19.3,65,8,SSE,17,1009.5
,2012-11-8,12.3,23.0,1.6,3.4,10.1,SSE,37,16:04,16.1,78,6,SSE,9,1011.8,22.1,41,4,SE,22,1011.3
,2012-11-9,12.5,18.9,0.4,3.0,8.6,W,63,12:25,14.6,51,3,W,35,1018.0,17.8,39,7,SW,30,1019.2
,2012-11-10,9.5,19.3,,5.8,9.0,SSE,35,13:52,11.4,79,,S,11,1026.6,18.6,48,,S,17,1024.4
,2012-11-11,8.2,27.4,,5.4,12.6,N,61,07:48,17.2,49,,N,48,1024.8,25.3,23,,NNE,35,1020.0
,2012-11-12,17.2,26.8,5.4,14.4,7.9,N,93,03:45,20.3,31,7,N,54,1015.2,19.2,60,7,SW,39,1018.1
,2012-11-13,11.9,19.8,0,7.6,11.9,SSW,46,13:40,15.2,46,7,SE,31,1024.0,18.8,40,3,S,26,1022.0
,2012-11-14,10.4,19.6,0,7.0,9.6,SSW,31,13:08,14.2,59,3,S,11,1019.7,18.2,52,8,S,19,1017.5
,2012-11-15,10.8,19.8,0,5.4,4.0,SSW,33,17:14,14.7,65,6,SW,11,1016.1,18.7,50,7,SW,13,1015.1
,2012-11-16,12.3,19.3,0.4,4.4,7.6,S,46,12:30,14.8,57,7,SSW,24,1016.0,17.3,49,6,S,28,1016.2
,2012-11-17,12.5,19.0,,4.8,3.6,SSE,30,11:04,13.7,72,,SSW,15,1016.8,17.6,46,,S,19,1015.2
,2012-11-18,10.6,19.7,,3.4,10.4,SSE,46,14:23,11.3,87,,W,15,1014.6,18.3,45,,SSE,24,1015.2
,2012-11-19,11.3,24.0,0.8,5.4,13.3,SSW,44,14:50,16.5,58,3,SE,22,1021.0,23.5,34,1,S,28,1019.2
,2012-11-20,12.3,28.1,0,7.6,9.4,N,57,11:31,20.5,41,7,N,33,1020.4,26.1,24,7,NNE,44,1014.7
,2012-11-21,17.0,20.9,0,14.4,8.6,N,74,01:34,18.8,56,6,SW,28,1013.1,19.9,46,3,SSE,35,1014.8
,2012-11-22,11.8,21.7,0,7.2,12.1,SSE,41,15:41,15.1,57,6,SSW,19,1020.2,20.9,42,2,SSE,22,1018.9
,2012-11-23,14.5,21.8,0,6.4,8.6,S,31,11:39,15.7,67,8,SSE,11,1020.2,19.1,60,3,SE,20,1016.9
,2012-11-24,13.3,34.5,0,6.4,7.9,N,52,09:37,20.2,61,,N,28,1012.7,34.1,18,,NW,20,1009.2
,2012-11-25,16.4,21.8,0,10.0,6.1,SSE,33,14:25,17.7,73,,SSW,15,1016.0,19.6,61,,SSE,19,1016.8
,2012-11-26,13.7,22.2,0,5.0,4.5,S,31,11:03,15.9,72,7,S,9,1016.7,20.5,53,6,SSE,13,1014.8
,2012-11-27,15.2,22.9,17.8,3.8,5.4,W,74,23:58,16.9,96,8,WSW,19,1015.7,22.6,64,6,S,26,1014.5
,2012-11-28,15.3,28.1,4.8,5.2,9.5,SE,30,15:52,17.9,79,8,SSW,6,1015.3,27.6,51,3,SSE,19,1011.9
,2012-11-29,17.8,39.6,0,8.0,12.1,N,61,08:35,25.8,59,0,N,43,1009.0,38.5,22,6,N,35,1004.9
,2012-11-30,24.1,27.7,0.6,12.6,2.6,SE,33,11:59,27.3,58,7,SW,17,1008.9,25.8,55,7,SE,17,1009.3
