"Daily Weather Observations for Melbourne, Victoria for February 2013"
"Prepared at 13:02 UTC on Tuesday 20 August 2013   IDCJDW3050.201302"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-02-1,12.2,21.1,25.8,5.2,8.1,SSE,57,14:49,15.8,54,7,SW,17,1013.7,19.8,44,5,S,39,1013.9
,2013-02-2,13.9,21.8,,4.8,10.8,SSE,54,10:39,16.2,57,,SSW,17,1017.4,20.6,48,,S,24,1017.5
,2013-02-3,16.1,26.1,,5.4,6.4,S,52,16:01,18.1,83,,SSW,15,1018.8,24.7,42,,SE,13,1017.4
,2013-02-4,17.2,22.7,1.0,6.8,9.1,S,37,14:42,17.8,64,7,ESE,15,1022.9,21.6,50,1,SSE,20,1022.1
,2013-02-5,15.9,28.9,0,6.4,11.4,S,35,12:12,17.8,72,5,NNW,9,1022.0,26.8,45,1,S,24,1018.2
,2013-02-6,16.1,37.2,0,8.6,12.4,N,54,14:40,22.2,53,1,N,33,1014.9,35.7,9,7,N,28,1010.3
,2013-02-7,20.1,30.9,0,16.6,10.3,SSE,52,15:18,22.3,56,5,SSE,9,1010.1,28.6,39,5,SSE,22,1007.6
,2013-02-8,18.1,30.0,0,6.4,12.9,S,35,18:06,21.1,62,5,N,4,1014.4,26.6,39,6,SSE,19,1012.6
,2013-02-9,16.5,30.2,,8.4,9.9,SSE,39,15:33,20.8,61,,WSW,9,1013.6,27.9,32,,SE,11,1011.1
,2013-02-10,15.6,23.5,,7.6,8.3,S,54,16:11,17.9,58,,S,24,1019.0,21.4,47,,S,30,1019.3
,2013-02-11,15.9,25.7,3.8,8.0,12.2,SSW,44,15:02,18.3,59,6,SSE,26,1020.3,25.4,50,1,S,26,1017.9
,2013-02-12,16.2,26.0,0,6.6,9.2,S,41,15:26,17.5,71,7,S,15,1020.9,24.6,52,1,S,26,1019.2
,2013-02-13,15.7,32.7,0,6.0,12.5,SSE,43,17:30,18.9,69,0,WNW,9,1020.8,31.1,39,2,S,24,1016.7
,2013-02-14,18.8,33.0,0,9.6,7.7,WSW,39,16:21,21.2,73,7,S,9,1018.9,30.5,45,6,SSE,24,1016.1
,2013-02-15,19.7,31.4,0,6.8,12.4,S,39,15:59,22.6,69,2,WSW,15,1020.1,28.9,46,2,S,19,1017.0
,2013-02-16,19.5,35.4,0,8.0,10.6,N,59,08:44,23.5,63,,NNE,22,1019.5,34.0,25,,E,20,1016.8
,2013-02-17,19.8,35.7,0,11.6,12.5,N,56,07:44,25.3,47,,N,39,1018.4,34.0,26,,SSE,13,1015.4
,2013-02-18,21.2,36.7,0,14.8,12.3,N,72,07:47,26.7,38,1,N,56,1014.0,35.1,22,2,N,31,1010.4
,2013-02-19,20.5,21.0,0.4,17.0,0.0,SSE,41,16:51,20.8,77,8,S,20,1014.1,19.7,70,8,S,26,1016.2
,2013-02-20,15.8,29.5,0.4,4.0,12.0,SSE,43,17:34,18.2,51,5,SE,17,1018.7,22.9,57,6,S,19,1015.7
,2013-02-21,17.3,31.8,0,5.6,7.8,E,48,16:14,20.7,74,7,WSW,9,1017.8,31.8,41,7,SSE,17,1014.5
,2013-02-22,20.7,32.6,0.2,6.6,9.9,S,41,15:14,21.5,70,7,W,6,1019.4,30.9,39,4,ESE,20,1016.5
,2013-02-23,19.4,32.1,,7.8,12.0,SE,39,14:29,22.6,64,,NE,17,1016.9,30.8,29,,SSE,26,1013.4
,2013-02-24,19.4,34.3,,9.6,9.9,SE,37,15:09,22.8,59,,NNE,11,1010.8,32.6,19,,SE,24,1008.1
,2013-02-25,22.2,29.7,,9.2,7.8,S,44,17:15,25.8,45,,WSW,15,1014.1,27.1,63,,S,26,1012.5
,2013-02-26,17.3,27.5,,7.8,4.5,WSW,35,23:37,17.8,94,8,E,11,1016.5,23.9,74,,ENE,9,1013.6
,2013-02-27,17.7,27.6,27.0,4.4,1.9,N,61,08:30,24.0,71,8,N,43,1009.4,22.2,80,,SSW,22,1009.7
,2013-02-28,14.2,21.4,7.8,4.2,2.4,S,54,09:55,17.7,56,6,SSW,22,1014.7,19.0,48,,SSE,35,1016.6
