"Daily Weather Observations for Melbourne, Victoria for November 2013"
"Prepared at 13:03 UTC on Monday  3 February 2014   IDCJDW3050.201311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-11-1,9.5,22.7,0,4.6,11.1,SSE,30,14:46,14.9,60,3,NNE,7,1021.7,21.5,41,6,ESE,9,1018.5
,2013-11-2,12.8,26.1,,4.6,11.4,W,35,16:54,18.6,52,,SW,11,1016.2,24.6,33,,S,11,1013.1
,2013-11-3,13.3,17.7,,6.8,9.0,SW,61,10:48,14.6,54,,SW,35,1017.5,15.6,44,,SSW,35,1020.9
,2013-11-4,10.3,17.8,1.4,4.8,12.0,SSE,46,10:55,13.0,52,6,SSW,20,1028.9,17.2,40,3,S,28,1029.5
,2013-11-5,9.1,26.0,0,5.6,12.4,NNE,31,11:06,13.6,60,,E,9,1028.2,22.7,39,,N,15,1023.3
,2013-11-6,12.2,30.7,0,8.0,11.2,N,57,09:34,20.7,32,0,N,31,1018.5,29.5,16,1,N,37,1013.7
,2013-11-7,20.2,25.8,0,14.2,0.4,N,56,05:07,23.6,26,7,N,41,1009.8,17.9,74,7,SSE,28,1011.1
,2013-11-8,14.4,18.6,0,3.6,0.9,WSW,54,18:44,15.6,82,8,NNW,7,1006.8,16.0,90,7,ENE,22,1006.0
,2013-11-9,10.3,17.5,,1.8,4.2,SSW,50,12:50,12.7,73,,SW,30,1014.5,16.1,56,,S,30,1017.3
,2013-11-10,9.7,18.1,,3.4,6.9,S,50,13:42,14.2,49,,SSW,13,1022.5,16.2,53,,S,30,1021.4
,2013-11-11,9.8,19.4,8.0,5.8,5.3,SE,52,14:38,13.3,66,5,SE,17,1024.0,16.2,51,6,ESE,33,1022.0
,2013-11-12,12.4,15.9,1.0,3.8,0.3,SE,48,12:04,14.9,68,7,SE,30,1017.7,14.8,81,8,S,19,1015.1
,2013-11-13,10.0,14.7,20.0,3.6,0.0,W,48,11:44,10.8,94,8,W,28,1013.0,12.5,85,8,WSW,26,1013.4
,2013-11-14,10.7,17.5,7.8,2.6,3.1,WSW,43,09:01,13.9,71,7,SW,26,1017.3,15.4,64,7,SSW,19,1017.8
,2013-11-15,11.6,19.0,0.2,3.4,7.6,S,44,13:12,13.7,77,7,SSW,17,1019.9,18.0,55,5,S,28,1019.4
,2013-11-16,10.7,19.0,,4.4,3.6,SSW,37,15:44,14.8,64,,SSE,19,1019.4,17.3,61,,S,24,1018.0
,2013-11-17,9.6,20.6,,4.2,13.1,SSE,31,10:41,13.8,71,,SSW,17,1019.4,19.6,52,,SSE,17,1018.0
,2013-11-18,11.5,27.7,0,4.6,11.4,SE,33,14:45,14.9,73,1,N,11,1016.4,25.7,30,1,WNW,9,1011.8
,2013-11-19,14.7,31.6,0,8.0,12.2,N,61,08:16,24.3,32,6,N,43,1008.4,26.4,39,6,NNW,20,1006.8
,2013-11-20,14.4,18.9,,8.4,0.5,W,39,22:15,15.0,67,,SSE,26,1012.9,17.7,59,,S,24,1010.5
,2013-11-21,11.9,24.1,0.2,3.4,10.3,NW,52,11:00,15.7,74,7,WNW,9,1008.4,22.3,49,5,NW,20,1006.7
,2013-11-22,13.3,23.0,0,6.2,9.5,SW,41,15:36,15.1,67,7,WSW,19,1009.0,21.4,37,4,W,24,1006.8
,2013-11-23,13.1,20.2,,5.4,5.3,WSW,54,16:02,14.2,87,,WSW,19,1007.2,17.9,68,,SW,24,1006.4
,2013-11-24,11.7,19.6,,4.4,4.8,S,50,14:36,13.2,93,,WSW,24,1010.1,17.6,60,,S,28,1011.0
,2013-11-25,13.2,22.9,12.0,3.8,12.0,SSE,44,16:33,16.7,60,7,S,13,1014.5,21.7,43,1,SSE,26,1012.8
,2013-11-26,10.3,29.1,0,6.8,10.8,N,44,08:52,17.0,60,7,N,30,1015.4,27.4,21,,SSW,9,1013.1
,2013-11-27,15.7,33.1,0,6.6,9.5,NNW,48,14:10,21.9,51,7,N,19,1014.0,32.1,17,7,N,22,1010.6
,2013-11-28,21.8,24.2,0,13.0,0.0,N,61,23:21,24.0,36,7,W,26,1004.4,17.6,79,8,W,7,1007.2
,2013-11-29,12.0,19.3,8.4,2.4,2.4,SSW,50,10:08,16.3,61,7,S,24,1013.7,19.1,42,7,SSW,28,1016.5
,2013-11-30,12.3,19.8,0,3.0,10.3,SSE,35,14:49,15.2,59,,S,24,1021.7,18.0,47,,SSE,17,1020.6
