"Daily Weather Observations for Melbourne, Victoria for April 2014"
"Prepared at 13:03 UTC on Thursday 17 July 2014   IDCJDW3050.201404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-04-1,18.9,33.4,0,9.6,10.1,N,63,21:54,23.1,56,3,N,35,1016.1,32.8,24,3,NNE,39,1012.2
,2014-04-2,23.0,24.9,0,15.0,0.2,N,72,23:50,23.9,49,7,N,35,1013.2,19.2,88,7,SSE,26,1014.0
,2014-04-3,15.1,18.3,0.6,2.0,0.0,S,37,13:51,17.5,60,8,SW,15,1019.9,17.5,72,7,S,28,1020.3
,2014-04-4,14.6,20.7,0,3.0,0.7,SSE,41,08:13,15.8,67,7,SSE,28,1021.9,19.3,59,7,SSW,24,1019.5
,2014-04-5,15.0,24.5,0,2.4,6.1,S,35,16:27,17.5,77,,WSW,9,1021.6,23.1,49,,S,15,1019.5
,2014-04-6,12.5,25.4,0,4.0,8.8,S,33,16:28,14.3,88,,SSW,7,1024.5,24.3,46,,S,19,1021.5
,2014-04-7,13.3,24.9,,4.0,3.1,N,50,11:09,17.0,75,7,N,31,1023.7,24.5,42,7,NNE,30,1020.0
,2014-04-8,16.6,22.0,,5.4,0.0,N,59,10:12,20.1,54,8,N,39,1020.1,17.6,86,8,NNE,11,1019.1
,2014-04-9,16.7,18.0,14.8,1.8,0.0,NE,31,10:37,17.4,91,8,ENE,11,1019.7,17.7,93,8,NNE,13,1016.9
,2014-04-10,16.5,19.3,18.6,0.6,0.0,S,28,23:13,17.5,95,8,ENE,13,1013.4,18.8,89,8,E,11,1009.1
,2014-04-11,17.0,19.2,12.8,1.8,0.0,S,50,09:53,18.2,86,8,S,31,1011.3,17.6,85,8,SSW,28,1012.5
,2014-04-12,15.5,23.0,,0.6,7.0,S,37,15:28,17.4,78,,SSE,22,1018.7,22.4,55,,S,26,1017.1
,2014-04-13,13.0,22.5,,2.6,7.0,S,35,15:15,15.2,78,,S,13,1020.9,20.9,55,,SSE,24,1019.6
,2014-04-14,12.5,21.1,1.0,2.4,10.4,S,56,12:43,15.4,68,2,SSE,22,1023.8,20.2,41,5,S,26,1021.5
,2014-04-15,12.6,21.9,0,3.6,10.0,S,35,13:33,16.1,67,2,S,9,1024.0,20.5,57,3,S,24,1021.4
,2014-04-16,10.0,22.3,0,2.8,6.4,SSE,30,15:52,13.4,86,7,N,11,1021.2,21.0,58,7,NW,11,1018.0
,2014-04-17,11.2,25.1,0,4.0,10.1,N,28,20:36,14.1,76,0,NNW,6,1021.1,24.1,36,6,NE,13,1018.0
,2014-04-18,13.9,19.0,,3.2,2.6,SW,48,10:55,17.4,58,,NNW,22,1014.8,18.8,45,,SSW,22,1016.8
,2014-04-19,11.7,18.1,,1.8,1.3,SW,33,10:28,13.2,65,,WSW,17,1020.5,16.6,52,,SW,19,1018.5
,2014-04-20,12.7,19.1,,3.4,3.0,N,52,00:00,13.7,55,,NNW,15,1018.2,18.0,39,,WSW,15,1016.2
,2014-04-21,12.5,18.5,,4.4,3.4,N,74,19:10,14.3,48,,N,43,1019.4,18.0,43,,NNE,26,1015.8
,2014-04-22,13.3,16.8,8.4,8.8,0.9,N,72,01:14,13.3,83,8,N,31,1015.5,16.6,75,7,NNW,9,1014.3
,2014-04-23,11.9,19.4,6.6,1.4,8.4,N,26,23:58,13.2,74,3,W,11,1017.1,18.2,54,7,SW,2,1013.3
,2014-04-24,12.3,18.8,0.6,2.8,7.1,SW,48,10:51,14.0,83,7,W,28,1015.1,18.0,35,2,SW,20,1017.4
,2014-04-25,6.5,20.9,0,4.0,9.5,NNE,50,13:35,9.0,76,,N,9,1020.5,20.4,36,,N,35,1013.5
,2014-04-26,9.0,19.3,0,5.4,2.5,SW,54,10:54,17.9,52,,NW,20,1011.8,16.5,53,,SW,26,1014.9
,2014-04-27,9.5,17.6,0,3.0,9.4,ESE,41,09:59,12.6,57,,SSE,11,1025.7,17.2,40,,SE,19,1022.4
,2014-04-28,6.5,22.4,0,3.2,5.0,N,81,22:08,13.9,66,7,N,31,1020.7,20.7,47,7,N,31,1016.5
,2014-04-29,13.9,20.0,0,6.0,0.9,,,00:54,19.6,67,8,N,44,1009.8,16.8,86,8,N,17,1007.7
,2014-04-30,10.5,17.8,13.4,2.4,5.6,,,00:01,11.4,89,7,WSW,28,1017.7,17.6,42,3,SW,41,1018.8
