"Daily Weather Observations for Sydney, New South Wales for September 2017"
"Prepared at 13:00 UTC on Saturday 11 August 2018   IDCJDW2124.201709"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-09-1,8.2,19.2,0,3.4,9.8,W,33,06:37,12.2,52,2,W,20,1026.3,17.7,44,1,ESE,19,1022.1
,2017-09-2,7.8,19.4,0,4.8,10.8,W,24,05:47,11.8,69,1,W,15,1021.4,17.5,49,2,E,19,1017.9
,2017-09-3,10.0,27.2,0,5.0,7.3,NW,48,17:04,15.3,55,6,WSW,6,1013.8,26.6,16,6,N,19,1005.1
,2017-09-4,12.0,22.2,0,7.6,10.7,WNW,56,15:00,16.0,35,0,W,7,1009.7,21.7,22,1,WNW,37,1005.9
,2017-09-5,11.4,18.7,0,10.4,10.8,W,61,15:52,14.7,31,2,WNW,19,1011.6,18.2,22,2,WNW,33,1009.3
,2017-09-6,11.5,19.9,0,8.0,10.6,WNW,59,03:11,14.6,31,1,W,31,1013.9,19.0,21,1,W,31,1012.9
,2017-09-7,10.0,21.9,0,7.0,10.6,W,50,15:39,15.7,38,1,W,20,1019.1,21.5,21,1,W,24,1015.7
,2017-09-8,11.1,20.4,0,5.6,10.8,W,65,10:01,16.0,39,1,WSW,31,1017.6,19.9,22,2,WSW,30,1015.1
,2017-09-9,9.6,19.4,0,8.0,10.8,WSW,44,03:00,13.1,37,1,W,24,1022.6,17.7,31,1,SE,20,1020.5
,2017-09-10,8.0,19.1,0,5.0,10.8,W,24,05:41,13.5,52,1,WNW,13,1023.3,17.3,51,1,ESE,17,1020.3
,2017-09-11,8.7,22.7,0,3.8,10.1,NE,24,15:13,14.4,60,1,WNW,13,1020.4,22.5,29,3,NE,13,1015.3
,2017-09-12,11.3,27.2,0,5.8,2.3,E,26,14:21,18.2,43,7,W,11,1015.7,23.4,34,6,SE,6,1010.8
,2017-09-13,18.2,33.8,0,6.2,9.6,NNW,70,14:24,24.9,19,1,NW,20,1005.4,32.5,10,3,NW,31,999.9
,2017-09-14,12.0,17.3,0.2,13.0,10.5,WSW,72,10:41,13.8,37,2,WSW,28,1010.7,16.4,26,2,W,43,1011.7
,2017-09-15,10.5,22.8,0,7.8,10.6,W,52,10:59,16.6,37,1,W,24,1019.0,22.2,24,1,WSW,19,1016.6
,2017-09-16,12.5,24.2,0,7.0,6.4,SSW,56,15:37,17.3,43,7,NNW,15,1018.1,21.3,22,6,WSW,26,1015.8
,2017-09-17,8.1,18.6,0,4.6,10.8,ESE,28,12:50,13.6,48,1,W,17,1027.8,16.4,37,0,E,15,1024.9
,2017-09-18,8.2,21.0,0,5.6,10.7,NE,39,14:17,14.0,55,1,W,7,1024.0,20.2,55,0,NE,20,1017.1
,2017-09-19,14.0,25.2,0,6.4,10.8,SSW,54,16:51,20.4,30,2,WSW,19,1014.5,23.1,16,1,W,28,1013.4
,2017-09-20,10.7,19.0,0,9.2,7.7,WSW,33,01:03,14.6,44,3,WNW,17,1021.2,17.7,56,1,E,19,1017.1
,2017-09-21,10.4,21.3,0,3.8,10.1,NE,30,18:30,15.6,65,0,W,13,1016.8,21.2,49,0,E,17,1012.4
,2017-09-22,12.8,27.7,0,7.2,10.5,NNE,35,18:47,20.1,35,1,W,13,1014.7,25.8,26,5,ESE,11,1010.1
,2017-09-23,15.5,32.2,0,8.6,5.7,NNE,50,15:58,23.0,25,7,ESE,4,1009.3,29.1,25,6,NE,24,1001.5
,2017-09-24,23.0,29.2,0,12.0,6.5,W,54,16:15,27.1,20,6,WSW,20,1002.7,27.8,15,5,W,20,1001.9
,2017-09-25,16.0,26.7,0,10.8,10.8,WNW,57,15:02,22.3,21,0,W,11,1008.0,23.3,19,5,WNW,33,1005.5
,2017-09-26,12.3,22.2,0,9.6,11.0,WSW,41,08:34,19.5,29,1,SW,20,1016.7,19.0,47,2,ESE,24,1015.4
,2017-09-27,15.4,22.7,0,6.6,8.2,ENE,50,14:23,18.1,58,7,E,11,1017.7,21.1,62,4,NE,26,1010.0
,2017-09-28,18.0,25.7,0,6.2,3.8,WNW,59,12:42,22.7,47,5,WNW,13,1008.9,24.1,26,5,WNW,30,1006.5
,2017-09-29,13.0,26.9,0,6.8,11.1,W,39,19:43,20.4,36,1,W,17,1015.9,26.8,20,1,W,2,1011.0
,2017-09-30,16.3,24.1,0,9.2,0.7,WSW,59,15:25,18.8,30,6,W,35,1013.2,23.5,15,7,WSW,24,1012.7
