"Daily Weather Observations for Sydney, New South Wales for April 2018"
"Prepared at 13:00 UTC on Saturday 18 August 2018   IDCJDW2124.201804"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-04-1,19.7,27.1,0,2.8,10.2,NNE,39,16:37,25.3,60,1,N,9,1016.6,26.4,63,1,ENE,17,1012.7
,2018-04-2,20.5,30.4,0,7.0,7.1,S,44,19:38,22.7,71,7,W,6,1014.4,27.4,51,6,E,17,1012.2
,2018-04-3,20.9,26.7,0,6.4,4.8,SSE,41,02:44,22.4,61,7,ESE,17,1022.6,24.9,50,4,ESE,17,1020.2
,2018-04-4,20.8,26.5,0,5.8,6.8,,,,23.4,60,6,SE,15,1021.5,25.4,49,3,SE,20,1018.9
,2018-04-5,18.6,26.5,0,3.6,10.4,NNE,39,17:39,22.5,70,1,WSW,9,1018.1,25.8,58,1,ENE,20,1014.5
,2018-04-6,19.6,26.9,0,7.4,8.5,S,24,09:10,23.3,70,7,SSW,13,1018.6,24.7,65,6,ESE,20,1016.7
,2018-04-7,20.5,26.6,0,4.0,10.3,E,28,14:16,24.6,65,5,WSW,2,1021.1,25.7,57,0,ENE,22,1016.6
,2018-04-8,21.0,26.2,0,6.6,8.9,ENE,28,16:26,22.1,77,5,SW,7,1020.8,25.1,67,0,E,20,1016.3
,2018-04-9,18.5,35.4,0,4.4,10.0,SSE,48,16:07,23.7,57,1,W,20,1017.3,33.0,21,4,E,28,1013.0
,2018-04-10,19.0,24.0,0,7.4,4.2,SSE,28,00:45,21.0,68,5,NE,4,1023.0,23.3,53,7,E,15,1020.9
,2018-04-11,19.5,26.5,0,6.2,10.4,NNE,35,17:16,23.2,57,0,N,17,1021.7,26.5,58,0,NE,19,1017.5
,2018-04-12,19.2,34.6,0,5.2,10.5,NW,39,21:01,23.4,65,0,W,4,1016.9,34.2,25,1,N,20,1011.6
,2018-04-13,22.7,32.6,0,11.2,10.2,NW,37,06:13,26.3,32,1,WNW,20,1012.7,31.7,26,3,N,24,1008.5
,2018-04-14,23.2,30.5,0,12.4,8.6,W,67,22:31,23.7,49,3,NW,28,1006.3,30.4,25,2,NW,33,999.2
,2018-04-15,18.8,24.5,0,14.8,10.0,WNW,69,14:17,20.0,33,6,WNW,31,1005.3,24.3,29,4,WNW,31,1005.5
,2018-04-16,17.8,29.9,0,8.0,10.1,WSW,39,16:14,22.2,46,1,WNW,11,1011.8,29.6,29,2,WNW,19,1009.8
,2018-04-17,18.5,22.9,0,7.2,3.1,SE,41,13:52,20.4,66,6,SSW,17,1021.5,20.4,56,5,SSE,28,1021.5
,2018-04-18,17.4,22.2,0,4.4,2.0,E,24,13:51,19.2,64,6,WNW,9,1026.1,21.0,48,7,ENE,19,1022.6
,2018-04-19,15.3,24.2,0,4.8,6.5,W,26,20:31,18.8,64,6,W,13,1021.6,21.2,66,7,ENE,15,1017.6
,2018-04-20,16.4,25.7,0,3.6,10.0,SSE,30,17:48,19.5,75,3,WNW,13,1021.2,24.8,56,1,SSE,15,1019.3
,2018-04-21,16.6,23.8,0,2.8,8.1,ESE,30,14:51,19.2,76,3,WNW,15,1023.8,22.4,56,5,ESE,20,1021.4
,2018-04-22,15.1,24.7,0,4.6,9.9,ESE,24,15:07,18.9,69,1,WNW,9,1023.9,23.2,52,2,ESE,19,1021.4
,2018-04-23,15.4,23.9,0,3.8,10.0,E,24,13:48,19.0,73,1,WNW,13,1021.3,23.1,58,1,E,17,1018.7
,2018-04-24,16.0,25.1,0,3.8,10.4,ESE,22,12:07,19.1,70,1,WNW,11,1020.2,23.3,50,1,ESE,15,1017.0
,2018-04-25,15.2,25.2,0,4.0,5.7,W,28,05:06,17.4,73,7,WNW,20,1016.8,22.9,70,6,S,13,1013.8
,2018-04-26,17.0,24.1,0.2,2.2,7.6,,,,19.3,84,7,ESE,13,1014.6,23.0,61,6,,,1014.5
,2018-04-27,17.1,21.7,1.4,7.2,4.8,,,,19.2,58,5,,,1023.3,20.4,47,5,,,1023.4
,2018-04-28,14.9,20.3,9.2,4.4,4.3,,,,15.3,87,7,,,1025.9,19.8,58,6,,,1024.0
,2018-04-29,13.7,22.7,2.6,1.4,7.1,,,,15.2,82,3,,,1025.6,20.3,54,7,,,1023.9
,2018-04-30,12.0,20.8,9.8,5.0,6.3,,,,13.8,83,4,,,1026.6,19.9,61,5,,,1025.4
