"Daily Weather Observations for Sydney, New South Wales for August 2018"
"Prepared at 13:00 UTC on Monday 12 August 2019   IDCJDW2124.201808"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-08-1,11.5,21.8,0,4.0,9.6,WSW,35,11:26,13.4,41,1,W,13,1018.9,21.2,24,1,SW,13,1017.2
,2018-08-2,8.9,17.5,0,5.2,7.9,NE,30,19:14,10.5,59,1,WNW,15,1025.9,17.1,56,3,E,19,1022.1
,2018-08-3,9.6,23.4,0,2.0,9.5,NW,57,23:19,13.1,69,4,N,6,1018.9,20.1,54,1,NE,20,1011.9
,2018-08-4,11.1,20.3,0,5.2,8.6,W,54,10:00,14.1,42,1,W,22,1015.3,19.6,22,3,W,22,1014.0
,2018-08-5,7.2,19.2,0,5.6,10.3,ENE,33,15:13,10.9,58,5,WNW,13,1017.8,18.7,48,1,ENE,20,1011.7
,2018-08-6,10.7,19.0,0,4.0,4.0,WNW,59,17:16,12.5,63,7,WNW,11,1007.7,18.5,36,1,WNW,22,1003.3
,2018-08-7,11.2,17.1,1.4,6.4,10.0,W,74,13:59,13.5,40,1,NW,31,1009.8,16.7,29,1,W,37,1009.2
,2018-08-8,8.5,19.5,0,6.2,7.3,W,44,16:20,12.2,45,7,NNW,20,1015.8,19.1,27,4,NW,13,1012.8
,2018-08-9,9.7,19.5,0,4.0,10.2,W,22,04:37,12.1,58,1,W,15,1023.4,17.3,47,1,E,17,1021.7
,2018-08-10,7.8,22.1,0,3.4,10.1,NNE,43,18:21,10.2,71,0,W,13,1023.4,20.0,46,7,NE,22,1016.9
,2018-08-11,10.2,25.6,0,6.2,10.2,W,61,21:46,17.6,31,1,N,13,1013.6,24.4,23,2,N,26,1007.2
,2018-08-12,9.9,17.1,0,6.0,9.7,W,57,09:04,11.8,46,6,WSW,30,1015.8,16.3,27,1,W,26,1016.5
,2018-08-13,8.5,20.3,0,4.8,10.6,WSW,43,18:59,12.0,47,2,WNW,22,1021.3,19.6,28,1,SW,20,1020.1
,2018-08-14,9.4,21.7,0,4.0,10.3,W,35,01:55,12.3,51,1,WNW,17,1023.6,18.7,36,0,E,17,1018.4
,2018-08-15,11.8,25.1,0,5.0,10.3,NW,63,13:21,17.0,29,1,NW,26,1013.4,24.9,12,1,WNW,33,1008.2
,2018-08-16,14.6,22.6,0,11.4,10.2,W,43,14:30,16.9,35,1,SSW,11,1011.3,21.1,20,1,SW,20,1009.8
,2018-08-17,8.1,18.7,0,4.6,10.4,WSW,37,09:56,12.1,40,1,W,20,1015.7,17.5,34,1,ESE,17,1012.5
,2018-08-18,9.1,22.5,0,4.4,9.0,SW,78,15:22,14.4,36,0,WNW,17,1012.5,20.5,22,7,W,39,1007.0
,2018-08-19,9.4,16.4,0,7.2,10.1,W,76,16:21,12.1,33,1,WSW,26,1012.1,15.6,26,3,W,44,1011.3
,2018-08-20,7.9,16.2,0,5.8,10.2,W,54,01:19,10.2,35,1,WSW,22,1020.0,14.7,34,7,S,19,1018.1
,2018-08-21,8.3,17.6,0,3.6,10.6,W,54,13:54,11.6,44,1,WNW,22,1015.4,17.0,32,1,W,31,1011.5
,2018-08-22,9.7,17.8,0,5.2,8.3,W,39,09:18,13.4,46,1,W,19,1015.7,15.8,38,3,SSE,24,1015.1
,2018-08-23,7.5,18.2,0,3.0,7.4,ESE,31,14:27,12.1,62,1,WNW,17,1021.7,16.1,56,7,ESE,17,1020.3
,2018-08-24,11.0,16.8,2.8,3.0,5.4,E,35,18:47,12.3,89,8,W,11,1024.5,16.4,66,1,ESE,24,1022.4
,2018-08-25,10.7,18.5,1.8,3.0,2.2,NE,43,10:42,16.8,74,7,NE,22,1022.9,16.9,61,8,NNW,13,1019.6
,2018-08-26,10.8,16.8,0,2.0,0.4,W,28,08:02,12.3,82,8,WNW,17,1017.8,15.9,64,7,WNW,6,1013.2
,2018-08-27,12.3,14.5,1.8,1.6,0.2,SSE,63,14:23,13.2,70,8,S,20,1020.0,13.4,46,7,SSW,31,1020.8
,2018-08-28,8.6,15.8,0,5.0,9.0,SSW,33,00:01,11.3,48,7,SW,11,1022.3,14.7,38,1,SE,17,1018.2
,2018-08-29,5.2,17.5,0,4.0,10.6,SSE,31,12:20,8.9,59,1,WNW,20,1019.8,16.3,31,1,SE,17,1017.5
,2018-08-30,5.8,18.0,0,0.0,9.7,W,28,07:37,9.6,54,0,WNW,17,1021.4,15.6,40,6,ESE,15,1017.9
,2018-08-31,9.6,16.7,0,3.8,2.5,WSW,70,18:45,15.2,52,5,NNE,30,1009.7,13.5,69,7,W,13,1003.0
