"Daily Weather Observations for Sydney, New South Wales for December 2018"
"Prepared at 13:00 UTC on Thursday  8 August 2019   IDCJDW2124.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,19.1,25.8,0,8.2,11.3,NNE,44,19:43,21.8,56,4,WNW,6,1012.4,23.9,60,1,ENE,22,1008.4
,2018-12-2,17.7,34.0,0,8.2,9.1,W,80,13:30,23.8,51,7,ENE,2,1000.2,33.0,24,5,WNW,37,996.2
,2018-12-3,16.9,30.0,0,14.0,12.7,WSW,35,22:35,21.4,54,1,WNW,11,1009.3,28.0,33,0,ENE,24,1005.9
,2018-12-4,19.3,23.6,0,10.2,3.7,ESE,39,14:00,21.5,65,6,ESE,24,1014.8,21.4,62,7,ESE,28,1016.1
,2018-12-5,17.4,22.1,0,6.8,0.0,E,28,15:41,20.3,58,8,ESE,17,1022.5,21.2,53,7,ENE,15,1022.6
,2018-12-6,18.1,25.2,1.2,3.6,4.7,ENE,46,14:23,21.1,68,7,SE,4,1024.2,23.9,53,2,NE,28,1022.8
,2018-12-7,17.0,25.5,0,10.6,12.4,NE,54,16:37,23.5,49,3,NE,19,1023.9,24.7,48,0,NE,30,1021.1
,2018-12-8,18.8,26.8,0,11.8,12.3,NE,57,16:24,23.6,50,1,NE,13,1021.0,26.1,48,1,NE,28,1018.1
,2018-12-9,19.0,26.0,0,9.8,12.0,ENE,46,14:32,23.1,63,1,ENE,13,1018.1,25.2,58,2,ENE,24,1015.7
,2018-12-10,20.5,26.1,0,9.0,2.3,S,43,18:06,24.0,64,7,SE,19,1016.7,23.8,66,8,NE,7,1014.2
,2018-12-11,19.8,23.7,0,7.4,1.7,S,26,23:37,23.7,55,7,SSE,17,1019.2,22.3,59,8,ESE,13,1018.4
,2018-12-12,19.2,24.7,0,3.2,0.0,NE,35,16:30,21.9,69,8,E,9,1016.6,21.6,70,7,ENE,17,1013.1
,2018-12-13,19.6,26.7,0.6,2.0,4.8,WSW,59,19:10,24.7,66,7,NNE,17,1004.2,25.8,62,7,NE,31,999.9
,2018-12-14,19.7,26.6,17.2,8.2,0.9,SSE,30,17:52,22.4,80,7,SE,2,1002.8,24.0,73,8,S,15,1002.3
,2018-12-15,21.6,27.7,14.2,3.2,7.6,NNW,59,16:27,25.2,76,6,N,4,1007.5,25.9,74,4,E,20,1004.7
,2018-12-16,21.1,29.2,6.6,8.8,10.7,NNE,65,16:57,25.1,75,1,ENE,7,1008.0,27.0,64,2,NE,26,1005.5
,2018-12-17,20.9,30.4,0.2,9.4,13.2,SSE,37,22:56,25.8,64,1,WNW,9,1009.6,25.2,70,1,E,22,1008.6
,2018-12-18,21.9,27.9,0,6.8,4.9,SSE,43,18:00,23.1,76,8,SSW,19,1014.1,27.2,58,6,S,19,1012.5
,2018-12-19,20.8,24.8,0.2,5.6,0.0,ENE,39,20:03,21.7,84,8,SSE,11,1015.0,24.1,67,8,ESE,11,1012.7
,2018-12-20,20.0,27.6,13.8,6.6,10.3,SW,54,17:08,23.3,75,4,ENE,6,1008.0,26.3,64,1,E,17,1002.3
,2018-12-21,20.6,23.8,28.4,10.2,1.4,SSW,46,00:35,22.1,68,8,SSW,20,1008.5,23.2,64,8,SSE,22,1006.7
,2018-12-22,16.7,22.4,4.6,5.8,5.8,SSW,67,03:32,19.5,67,7,SW,26,1011.5,20.6,57,7,S,24,1013.7
,2018-12-23,15.2,24.5,7.8,5.0,12.6,SW,41,00:22,19.1,76,3,SW,17,1021.0,23.7,38,1,SE,22,1020.7
,2018-12-24,14.9,24.8,0.2,8.0,11.2,ENE,39,16:07,20.5,62,1,WNW,13,1022.2,23.3,57,1,ENE,30,1019.9
,2018-12-25,18.6,26.5,0,10.2,13.3,NE,31,18:54,23.8,58,0,ESE,7,1018.4,25.4,57,1,E,20,1015.8
,2018-12-26,20.4,26.9,0,10.6,13.0,ENE,37,15:08,24.7,68,1,E,13,1016.9,25.6,60,1,ENE,20,1014.7
,2018-12-27,20.6,27.8,0,9.2,13.0,ENE,33,16:24,25.9,63,1,E,13,1015.0,26.3,60,3,E,19,1011.4
,2018-12-28,21.3,30.7,0,11.0,12.5,NNE,43,16:42,25.7,63,7,ENE,13,1012.8,28.5,51,1,NE,17,1011.1
,2018-12-29,20.5,30.3,0,11.0,12.9,ESE,50,17:18,25.5,62,1,ENE,7,1014.0,28.0,53,1,E,15,1011.9
,2018-12-30,20.8,29.4,0,10.2,10.1,E,26,12:41,25.5,64,2,WNW,7,1013.6,27.8,58,5,ESE,17,1013.1
,2018-12-31,21.7,30.5,0,8.0,4.1,SSE,39,17:31,25.7,65,5,WNW,11,1013.5,25.0,68,6,E,22,1010.0
