"Daily Weather Observations for Sydney, New South Wales for February 2019"
"Prepared at 13:00 UTC on Tuesday 20 August 2019   IDCJDW2124.201902"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-02-1,18.2,22.4,2.8,12.0,0.0,S,46,23:54,19.4,80,7,SSW,19,1021.5,20.6,69,8,SSW,20,1020.9
,2019-02-2,18.2,26.8,23.0,0.4,1.3,ESE,31,10:53,22.3,83,8,E,13,1020.5,25.3,70,7,E,19,1018.2
,2019-02-3,21.6,29.8,0,3.6,12.6,NE,46,16:45,26.6,64,1,ESE,7,1016.6,27.7,57,1,NE,26,1013.8
,2019-02-4,21.6,29.5,0.2,9.8,8.7,E,26,12:37,25.6,60,1,E,6,1012.4,26.4,62,4,E,22,1010.8
,2019-02-5,22.5,29.2,0,8.0,3.8,SSW,43,01:00,24.1,77,7,S,22,1014.5,28.7,55,5,E,11,1013.8
,2019-02-6,22.5,28.9,1.8,5.6,11.4,ENE,33,18:01,26.4,64,6,E,11,1016.3,28.9,56,3,E,20,1015.2
,2019-02-7,22.6,29.2,0,8.8,12.3,NNE,44,17:40,27.4,59,2,NE,13,1015.7,28.0,55,1,E,31,1012.6
,2019-02-8,22.5,30.4,0,9.6,6.7,WSW,57,18:34,24.9,70,7,SW,2,1008.1,28.9,55,3,NE,22,1004.0
,2019-02-9,20.5,31.3,17.2,9.2,11.4,W,65,16:30,24.3,62,3,WNW,4,1000.7,29.4,40,6,E,11,997.5
,2019-02-10,18.2,25.7,0.2,11.2,12.4,ESE,39,12:24,21.4,51,1,SSW,6,1008.7,24.1,33,1,ESE,20,1007.5
,2019-02-11,17.3,27.2,0,8.0,12.4,NNE,48,19:34,21.1,55,1,WNW,11,1008.0,26.0,53,1,ENE,15,1002.8
,2019-02-12,19.4,36.3,0,10.6,11.9,NW,61,16:12,26.6,34,0,WNW,13,1000.5,35.7,13,1,WNW,24,995.9
,2019-02-13,19.0,26.8,0,16.0,9.2,S,69,23:08,21.3,64,1,SSW,20,1004.8,26.2,39,1,SE,28,1006.8
,2019-02-14,17.4,25.8,0,8.6,10.6,ENE,31,17:54,20.7,54,6,SW,13,1019.2,25.2,41,2,E,13,1018.7
,2019-02-15,18.2,27.4,0,8.8,11.7,E,26,12:23,21.5,61,1,WNW,9,1024.0,26.9,39,2,E,19,1022.5
,2019-02-16,18.8,28.1,0,8.0,9.9,NNE,33,22:18,22.6,56,5,WNW,9,1021.8,27.0,44,7,E,24,1018.6
,2019-02-17,19.3,29.4,0,8.0,12.3,NNE,44,20:42,24.3,56,0,N,9,1014.9,27.8,46,1,NE,22,1011.5
,2019-02-18,21.3,29.3,0,10.6,12.0,NNE,56,17:49,24.4,62,0,SE,4,1010.8,28.6,49,1,NE,15,1006.6
,2019-02-19,22.3,31.2,0,10.2,9.8,SSE,61,13:28,25.6,64,3,WSW,15,1005.9,25.3,57,5,S,33,1006.0
,2019-02-20,18.9,22.2,7.8,,0.0,SSW,39,12:59,19.8,88,8,SSW,19,1012.0,21.1,78,8,SSW,22,1010.7
,2019-02-21,19.6,22.8,5.0,2.8,0.0,ESE,44,01:17,20.9,82,7,SSW,19,1015.8,22.2,75,7,S,20,1016.4
,2019-02-22,18.7,23.1,4.4,1.8,5.0,SSW,46,10:41,19.4,80,7,SSW,19,1020.3,20.4,74,7,S,28,1020.5
,2019-02-23,18.3,21.1,6.6,4.0,1.5,SE,46,22:57,19.4,76,7,SSW,22,1021.8,19.3,82,7,SSW,22,1022.6
,2019-02-24,18.5,26.6,16.0,4.8,7.7,SSE,54,23:19,21.0,55,7,SSE,20,1027.2,24.4,49,5,SSE,31,1027.4
,2019-02-25,19.4,25.7,0.4,8.0,8.8,SE,35,23:20,21.3,68,2,ESE,2,1027.9,25.3,46,3,ENE,19,1025.9
,2019-02-26,16.6,27.3,0,5.8,11.8,NE,37,15:41,20.5,63,3,WNW,15,1023.0,26.4,48,5,NE,22,1019.4
,2019-02-27,19.4,27.7,0,7.6,6.8,SSW,44,12:50,24.2,67,3,SSW,17,1023.1,25.9,60,6,S,24,1022.5
,2019-02-28,20.3,28.6,0,5.0,9.2,ENE,33,16:02,22.1,75,4,WNW,13,1024.7,26.8,48,6,ENE,22,1022.4
