"Daily Weather Observations for Sydney, New South Wales for March 2019"
"Prepared at 13:00 UTC on Monday 19 August 2019   IDCJDW2124.201903"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-03-1,21.0,28.1,0,9.4,8.1,E,46,16:16,23.2,67,7,WNW,7,1025.2,27.7,53,1,E,20,1024.0
,2019-03-2,20.2,27.9,6.8,8.2,8.5,NNE,39,23:31,23.0,70,7,WNW,4,1026.0,26.5,53,7,E,24,1023.3
,2019-03-3,20.3,27.9,0,6.4,10.6,ENE,41,17:23,23.8,67,1,NNW,9,1024.2,26.7,55,1,E,28,1021.7
,2019-03-4,21.8,28.2,0,8.8,9.9,NE,48,19:34,25.6,59,1,NNE,17,1022.1,27.7,54,2,ENE,28,1019.0
,2019-03-5,21.9,28.6,0,10.2,8.7,NNE,48,16:48,24.5,63,3,NNE,6,1017.8,27.5,56,4,ENE,22,1012.7
,2019-03-6,22.2,35.6,0,7.2,4.8,SW,59,13:26,27.7,44,3,WNW,6,1008.7,26.3,50,7,S,19,1008.2
,2019-03-7,18.0,23.9,1.4,8.6,1.3,SSW,43,09:42,18.5,59,7,SW,20,1022.7,21.5,48,7,SE,19,1023.3
,2019-03-8,18.4,27.2,0,3.0,9.4,NE,46,16:37,23.9,56,5,N,11,1021.7,26.8,53,3,NE,28,1018.2
,2019-03-9,21.2,24.3,0,7.6,0.7,SSW,46,07:32,21.2,70,8,SSW,24,1017.8,23.0,72,8,S,13,1017.3
,2019-03-10,19.9,27.9,0.8,3.2,8.0,NNE,35,16:42,21.4,82,7,W,9,1016.1,27.3,61,3,ENE,22,1009.8
,2019-03-11,21.4,28.3,0,6.2,9.3,SSW,37,05:44,24.7,64,3,SW,22,1010.9,27.1,53,2,ESE,22,1009.0
,2019-03-12,21.0,34.6,0,5.8,10.5,SSE,61,20:37,24.5,67,0,W,15,1008.1,31.9,32,2,E,20,1004.1
,2019-03-13,19.1,24.3,14.6,9.6,0.2,SSE,44,23:10,19.9,84,7,SE,19,1017.3,21.7,77,8,ESE,15,1016.2
,2019-03-14,19.8,26.6,5.8,2.8,5.0,SSE,61,19:31,24.3,70,7,NNE,19,1014.2,26.3,61,4,NE,31,1010.7
,2019-03-15,17.8,24.1,8.6,8.4,4.2,S,54,13:23,19.2,78,7,W,17,1014.7,23.6,61,5,SSW,33,1016.0
,2019-03-16,18.3,24.1,16.0,5.4,0.6,ESE,56,01:30,21.3,83,7,ESE,24,1018.8,23.2,60,8,SE,22,1018.7
,2019-03-17,19.3,20.5,43.4,4.0,0.2,,,,19.4,89,7,SW,20,1015.8,19.2,90,8,W,20,1012.5
,2019-03-18,17.7,22.1,75.2,,0.6,NW,33,08:23,19.6,81,7,WNW,9,1011.9,21.4,69,8,E,7,1010.8
,2019-03-19,18.5,26.9,4.6,2.4,8.9,ESE,33,12:14,20.9,87,5,WNW,15,1012.6,26.3,59,4,SSE,20,1011.8
,2019-03-20,19.1,27.5,5.8,5.8,8.6,S,35,11:20,19.6,88,3,W,17,1014.4,26.1,57,2,SSE,17,1013.1
,2019-03-21,19.3,26.6,0,8.0,7.4,SSE,33,14:32,20.3,81,7,W,7,1016.3,25.5,67,3,SE,20,1015.3
,2019-03-22,19.4,26.9,8.4,1.2,4.2,ESE,26,18:32,21.1,83,7,WNW,13,1017.6,25.6,66,4,ESE,15,1015.5
,2019-03-23,17.7,27.7,2.0,3.2,7.3,ENE,28,14:22,19.8,79,2,WNW,17,1014.9,25.2,59,6,NE,19,1010.7
,2019-03-24,19.8,33.0,0.4,3.8,6.6,SE,37,11:48,22.3,81,6,W,17,1011.5,28.7,50,7,SSE,19,1010.1
,2019-03-25,19.8,26.0,3.8,5.6,0.0,W,48,06:00,19.8,81,7,NW,17,1010.6,25.6,61,7,N,22,1007.5
,2019-03-26,17.8,26.6,0.6,4.2,11.0,W,52,13:18,19.5,41,2,WSW,31,1015.2,25.1,19,1,W,24,1015.3
,2019-03-27,14.9,24.3,0,8.6,1.2,ENE,31,21:20,18.2,61,3,WNW,11,1024.4,21.8,57,7,SSE,11,1023.1
,2019-03-28,18.0,25.9,0,4.2,8.6,E,33,15:00,20.5,65,6,WNW,17,1021.8,25.0,46,2,ENE,24,1018.1
,2019-03-29,17.7,26.2,0,5.4,7.9,NNE,44,17:06,21.0,66,4,W,11,1015.4,25.4,55,6,ENE,20,1010.6
,2019-03-30,18.1,26.5,30.8,7.2,6.5,W,72,15:28,18.7,88,7,N,4,1002.4,25.1,40,2,WNW,35,999.5
,2019-03-31,12.5,22.5,0.2,7.4,10.7,WSW,54,10:14,15.2,42,1,W,28,1015.5,21.4,26,1,W,24,1014.7
