"Daily Weather Observations for Sydney, New South Wales for May 2019"
"Prepared at 13:00 UTC on Saturday 17 August 2019   IDCJDW2124.201905"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-05-1,17.9,22.5,0,5.4,1.9,NE,35,18:35,19.8,69,7,W,2,1022.6,22.0,65,7,ENE,11,1021.2
,2019-05-2,19.5,24.1,0,3.4,1.7,NNE,33,15:18,20.0,77,7,WNW,9,1025.8,23.4,63,7,NE,19,1022.3
,2019-05-3,19.2,24.1,0,3.4,0.7,N,31,11:59,21.8,69,7,NNE,13,1019.1,19.5,84,7,NNE,6,1016.5
,2019-05-4,17.3,23.1,10.8,2.4,5.8,SW,39,09:16,17.8,54,7,SSW,20,1015.9,21.2,32,4,SSE,22,1013.7
,2019-05-5,12.0,19.1,0,4.8,5.5,S,76,13:16,14.6,58,3,W,24,1017.6,17.1,65,6,SW,24,1016.3
,2019-05-6,12.5,21.4,3.8,3.6,9.5,W,41,06:33,15.1,60,1,W,24,1018.9,20.5,37,1,SE,11,1015.9
,2019-05-7,9.8,23.4,0,4.0,10.2,W,28,07:57,13.0,64,1,W,24,1016.0,22.7,31,0,WNW,6,1012.0
,2019-05-8,13.0,21.3,0,4.0,9.6,WSW,52,13:41,17.3,47,5,WNW,28,1012.6,20.5,28,1,W,33,1012.1
,2019-05-9,9.5,20.9,0,5.0,9.6,NNE,35,19:59,13.2,56,1,W,17,1019.5,19.2,44,6,ENE,22,1014.9
,2019-05-10,13.1,20.4,0,5.6,4.1,NNW,46,15:12,18.2,41,7,NE,6,1014.2,19.7,45,7,NW,24,1011.6
,2019-05-11,10.7,21.4,0,3.4,8.0,W,59,09:54,15.4,50,1,W,31,1015.9,20.7,34,2,SSW,20,1018.1
,2019-05-12,10.4,23.0,0,5.8,10.0,W,37,08:03,13.0,59,1,W,28,1027.5,22.0,35,1,SE,11,1026.2
,2019-05-13,10.4,23.0,0,1.8,7.5,NNE,31,18:20,13.2,69,2,W,17,1030.5,20.7,62,7,NE,17,1026.1
,2019-05-14,13.1,24.1,0,4.0,9.7,S,33,13:58,15.6,68,1,W,19,1027.6,22.6,36,1,SSE,19,1026.0
,2019-05-15,11.8,22.9,0,4.0,7.2,W,26,05:51,14.3,73,3,W,19,1030.9,21.7,49,2,ENE,13,1028.0
,2019-05-16,12.6,22.4,0,2.4,9.6,NE,28,13:14,14.8,77,2,WNW,17,1029.7,22.1,40,1,ENE,17,1025.8
,2019-05-17,12.2,23.4,0,3.4,9.7,W,24,06:33,14.6,75,1,W,19,1028.6,22.8,53,3,ENE,17,1025.4
,2019-05-18,12.7,24.1,0,2.4,9.6,W,26,09:19,15.1,77,1,WNW,20,1030.9,23.0,54,3,ESE,13,1028.3
,2019-05-19,14.0,22.7,0,3.0,8.1,ENE,24,17:54,15.8,83,1,WNW,13,1031.7,21.9,48,3,E,15,1028.5
,2019-05-20,13.8,22.6,0,3.0,4.5,W,20,03:34,15.9,81,7,WNW,15,1028.1,20.4,58,7,E,9,1023.8
,2019-05-21,13.0,27.2,0,2.0,7.9,W,31,09:21,15.7,69,1,W,24,1025.8,24.8,39,5,E,15,1022.7
,2019-05-22,14.6,25.3,0,4.0,9.3,W,24,02:01,16.3,70,2,WNW,17,1028.1,24.1,52,1,SE,15,1025.9
,2019-05-23,14.6,24.7,0,3.6,6.6,WNW,24,07:34,17.1,74,3,WNW,19,1028.6,22.8,58,1,E,11,1024.7
,2019-05-24,13.7,25.0,0,1.2,7.0,WNW,26,09:01,14.8,80,1,WNW,20,1024.1,23.7,36,7,E,7,1020.0
,2019-05-25,12.5,27.1,0,4.0,9.2,W,26,02:32,15.0,58,1,W,17,1020.1,26.3,30,2,E,7,1015.6
,2019-05-26,15.0,23.7,0,5.2,6.3,NNW,35,04:26,15.5,51,7,W,17,1016.0,22.4,31,1,W,13,1011.9
,2019-05-27,11.3,19.3,0,4.8,7.4,WSW,72,13:46,14.1,50,1,NW,20,1008.9,13.3,38,5,W,37,1008.3
,2019-05-28,8.8,19.3,0,5.8,9.6,NW,56,22:43,11.8,43,0,NW,19,1013.9,18.9,29,1,NW,22,1009.9
,2019-05-29,11.7,19.4,0,7.2,9.5,WNW,65,13:30,15.4,46,1,NNW,30,1005.7,18.4,28,1,WNW,37,1003.4
,2019-05-30,8.7,17.4,0,5.6,9.6,W,54,00:56,10.6,41,1,W,30,1016.7,16.3,27,1,SW,13,1017.0
,2019-05-31,7.8,21.0,0,5.6,9.5,W,43,19:46,10.4,54,1,W,26,1022.6,20.3,32,1,S,19,1021.3
