"Daily Weather Observations for Sydney, New South Wales for July 2019"
"Prepared at 13:00 UTC on Wednesday 21 August 2019   IDCJDW2124.201907"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-07-1,7.4,18.3,0,3.6,8.2,W,35,00:02,8.6,65,6,W,19,1026.1,16.5,50,6,E,9,1021.3
,2019-07-2,7.2,20.4,0,3.2,6.2,WNW,28,00:00,9.2,69,7,W,19,1020.5,19.6,27,2,WNW,11,1019.0
,2019-07-3,8.0,19.4,0,2.8,5.0,SSE,33,14:13,9.5,66,3,WNW,17,1028.7,17.7,58,5,SE,20,1029.0
,2019-07-4,9.5,18.0,1.4,2.2,0.2,ESE,41,15:21,14.4,89,7,SSW,13,1034.9,17.6,59,7,ESE,24,1033.6
,2019-07-5,13.2,19.0,22.8,3.6,2.5,SE,33,01:04,14.6,87,6,ESE,24,1036.2,17.5,68,6,SSE,11,1034.0
,2019-07-6,11.0,18.6,2.6,0.4,6.0,E,30,00:26,12.1,91,6,W,17,1036.4,18.1,53,2,E,13,1033.7
,2019-07-7,11.5,19.3,1.0,0.8,5.7,W,26,09:36,11.7,91,8,W,17,1033.8,18.5,60,1,E,11,1029.9
,2019-07-8,11.6,20.8,0,2.6,3.4,NW,31,11:27,13.6,83,6,W,15,1025.4,18.7,57,6,W,11,1020.3
,2019-07-9,9.8,18.5,0.2,2.6,9.4,W,37,02:31,11.6,64,1,W,15,1021.3,17.8,40,2,NW,11,1017.7
,2019-07-10,8.1,17.6,0,2.8,9.5,NW,50,23:24,10.3,64,1,WNW,19,1019.0,17.2,36,1,WNW,7,1014.4
,2019-07-11,10.3,19.9,0,4.6,9.5,WNW,56,09:17,16.1,43,1,WNW,33,1008.9,19.1,24,1,WNW,28,1010.2
,2019-07-12,11.8,20.1,0,5.2,9.5,NW,59,14:35,14.2,51,1,NNW,35,1014.6,19.3,36,2,NW,37,1010.1
,2019-07-13,12.0,15.6,0,7.4,8.5,W,72,06:45,12.3,43,2,W,28,1012.2,15.3,28,1,W,33,1013.3
,2019-07-14,7.2,17.4,0,5.0,9.5,W,48,11:18,9.2,52,1,W,13,1022.1,17.0,28,1,WNW,24,1015.4
,2019-07-15,9.2,18.8,0,4.6,9.5,W,52,10:06,13.0,49,1,W,24,1015.9,17.9,28,1,WSW,20,1016.4
,2019-07-16,9.0,21.5,0,4.0,9.6,WSW,46,18:05,11.5,57,2,W,22,1018.8,21.1,25,1,WSW,24,1015.7
,2019-07-17,9.6,19.8,0,4.4,9.6,WSW,61,21:04,12.0,58,0,W,22,1018.9,19.5,36,0,NW,17,1013.4
,2019-07-18,10.2,20.8,0,4.0,9.7,W,41,10:12,12.7,54,1,WNW,13,1015.8,19.8,25,1,ESE,17,1014.5
,2019-07-19,6.4,20.9,0,,9.8,WSW,41,10:36,10.7,49,1,W,24,1020.2,19.0,29,0,ESE,13,1019.5
,2019-07-20,7.0,21.1,0,2.8,9.8,N,28,12:51,9.3,72,0,W,15,1024.4,19.4,41,0,ENE,17,1019.5
,2019-07-21,8.4,23.9,0,4.0,9.8,N,30,09:58,14.2,42,0,NNE,6,1017.3,20.7,43,0,E,15,1013.8
,2019-07-22,11.7,23.4,0,4.0,4.7,N,26,14:05,12.7,54,7,W,19,1018.1,21.2,32,2,N,15,1014.5
,2019-07-23,10.1,23.6,0,5.2,9.9,WNW,35,12:24,11.4,69,0,W,11,1017.0,23.0,19,0,NNW,20,1013.0
,2019-07-24,11.4,20.6,0,5.6,9.8,W,39,11:02,14.9,46,3,WSW,11,1018.9,20.4,25,1,W,19,1019.4
,2019-07-25,8.0,20.3,0,3.0,9.6,W,31,03:11,9.4,58,1,W,17,1027.1,18.7,38,1,ENE,17,1023.9
,2019-07-26,8.4,18.6,0,3.6,3.2,SSW,26,20:35,9.9,75,7,WNW,17,1022.2,18.1,44,7,WNW,9,1019.1
,2019-07-27,9.9,20.2,0,2.2,7.7,SW,30,11:34,12.7,63,1,WNW,20,1023.0,17.7,55,7,S,15,1021.5
,2019-07-28,9.0,20.1,0,2.8,9.9,WNW,28,06:14,10.8,74,2,WNW,22,1025.8,19.1,41,1,SSE,15,1022.7
,2019-07-29,7.9,21.3,0,2.0,7.1,W,28,02:51,9.8,66,1,WNW,19,1022.0,19.1,36,7,NNW,4,1017.7
,2019-07-30,9.8,15.4,4.2,1.6,0.8,SW,48,11:32,12.1,83,7,NW,13,1024.1,15.2,55,4,SSW,20,1024.0
,2019-07-31,8.8,17.6,11.2,2.8,5.9,SSW,41,13:18,10.4,75,6,W,24,1030.6,16.5,62,4,SSW,24,1028.7
