"Daily Weather Observations for Sydney, New South Wales for October 2019"
"Prepared at 13:00 UTC on Monday 10 August 2020   IDCJDW2124.201910"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-10-1,12.3,19.8,0.4,3.4,7.2,E,33,15:31,17.9,56,4,WSW,2,1031.8,19.1,49,1,NE,20,1028.6
,2019-10-2,11.9,22.0,0,4.4,10.7,NNE,37,16:04,18.4,61,0,W,9,1029.2,21.2,59,3,ENE,22,1024.1
,2019-10-3,14.2,29.3,0,,11.1,NNE,31,14:59,20.8,48,0,WNW,11,1025.0,25.8,35,1,NE,15,1020.1
,2019-10-4,17.9,33.5,0,15.4,9.8,SSW,57,12:58,27.6,28,1,WNW,13,1018.2,22.7,57,5,SSE,31,1017.2
,2019-10-5,15.1,19.4,16.6,7.8,3.5,SSE,31,07:50,15.2,87,7,SSE,11,1024.0,18.6,65,7,SSE,13,1022.1
,2019-10-6,15.2,22.2,0.6,4.0,4.9,NNE,48,19:37,16.8,70,7,N,13,1018.6,20.2,66,7,ENE,22,1011.8
,2019-10-7,16.7,23.9,0,4.0,6.9,SE,39,10:49,19.7,67,7,S,17,1011.9,21.4,62,7,ESE,20,1010.3
,2019-10-8,16.6,24.0,0,4.4,5.7,S,50,13:43,18.2,80,6,WNW,13,1011.3,16.6,72,6,S,28,1010.2
,2019-10-9,10.6,19.3,1.2,5.2,11.0,S,57,16:18,14.1,52,4,W,19,1022.2,19.0,41,2,S,26,1021.5
,2019-10-10,11.2,21.1,0.4,6.8,11.1,SE,46,22:50,16.4,55,2,SSW,17,1023.5,19.9,49,2,SSE,28,1020.9
,2019-10-11,11.8,18.3,0.6,6.0,9.3,ESE,37,21:11,15.6,67,5,WNW,11,1020.1,17.0,57,5,ESE,19,1017.1
,2019-10-12,12.0,20.4,11.0,6.2,4.2,SE,44,14:40,15.7,62,6,SE,19,1018.8,14.9,73,7,SSE,26,1017.7
,2019-10-13,11.2,19.2,3.4,4.4,7.4,WSW,24,00:47,13.4,79,7,WNW,17,1021.6,17.7,57,4,ESE,17,1019.4
,2019-10-14,12.0,21.9,0,4.2,7.0,E,33,11:18,16.8,63,5,NNW,7,1018.1,20.6,57,7,ENE,24,1013.9
,2019-10-15,15.4,24.0,0,5.6,9.7,NE,50,18:37,17.7,71,7,WNW,11,1013.6,22.4,63,1,NE,22,1009.9
,2019-10-16,17.5,23.0,0,7.4,6.1,SSW,37,03:59,18.7,76,7,S,17,1012.6,21.2,66,6,ESE,15,1009.0
,2019-10-17,17.3,28.4,0,4.2,11.4,W,72,16:31,21.1,66,3,WNW,13,1006.4,26.6,22,2,W,37,1005.4
,2019-10-18,12.2,24.3,0,10.0,11.5,W,39,23:29,17.5,32,0,WSW,15,1017.5,21.6,34,0,NE,17,1014.3
,2019-10-19,14.5,28.7,0,8.8,10.5,W,70,16:11,21.3,23,1,W,11,1015.5,27.5,14,2,WNW,37,1010.3
,2019-10-20,12.6,22.3,0,8.8,12.1,ESE,31,10:28,16.7,34,1,W,17,1022.3,20.7,31,1,E,19,1021.1
,2019-10-21,11.9,22.6,0,6.8,12.2,ENE,30,14:19,16.1,58,5,WNW,17,1027.3,21.5,51,1,ENE,24,1024.8
,2019-10-22,13.0,23.7,0,5.8,12.2,E,37,14:30,17.7,62,1,W,13,1026.2,22.5,51,1,ENE,20,1022.1
,2019-10-23,15.7,24.2,0,7.4,11.6,ENE,48,12:35,21.3,58,3,NNE,9,1024.1,22.8,59,1,ENE,24,1018.7
,2019-10-24,18.5,27.5,0,8.0,10.9,WNW,39,15:48,22.2,66,1,S,13,1019.1,24.5,63,2,ESE,17,1016.1
,2019-10-25,17.4,37.2,0,8.6,9.7,NNW,48,11:13,27.5,30,0,WNW,20,1012.9,36.0,12,5,NE,13,1007.1
,2019-10-26,23.0,31.4,0,13.2,9.8,WNW,74,03:35,27.2,30,6,WNW,19,1003.9,30.9,14,3,WNW,35,1001.5
,2019-10-27,15.8,23.5,0,14.2,12.3,W,50,07:32,19.5,22,5,WSW,28,1015.3,21.1,33,1,E,22,1013.7
,2019-10-28,13.4,23.0,0,8.0,7.3,ESE,43,14:07,18.6,56,3,WNW,11,1021.6,23.0,53,3,ESE,28,1022.1
,2019-10-29,13.9,24.5,0,5.4,12.2,NE,46,14:37,20.0,63,3,WNW,9,1024.2,23.2,54,0,NE,22,1019.3
,2019-10-30,16.6,26.4,0,10.0,5.2,E,28,14:04,20.4,67,7,WNW,9,1018.8,23.9,57,7,E,22,1015.9
,2019-10-31,18.0,26.0,0,5.0,10.2,ENE,41,16:21,20.7,75,5,NE,6,1018.1,24.7,58,0,ENE,19,1015.6
