"Daily Weather Observations for Sydney, New South Wales for April 2020"
"Prepared at 13:00 UTC on Tuesday 18 August 2020   IDCJDW2124.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,20.2,24.2,0.2,4.6,0.8,ENE,35,15:25,22.4,76,7,E,13,1019.8,23.9,70,7,ENE,17,1017.7
,2020-04-2,19.4,24.8,0,3.8,2.2,NE,33,09:16,22.2,74,7,NNE,7,1015.2,22.7,71,8,N,9,1011.8
,2020-04-3,17.8,25.8,4.2,1.8,3.4,NE,31,19:01,21.2,70,3,ESE,6,1010.3,24.9,59,7,E,17,1006.2
,2020-04-4,19.7,26.1,7.0,3.2,8.2,W,65,12:22,20.1,82,6,NNW,28,998.9,24.4,29,1,WNW,31,1000.8
,2020-04-5,14.1,25.0,0,9.8,10.6,NNW,41,09:26,18.8,44,3,NW,19,1014.2,24.4,27,1,WNW,17,1011.2
,2020-04-6,14.6,25.2,0,,9.7,SSE,46,20:25,19.3,45,2,WNW,13,1018.7,22.2,54,5,SE,22,1017.1
,2020-04-7,15.4,21.9,4.2,11.6,5.8,SSE,35,11:11,18.1,72,7,S,11,1022.8,20.1,55,7,SSE,17,1020.6
,2020-04-8,15.9,20.2,7.2,4.6,0.2,SSE,31,23:42,17.7,73,8,SE,11,1022.6,19.9,60,7,S,17,1021.9
,2020-04-9,16.5,22.2,0,1.2,2.4,SSE,28,00:46,18.5,72,6,WSW,13,1027.2,20.9,67,6,SSW,9,1024.5
,2020-04-10,18.0,23.6,1.0,2.0,3.1,WSW,59,17:28,18.6,83,8,N,13,1020.7,23.2,60,2,N,13,1012.3
,2020-04-11,13.9,26.6,3.2,3.4,10.6,W,80,15:23,19.6,51,2,WNW,19,1006.0,25.3,26,2,W,41,999.9
,2020-04-12,12.4,22.4,0.2,7.6,10.9,W,37,00:05,15.3,42,1,W,22,1016.2,20.5,34,1,ESE,17,1015.3
,2020-04-13,11.3,21.5,0,4.8,8.8,ENE,24,14:59,15.2,61,5,WNW,15,1022.0,20.8,48,6,ENE,19,1019.9
,2020-04-14,13.0,24.3,0,,10.8,E,24,14:02,16.4,69,1,WNW,15,1025.2,22.3,57,1,E,13,1022.0
,2020-04-15,15.2,25.2,0,,10.5,E,22,13:09,18.4,72,5,WNW,11,1023.7,23.3,54,3,ENE,19,1018.8
,2020-04-16,17.9,25.8,0,12.8,0.5,NNW,37,11:04,22.2,55,7,NNW,7,1014.1,24.8,45,7,NNW,20,1009.6
,2020-04-17,17.8,28.1,0,5.2,10.2,W,35,16:55,21.1,40,2,W,20,1011.2,27.5,15,1,SSW,17,1008.8
,2020-04-18,13.8,24.7,0,6.8,,WSW,44,01:19,16.4,50,1,W,17,1013.7,22.1,33,1,ESE,19,1011.2
,2020-04-19,12.6,22.6,0,,7.8,WNW,22,03:31,15.8,66,3,WNW,19,1014.5,22.0,51,3,ESE,13,1012.9
,2020-04-20,13.9,19.6,0,8.0,0.1,W,28,07:17,16.5,73,7,W,11,1016.2,19.2,49,7,NNW,15,1012.7
,2020-04-21,14.3,25.3,0,1.8,10.2,ENE,30,15:49,18.1,55,2,WNW,11,1019.3,22.5,51,2,ENE,20,1014.9
,2020-04-22,14.8,26.5,0,5.6,10.2,W,39,09:51,18.7,56,1,W,19,1019.2,25.8,27,5,E,15,1016.5
,2020-04-23,13.4,26.4,0,,9.4,N,31,12:27,15.9,60,3,WNW,22,1021.5,23.4,41,1,NE,17,1016.2
,2020-04-24,15.9,29.2,0,10.6,9.9,WSW,31,12:13,20.7,50,1,W,11,1017.4,28.2,26,1,WSW,13,1015.8
,2020-04-25,14.5,24.9,0,4.0,10.3,NNE,37,18:06,18.1,63,0,WNW,13,1022.2,24.2,55,1,NE,20,1017.8
,2020-04-26,16.4,28.3,0,7.2,6.1,NW,41,12:54,20.8,51,6,NW,2,1015.3,25.3,31,8,WNW,20,1012.1
,2020-04-27,16.3,21.7,0,3.4,1.8,ENE,35,23:53,17.2,73,6,WNW,13,1024.1,20.7,63,7,ENE,17,1023.0
,2020-04-28,17.2,23.0,0.2,2.8,0.6,ENE,35,02:34,21.4,55,7,NE,17,1024.8,21.8,59,8,NE,17,1021.4
,2020-04-29,17.4,24.3,0.2,4.4,7.0,NNE,39,15:47,20.7,71,5,N,6,1016.1,23.6,63,7,NE,17,1012.0
,2020-04-30,20.0,21.1,0,5.6,0.0,WSW,59,11:59,21.1,70,7,NE,15,1006.4,14.1,88,8,WSW,9,1006.1
