"Daily Weather Observations for Sydney, New South Wales for June 2020"
"Prepared at 16:00 UTC on Sunday 16 August 2020   IDCJDW2124.202006"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-06-1,14.5,22.6,0.2,2.8,7.6,NNW,61,14:51,17.9,51,3,N,22,1009.9,21.7,28,5,NNW,37,1005.8
,2020-06-2,8.0,15.1,3.8,6.8,0.8,WSW,56,18:24,8.3,83,7,NW,13,1014.5,14.9,46,7,W,19,1014.4
,2020-06-3,8.3,19.5,0,2.0,9.4,SW,44,12:12,13.7,55,1,W,24,1021.5,17.5,36,1,S,26,1023.8
,2020-06-4,10.4,17.5,0,3.8,6.0,W,37,05:26,11.5,55,5,W,22,1032.9,16.6,47,5,SSW,19,1030.7
,2020-06-5,7.2,19.2,0,2.4,9.8,W,24,00:03,9.3,76,1,WNW,15,1030.6,17.7,54,1,E,13,1025.8
,2020-06-6,7.5,18.9,0,2.4,9.8,W,28,06:53,9.4,69,1,WNW,19,1026.2,17.3,47,2,E,4,1022.4
,2020-06-7,8.3,16.5,0,2.6,1.9,S,33,15:31,9.6,81,7,WNW,17,1023.5,14.6,69,8,S,17,1021.8
,2020-06-8,9.1,17.9,17.8,2.0,6.8,SW,43,12:10,10.6,78,1,W,22,1028.5,15.9,61,6,SSW,24,1027.9
,2020-06-9,10.6,20.0,4.6,3.4,4.8,SSW,26,10:42,11.9,91,3,WNW,13,1033.2,19.5,66,5,SSE,13,1031.3
,2020-06-10,11.9,16.4,5.0,1.0,0.0,ENE,37,16:06,13.8,90,7,W,11,1030.0,15.8,89,8,NE,6,1026.0
,2020-06-11,13.5,21.5,5.8,1.4,7.5,SSE,41,15:05,13.9,88,1,WNW,19,1023.9,19.8,59,3,SSE,26,1022.4
,2020-06-12,12.2,16.3,0,2.0,0.3,WNW,28,00:26,13.9,85,8,WNW,15,1026.4,14.8,87,8,W,15,1024.5
,2020-06-13,11.2,18.8,5.4,2.0,4.3,E,22,14:26,12.8,91,6,WNW,13,1023.6,18.0,75,7,ENE,11,1019.0
,2020-06-14,12.7,21.8,9.6,0.8,6.3,WNW,41,17:44,14.6,88,7,NNW,9,1014.2,20.6,29,1,W,20,1014.3
,2020-06-15,9.0,20.3,0,3.0,9.8,W,30,09:52,11.1,66,1,WNW,15,1023.7,20.0,42,1,WNW,19,1021.1
,2020-06-16,11.0,21.2,0,3.2,9.3,WNW,30,12:27,12.8,70,0,WNW,13,1024.4,21.0,38,1,WNW,13,1021.9
,2020-06-17,11.3,17.4,0,3.4,1.5,SSE,39,16:54,13.0,66,6,WNW,20,1031.7,16.9,65,8,SE,24,1032.6
,2020-06-18,12.0,18.5,2.4,1.2,4.7,SE,30,04:13,13.3,77,7,WNW,17,1038.4,16.9,49,3,E,13,1035.2
,2020-06-19,9.3,19.2,0,4.0,8.7,E,24,14:22,11.2,84,1,WNW,15,1032.7,18.2,66,1,ENE,17,1027.8
,2020-06-20,9.0,21.6,0.2,2.8,6.8,N,24,15:24,9.5,90,7,WNW,17,1025.0,20.6,45,1,S,2,1019.7
,2020-06-21,9.4,19.4,4.4,1.4,5.0,WSW,43,07:09,11.9,86,8,NW,9,1014.3,18.5,58,1,W,9,1009.0
,2020-06-22,9.4,16.9,0.6,2.0,4.3,W,39,16:17,10.2,70,7,W,17,1010.6,14.6,49,5,WNW,19,1008.5
,2020-06-23,8.0,16.6,0,2.0,8.6,W,44,12:47,10.0,64,3,W,13,1012.4,16.2,36,3,W,28,1011.0
,2020-06-24,8.0,18.6,0,3.6,5.4,SW,43,14:58,11.3,62,3,WNW,20,1014.5,17.6,46,7,SW,22,1013.5
,2020-06-25,9.9,19.3,0,2.2,9.3,W,41,02:09,11.7,66,0,W,26,1019.9,18.1,38,1,W,26,1018.0
,2020-06-26,9.2,19.6,0,3.0,8.7,WNW,33,05:05,10.6,65,1,W,19,1024.1,18.9,42,2,SSE,15,1022.6
,2020-06-27,9.4,16.8,1.2,2.6,2.7,S,33,11:56,10.4,77,7,NW,9,1028.1,15.0,58,7,SSE,19,1026.4
,2020-06-28,8.9,16.3,0.2,2.4,2.0,SSE,41,16:24,9.6,72,5,WNW,20,1028.4,14.9,60,7,S,22,1026.3
,2020-06-29,9.4,16.5,6.8,2.6,1.7,W,26,07:33,11.6,88,7,WNW,17,1028.4,14.7,70,7,SSE,13,1026.0
,2020-06-30,8.5,17.7,1.2,0.8,8.0,ENE,24,14:25,9.5,90,2,W,13,1026.9,17.5,66,5,ENE,13,1022.3
