"Daily Weather Observations for Sydney, New South Wales for August 2020"
"Prepared at 05:36 UTC on Sunday 23 August 2020   IDCJDW2124.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,7.1,20.4,0,2.8,9.8,W,24,03:55,9.5,77,1,WNW,15,1027.2,17.3,54,3,E,17,1023.2
,2020-08-2,7.7,20.0,0,2.6,8.9,W,26,08:05,10.7,70,1,WNW,22,1025.6,18.1,44,5,ESE,13,1022.7
,2020-08-3,8.0,21.0,0,3.2,6.6,W,24,06:28,10.2,75,6,WNW,19,1020.3,19.8,39,7,ESE,7,1014.7
,2020-08-4,8.9,21.5,0,3.4,8.7,W,48,16:25,12.5,56,1,NW,4,1012.0,20.0,33,7,NW,22,1007.8
,2020-08-5,6.3,18.2,0,5.2,10.0,WSW,57,22:26,9.6,47,1,NW,24,1013.1,17.7,20,1,WNW,24,1011.2
,2020-08-6,6.9,17.5,0,4.0,9.9,W,43,10:20,9.7,49,1,W,20,1019.1,16.5,34,4,SE,17,1018.1
,2020-08-7,9.2,13.6,0,3.4,0.0,ESE,37,12:44,11.8,77,8,WNW,17,1022.5,12.4,88,8,SE,13,1018.3
,2020-08-8,11.3,15.8,24.6,1.6,1.0,W,41,22:40,12.3,90,7,W,20,1014.4,14.4,79,7,W,9,1010.5
,2020-08-9,9.3,14.9,5.2,2.6,1.6,NW,57,18:25,11.5,65,7,W,22,1011.7,10.5,86,8,W,30,1007.8
,2020-08-10,9.3,16.4,31.4,1.6,4.6,SSE,74,06:39,14.7,58,2,SSE,39,1015.9,15.2,52,7,SSW,15,1018.0
,2020-08-11,10.3,18.3,1.4,3.2,4.8,W,31,03:45,12.1,77,7,WNW,17,1021.8,16.2,55,6,ESE,4,1018.4
,2020-08-12,10.2,18.6,0,2.8,1.3,NNE,48,19:46,13.6,77,7, ,Calm,1017.0,17.4,55,7,N,7,1012.1
,2020-08-13,10.6,23.1,0.8,1.0,9.1,W,31,02:16,14.4,74,1,N,2,1014.6,22.9,35,3,WNW,11,1012.5
,2020-08-14,11.0,17.3,0,2.8,1.8,W,20,06:44,13.3,76,7,WNW,15,1016.1,17.2,64,8,WNW,4,1012.6
,2020-08-15,12.0,20.1,3.8,0.6,7.7,WSW,56,15:30,14.8,76,2,W,20,1007.5,19.2,40,6,W,30,1004.9
,2020-08-16,12.6,20.1,1.0,6.0,8.1,W,59,15:26,14.8,60,6,W,15,1007.1,19.1,33,3,W,35,1004.3
,2020-08-17,10.3,20.6,0,5.2,10.8,W,44,10:11,14.9,51,1,W,20,1009.0,20.0,34,1,W,24,1005.9
,2020-08-18,10.9,21.9,0,5.4,8.9,WNW,41,12:25,14.3,55,6,NW,15,1007.0,19.5,36,6,W,19,1001.9
,2020-08-19,11.4,21.8,0,4.0,9.7,W,83,17:08,16.5,46,1,N,28,997.7,19.6,26,4,NW,30,991.8
,2020-08-20,11.6,18.5,0,7.0,10.8,W,69,12:52,14.0,44,1,NW,26,1001.0,17.8,31,1,WNW,39,1001.9
,2020-08-21,9.4,18.8,0,5.4,9.6,NW,52,12:29,14.0,50,1,NW,17,1007.6,17.5,32,7,WNW,31,1003.7
,2020-08-22,9.5,16.0,0,6.6,10.3,NW,56,10:06,11.1,49,4,WNW,22,1004.6,14.9,28,6,WNW,35,1002.3
,2020-08-23,9.5,,0,3.0,,,,,11.9,44,1,W,39,1007.0,16.1,29,2,WSW,39,1007.1
