"Daily Weather Observations for Adelaide (Kent Town), South Australia for August 2017"
"Prepared at 13:02 UTC on Sunday 12 August 2018   IDCJDW5002.201708"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-08-1,4.6,16.5,0,,,N,24,15:27,8.7,89,, ,Calm,1026.9,15.7,46,,ENE,4,1022.9
,2017-08-2,7.1,15.5,0,,,ENE,33,15:26,12.6,45,,ENE,11,1021.3,13.9,48,,ENE,6,1017.3
,2017-08-3,8.8,12.2,10.8,,,E,37,05:27,10.1,75,,SE,9,1012.4,11.1,68,,SSW,11,1011.1
,2017-08-4,8.0,13.1,0.6,,,NW,54,14:34,10.1,84,,N,13,1009.7,9.4,88,,NNW,15,1006.2
,2017-08-5,8.2,14.7,5.4,,,NNW,48,12:44,9.4,89,,N,15,1011.5,14.1,65,,N,22,1007.0
,2017-08-6,8.5,13.7,10.4,,,WSW,57,14:54,9.4,75,,N,7,1007.5,8.6,90,,WSW,28,1005.7
,2017-08-7,7.8,14.6,7.4,,,SW,41,11:54,12.4,70,,SW,20,1016.5,13.8,53,,W,20,1018.5
,2017-08-8,7.5,14.8,0.2,,,WNW,20,13:07,9.8,96,,N,9,1024.8,14.1,60,,NW,11,1023.2
,2017-08-9,7.5,19.1,0,,,NNE,43,22:14,14.8,43,,NNE,9,1019.9,18.3,38,,NNE,19,1013.7
,2017-08-10,14.2,19.1,0,,,NW,46,13:51,14.6,36,,N,11,1008.4,18.1,47,,WNW,24,1008.9
,2017-08-11,10.3,16.5,0,,,W,39,12:50,12.2,75,,NW,13,1020.2,16.0,51,,W,19,1019.7
,2017-08-12,8.4,18.0,0,,,WNW,30,13:15,10.8,75,,NNE,9,1023.1,16.7,43,,NW,11,1020.2
,2017-08-13,8.4,23.3,0,,,N,35,13:32,16.3,34,,NE,9,1018.9,22.9,27,,NW,17,1014.9
,2017-08-14,12.5,22.3,0,,,NNW,20,12:53,15.9,55,,NNE,2,1017.4,20.9,43,,NNW,9,1013.2
,2017-08-15,15.1,15.7,8.4,,,N,43,04:07,15.4,93,,N,13,1008.2,15.2,94,,N,19,1003.2
,2017-08-16,11.7,16.9,15.8,,,W,54,18:26,13.0,78,,NW,15,1007.8,15.5,58,,NW,15,1007.7
,2017-08-17,11.1,16.3,2.8,,,WSW,65,14:18,12.6,75,,NW,17,1009.5,13.7,65,,W,26,1009.5
,2017-08-18,8.0,14.5,6.8,,,WSW,65,01:07,11.8,55,,WSW,26,1022.3,13.7,55,,SW,19,1024.4
,2017-08-19,3.5,15.2,1.4,,,WSW,24,16:48,9.9,75,,NNW,4,1030.8,14.4,56,,W,9,1027.6
,2017-08-20,6.5,15.0,0.2,,,NNE,44,12:25,11.7,45,,NE,9,1023.9,13.4,41,,NE,13,1015.5
,2017-08-21,7.9,14.0,12.6,,,SSW,30,15:23,8.9,92,,NE,6,1009.4,12.9,81,,SW,13,1012.2
,2017-08-22,8.8,17.1,0.2,,,W,24,10:35,12.4,74,, ,Calm,1022.7,16.1,50,,WNW,17,1021.0
,2017-08-23,10.3,15.3,0.4,,,W,35,12:09,10.6,92,,N,9,1022.9,15.1,57,,SW,19,1022.4
,2017-08-24,6.5,15.4,3.2,,,WSW,33,16:09,9.8,89,, ,Calm,1028.5,15.0,54,,WSW,17,1027.5
,2017-08-25,3.8,13.3,0.2,,,NW,17,12:37,10.9,61,,NNE,6,1030.9,12.7,59,,NNW,9,1028.2
,2017-08-26,3.2,15.3,0,,,WSW,24,14:23,11.1,62,,N,7,1027.9,13.6,46,,WSW,13,1025.9
,2017-08-27,7.8,14.0,0.8,,,SSE,31,10:37,11.7,63,,SSE,13,1028.7,12.9,42,,SSE,13,1028.0
,2017-08-28,4.2,11.7,0.2,,,SW,20,12:39,9.1,66,, ,Calm,1029.2,10.6,65,,SW,9,1026.6
,2017-08-29,3.0,14.6,0,,,WSW,20,13:33,8.6,79,,N,2,1026.7,14.2,46,,SW,9,1025.0
,2017-08-30,4.0,16.7,0,,,E,28,21:41,10.9,68,,NNW,4,1030.0,16.2,50,,WNW,6,1027.4
,2017-08-31,9.1,19.4,0,,,NNE,30,10:31,14.7,43,,NE,15,1027.9,18.8,33,,NE,11,1023.2
