"Daily Weather Observations for Adelaide (Kent Town), South Australia for October 2017"
"Prepared at 13:02 UTC on Friday 10 August 2018   IDCJDW5002.201710"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-10-1,6.5,17.8,0,,,SW,31,13:27,10.9,74,,N,2,1028.0,16.7,55,,SW,15,1026.0
,2017-10-2,6.3,22.6,0,,,WSW,24,14:29,12.7,73,, ,Calm,1026.7,22.6,32,,WSW,9,1021.9
,2017-10-3,8.2,27.7,0,,,W,24,13:53,16.8,51,,N,6,1021.8,26.6,25,,WSW,17,1019.0
,2017-10-4,16.8,30.0,0,,,NW,43,12:54,22.8,22,,NE,9,1016.4,29.0,11,,WNW,19,1014.0
,2017-10-5,13.5,18.4,2.4,,,SSW,35,09:47,14.7,76,,SSW,13,1020.0,16.7,55,,SSE,17,1021.9
,2017-10-6,8.8,19.6,0,,,E,28,14:23,11.9,56,,ESE,11,1025.7,17.7,37,,ENE,13,1021.7
,2017-10-7,11.9,28.2,0.6,,,NNE,41,13:14,15.6,47,,NE,11,1015.2,27.1,21,,NNE,15,1008.5
,2017-10-8,14.1,27.0,0.2,,,WSW,37,17:11,17.9,65,,N,11,1010.9,26.0,27,,WNW,17,1009.3
,2017-10-9,12.4,19.7,0.2,,,WSW,33,23:17,14.9,73,,SW,13,1017.0,19.3,37,,WSW,9,1016.9
,2017-10-10,7.4,27.0,0,,,NNW,30,11:18,15.6,51,,NE,9,1017.2,26.2,25,,NW,11,1012.7
,2017-10-11,15.6,24.6,0,,,WSW,56,16:22,24.0,50,,N,17,1005.7,15.6,93,,WSW,17,1008.3
,2017-10-12,12.4,,12.0,,,,,,15.0,59,,W,13,1020.2,17.9,52,,W,19,1020.0
,2017-10-13,12.0,19.4,,,,WSW,30,16:36,13.4,78,,NNW,7,1023.2,18.8,54,,SW,15,1022.7
,2017-10-14,8.7,22.1,2.8,,,WSW,31,13:52,15.2,63,,S,2,1026.0,20.9,52,,WSW,19,1023.5
,2017-10-15,11.0,25.3,0,,,ESE,31,14:51,17.6,60,,S,4,1023.9,24.2,43,,WSW,13,1020.9
,2017-10-16,15.2,32.1,0,,,N,26,11:01,25.1,35,,NNE,7,1021.0,31.4,22,,N,9,1017.4
,2017-10-17,23.1,33.6,0,,,NNE,43,10:09,27.5,26,,NNE,17,1017.6,33.2,13,,NNE,15,1014.5
,2017-10-18,25.3,34.4,0,,,W,46,19:34,28.3,30,,NNE,17,1015.7,33.7,27,,NW,9,1012.9
,2017-10-19,16.9,20.7,1.4,,,WSW,33,09:29,17.1,80,,SW,15,1020.0,19.8,49,,SW,20,1023.3
,2017-10-20,9.7,20.4,0.2,,,SE,35,17:53,14.1,47,,S,17,1031.5,19.1,35,,SSE,17,1029.8
,2017-10-21,10.7,19.9,0,,,WSW,41,14:08,14.1,57,,SSE,13,1030.4,18.6,46,,SW,22,1026.4
,2017-10-22,10.6,19.3,0,,,WSW,33,14:54,15.3,61,,SW,13,1024.0,18.9,56,,WSW,20,1021.4
,2017-10-23,9.8,25.3,0,,,WSW,22,13:18,14.9,68,,N,4,1020.7,24.4,37,,SW,13,1017.2
,2017-10-24,14.5,26.6,0,,,ENE,39,22:18,23.2,36,,NE,7,1014.2,18.1,83,,ENE,2,1015.2
,2017-10-25,16.8,23.9,5.4,,,E,37,00:01,18.9,62,,NE,13,1009.8,21.9,58,,SW,17,1009.0
,2017-10-26,14.7,21.2,0,,,SW,28,13:13,15.8,84,,SSW,11,1013.5,19.9,100,,SSW,11,1012.2
,2017-10-27,11.2,33.3,0,,,NNW,52,14:11,21.0,100,,NNE,15,1007.5,30.6,100,,NW,17,1001.2
,2017-10-28,11.0,22.2,0,,,W,30,13:32,16.9,55,,WNW,13,1011.4,20.5,42,,WSW,17,1009.5
,2017-10-29,12.7,28.3,0,,,WSW,61,16:41,22.2,27,,N,20,1002.5,20.8,56,,SW,24,1002.2
,2017-10-30,7.6,16.8,11.6,,,W,54,01:50,12.3,58,,SW,17,1012.9,13.2,57,,SSW,24,1017.7
,2017-10-31,7.1,20.1,0,,,SW,30,11:34,14.1,57,,SW,9,1024.9,18.3,41,,WSW,13,1023.5
