"Daily Weather Observations for Adelaide (Kent Town), South Australia for December 2017"
"Prepared at 13:02 UTC on Wednesday  8 August 2018   IDCJDW5002.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,17.8,21.4,12.6,,,SSW,31,14:15,19.1,75,,SSW,11,1010.0,19.5,64,,SSE,11,1010.8
,2017-12-2,14.3,20.3,0.4,,,SSW,44,13:08,16.6,56,,SSW,17,1014.9,17.7,59,,S,15,1016.2
,2017-12-3,12.2,20.2,0.2,,,S,39,16:28,15.9,55,,SSW,13,1019.3,17.7,48,,S,15,1018.4
,2017-12-4,13.3,22.3,0.2,,,SSW,35,10:35,16.8,58,,SSW,6,1020.3,21.4,40,,SSW,15,1017.7
,2017-12-5,12.4,22.9,0.2,,,W,35,14:26,17.4,51,,N,7,1016.0,21.9,44,,WSW,19,1012.3
,2017-12-6,13.8,25.0,0,,,WSW,30,11:39,18.6,57,,NW,4,1009.1,23.7,82,,SW,13,1006.9
,2017-12-7,11.8,19.3,0.6,,,SW,41,13:36,13.9,82,,NNE,6,1008.9,17.6,65,,SSW,20,1009.3
,2017-12-8,10.4,21.3,1.8,,,SSW,37,15:23,15.9,60,,SW,11,1020.0,20.9,36,,SW,17,1020.2
,2017-12-9,10.6,24.8,0,,,WSW,33,13:52,17.7,65,,SSW,11,1024.9,24.0,29,,WSW,19,1023.9
,2017-12-10,12.5,29.5,0,,,SW,31,18:06,20.0,56,,NW,2,1024.3,27.5,28,,SW,15,1022.0
,2017-12-11,13.1,31.0,0,,,WSW,28,16:08,21.7,46,,SE,4,1021.8,30.4,27,,WSW,13,1018.7
,2017-12-12,13.5,38.7,0,,,N,26,09:48,27.4,27,,NNE,11,1015.9,36.9,10,,WNW,13,1011.6
,2017-12-13,27.0,38.8,0,,,WSW,43,11:01,34.0,17,,NNE,15,1005.3,32.2,20,,SW,17,1004.4
,2017-12-14,18.2,26.0,0,,,WSW,35,17:13,18.2,91,,SW,13,1011.6,25.3,42,,WSW,13,1012.2
,2017-12-15,13.6,26.8,0,,,SW,31,14:49,19.8,54,,ENE,2,1014.6,25.8,33,,SW,11,1012.1
,2017-12-16,13.9,27.3,0,,,SW,31,14:11,20.8,51,,SW,7,1016.5,25.7,43,,WSW,17,1014.3
,2017-12-17,17.2,34.6,0,,,N,22,11:22,22.4,55,,SW,9,1014.3,31.8,28,,SW,13,1012.0
,2017-12-18,22.4,35.2,0,,,NNE,41,15:34,29.9,21,,NNE,9,1009.4,33.9,18,,ENE,13,1002.8
,2017-12-19,20.6,28.8,10.4,,,W,44,13:54,21.7,74,,WNW,6,1002.2,28.0,26,,W,24,1003.2
,2017-12-20,17.3,23.0,0,,,WSW,37,16:43,19.5,65,,WSW,17,1013.1,22.2,49,,WSW,20,1017.0
,2017-12-21,12.0,23.9,0.2,,,WSW,35,15:48,18.0,55,,NNW,6,1021.6,23.3,47,,SW,13,1019.5
,2017-12-22,13.5,32.8,0,,,SW,31,14:53,21.6,52,,NE,7,1016.7,31.8,19,,WNW,17,1012.9
,2017-12-23,14.4,37.7,0,,,NW,37,12:08,27.9,20,,NE,9,1008.9,37.5,14,,W,15,1005.6
,2017-12-24,16.2,24.8,0,,,S,44,19:24,19.1,48,,SE,11,1013.8,24.3,34,,SE,15,1014.4
,2017-12-25,13.3,29.4,0,,,ESE,35,22:29,18.1,44,,ENE,6,1017.9,28.4,15,,ENE,11,1014.7
,2017-12-26,17.9,35.4,0,,,E,43,02:58,25.2,27,,ENE,9,1014.6,33.9,19,,WSW,13,1011.4
,2017-12-27,24.9,38.1,0,,,SW,43,21:34,32.6,13,,NE,13,1008.8,34.6,17,,WSW,15,1006.9
,2017-12-28,22.3,28.2,0,,,SW,28,23:34,23.7,72,,SW,7,1013.1,26.1,64,,SW,11,1011.2
,2017-12-29,19.2,25.8,1.4,,,WSW,26,12:53,21.2,73,,SSW,6,1011.6,24.4,55,,SW,17,1011.1
,2017-12-30,16.9,24.5,0,,,SW,37,07:31,18.3,79,,SW,13,1014.6,23.1,49,,SW,19,1014.3
,2017-12-31,14.2,26.4,0.2,,,WSW,30,16:54,17.5,61,,ESE,7,1014.4,25.4,40,,W,13,1011.9
