"Daily Weather Observations for Adelaide (Kent Town), South Australia for June 2018"
"Prepared at 16:02 UTC on Thursday 16 August 2018   IDCJDW5002.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,4.8,18.5,0.2,,,N,19,10:10,10.5,59,,NNE,2,1029.7,16.7,48,,SW,7,1026.6
,2018-06-2,4.9,19.3,0,,,N,17,11:18,9.1,71,, ,Calm,1027.7,19.0,33,,WSW,4,1025.7
,2018-06-3,4.5,18.6,0,,,WSW,20,12:30,10.5,65,, ,Calm,1027.1,17.8,61,,W,15,1025.0
,2018-06-4,7.4,16.4,0,,,WSW,22,14:20,10.3,97,, ,Calm,1027.2,15.9,67,,SW,13,1025.6
,2018-06-5,5.4,17.3,0,,,SW,17,14:45,10.5,86,, ,Calm,1029.9,16.2,58,,SW,9,1026.7
,2018-06-6,5.5,18.5,0,,,NE,31,11:05,11.9,64,,N,6,1026.2,17.6,35,,NNE,13,1021.4
,2018-06-7,11.9,18.6,0,,,N,46,12:57,15.5,35,,NNE,13,1020.4,18.1,32,,N,17,1016.3
,2018-06-8,12.0,14.7,2.2,,,NNE,33,00:59,13.0,88,,N,9,1019.8,13.8,94,,E,6,1017.4
,2018-06-9,11.7,18.0,0.8,,,SW,17,14:07,13.8,85,,N,6,1022.9,16.1,71,,SW,9,1021.8
,2018-06-10,9.7,19.1,0.2,,,NNE,33,15:31,13.2,83,,NNE,6,1025.0,18.5,44,,NE,15,1021.1
,2018-06-11,13.2,20.9,0,,,NW,41,14:22,16.0,64,,N,15,1014.2,18.2,62,,WNW,17,1009.9
,2018-06-12,12.2,14.9,11.6,,,W,46,10:38,12.7,91,,W,19,1012.5,14.4,51,,WSW,20,1012.2
,2018-06-13,9.7,15.5,11.0,,,W,39,11:55,11.0,92,,N,2,1009.6,14.5,62,,WNW,9,1010.2
,2018-06-14,10.3,15.9,4.8,,,WNW,46,12:40,11.0,94,,N,15,1013.5,14.9,72,,NNW,17,1010.7
,2018-06-15,9.5,15.4,9.0,,,WSW,44,03:19,10.5,84,,W,13,1018.9,14.3,57,,WSW,19,1019.0
,2018-06-16,8.1,12.9,7.6,,,WSW,46,14:51,9.3,85,,SSW,4,1021.9,11.6,61,,WSW,26,1021.0
,2018-06-17,5.7,13.9,4.2,,,SW,41,14:16,10.4,79,,SSW,11,1027.8,12.3,61,,SW,15,1027.7
,2018-06-18,5.2,12.5,0.2,,,WSW,15,14:10,8.1,87,, ,Calm,1032.0,11.9,73,,SW,4,1029.5
,2018-06-19,6.7,13.4,0.2,,,N,28,12:52,9.4,63,,NE,7,1027.9,12.0,59,,N,11,1025.5
,2018-06-20,7.5,15.4,0,,,N,24,12:23,9.1,59,,NE,6,1026.8,15.3,40,,NNW,9,1025.5
,2018-06-21,5.4,16.8,0,,,WSW,19,14:33,9.6,70,, ,Calm,1029.9,15.2,47,,WSW,9,1028.1
,2018-06-22,3.2,15.9,0,,,NE,17,10:03,7.8,75,, ,Calm,1029.5,15.0,33,,N,9,1027.0
,2018-06-23,3.5,16.9,0,,,WSW,17,14:17,9.0,69,,ENE,6,1028.8,14.9,45,,WSW,9,1028.1
,2018-06-24,5.5,15.0,0,,,ESE,24,21:52,8.8,90,, ,Calm,1032.3,14.1,67,,ESE,7,1030.3
,2018-06-25,4.5,12.9,0,,,ENE,26,11:00,9.9,53,,ESE,9,1033.9,11.9,46,,ENE,11,1031.6
,2018-06-26,3.3,13.7,0,,,E,24,00:02,9.4,58,,ENE,6,1033.2,12.9,42,,E,9,1030.3
,2018-06-27,3.6,14.1,0,,,W,20,12:23,7.2,78,, ,Calm,1031.4,13.4,63,,WSW,7,1028.1
,2018-06-28,2.3,13.9,0,,,NNE,22,11:00,5.6,83,, ,Calm,1025.5,12.9,53,,N,9,1021.3
,2018-06-29,5.6,14.9,0,,,W,41,16:46,11.2,43,,N,17,1016.7,11.5,84,,WNW,19,1015.2
,2018-06-30,6.1,14.5,2.8,,,SW,30,02:14,9.5,78,, ,Calm,1026.6,13.6,51,,WSW,13,1028.0
