"Daily Weather Observations for Adelaide (Kent Town), South Australia for July 2018"
"Prepared at 13:02 UTC on Tuesday 21 August 2018   IDCJDW5002.201807"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-07-1,2.9,15.5,0,,,N,22,13:37,5.4,91,, ,Calm,1033.8,15.0,37,,NNE,11,1030.5
,2018-07-2,3.7,16.6,0,,,N,30,12:27,10.5,52,,NNE,9,1031.0,16.1,33,,NNW,15,1026.1
,2018-07-3,8.9,19.2,0,,,N,41,12:22,11.5,42,,NE,13,1025.1,18.9,22,,N,17,1019.7
,2018-07-4,11.4,18.2,0,,,NE,33,00:35,13.5,34,,ENE,6,1020.0,18.1,34,,NNE,6,1016.2
,2018-07-5,12.4,17.5,1.4,,,NW,46,12:52,17.3,33,,NNE,7,1011.0,14.1,67,,N,15,1008.2
,2018-07-6,8.8,14.8,6.8,,,WSW,44,23:39,11.0,68,,WSW,15,1015.4,12.9,68,,WNW,17,1015.7
,2018-07-7,8.2,14.0,11.0,,,WSW,76,01:54,11.7,62,,WSW,17,1021.0,13.0,63,,WSW,17,1023.9
,2018-07-8,10.2,15.4,0.6,,,WSW,33,11:11,13.2,74,,WSW,11,1030.0,14.2,66,,WSW,15,1030.4
,2018-07-9,8.0,13.7,0,,,S,22,01:45,12.3,67,,S,7,1033.2,13.4,62,,WSW,9,1031.8
,2018-07-10,4.4,15.1,0,,,NW,24,13:04,8.6,76,, ,Calm,1031.0,14.0,57,,W,13,1028.3
,2018-07-11,4.2,14.2,2.6,,,SW,31,14:30,7.5,94,,SE,4,1025.7,13.3,54,,WSW,15,1023.7
,2018-07-12,7.5,14.9,5.2,,,WSW,26,04:15,10.5,92,, ,Calm,1024.5,14.6,65,,W,15,1022.8
,2018-07-13,2.8,14.9,0,,,NNW,17,12:22,6.5,91,,NE,7,1024.9,14.7,51,,NNW,7,1021.6
,2018-07-14,4.8,17.3,0,,,N,41,12:03,10.4,52,,NE,7,1020.1,16.2,67,,NNW,15,1016.0
,2018-07-15,6.8,16.9,0,,,N,31,10:50,10.9,43,,NE,9,1014.3,16.7,27,,NNE,13,1008.8
,2018-07-16,10.8,17.1,0.4,,,NW,30,13:35,13.6,70,,W,13,1010.5,16.5,53,,NNW,15,1010.0
,2018-07-17,12.0,15.1,0,,,W,52,12:18,13.8,56,,NNW,22,1006.0,14.9,58,,WNW,20,1011.5
,2018-07-18,7.1,17.4,4.6,,,NNW,43,16:01,9.7,72,,N,11,1017.3,16.9,41,,NNW,19,1014.6
,2018-07-19,7.7,11.9,0,,,WSW,46,17:27,10.8,70,,N,11,1010.6,10.4,84,, ,Calm,1009.4
,2018-07-20,7.0,13.7,14.2,,,W,48,00:26,10.5,65,,WSW,9,1018.8,13.0,59,,WSW,11,1019.7
,2018-07-21,6.9,15.3,2.0,,,NW,30,14:19,9.7,82,,NNE,6,1023.6,14.4,52,,NNW,17,1020.7
,2018-07-22,9.6,17.9,0.2,,,N,44,11:52,12.8,37,,NNE,13,1018.1,17.5,27,,N,20,1012.6
,2018-07-23,12.5,18.6,0,,,NW,50,12:30,15.7,31,,NE,9,1005.0,15.3,75,,NNW,13,1004.1
,2018-07-24,10.4,17.8,3.0,,,NW,50,12:47,12.5,80,,N,15,1013.6,16.9,61,,WNW,22,1012.9
,2018-07-25,11.3,16.5,9.6,,,WNW,24,13:57,12.0,96,,NW,6,1019.3,15.9,69,,NW,15,1018.1
,2018-07-26,8.4,20.0,0,,,N,26,13:45,12.3,82,,NNE,4,1017.7,19.8,35,,NNW,9,1013.5
,2018-07-27,12.3,22.1,0,,,NNE,20,02:09,17.3,52,,E,7,1013.7,21.1,39,,WNW,11,1011.5
,2018-07-28,7.4,18.4,0.2,,,NW,54,21:39,12.3,73,, ,Calm,1011.2,16.0,76,,SW,13,1008.5
,2018-07-29,8.7,13.7,3.4,,,WSW,56,03:30,11.7,61,,WSW,15,1014.1,13.0,58,,WSW,17,1016.2
,2018-07-30,8.6,16.1,0.4,,,NNW,46,13:51,11.1,77,,NNW,11,1019.1,15.8,47,,NNW,20,1014.5
,2018-07-31,10.9,17.1,2.2,,,WNW,43,13:26,12.9,84,,NW,13,1016.5,15.3,62,,WNW,20,1016.2
