"Daily Weather Observations for Adelaide (Kent Town), South Australia for March 2019"
"Prepared at 13:02 UTC on Monday 19 August 2019   IDCJDW5002.201903"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-03-1,21.3,42.2,0,,,NNW,31,11:02,30.9,22,,NE,2,1016.6,41.6,9,,WNW,15,1013.9
,2019-03-2,29.5,41.2,0,,,N,37,09:42,32.8,17,,NE,9,1015.7,40.4,10,,W,15,1013.8
,2019-03-3,24.0,33.5,0,,,WNW,35,10:06,26.4,56,,ENE,7,1017.2,29.1,51,,WSW,9,1016.8
,2019-03-4,19.0,33.7,0,,,W,26,13:51,23.3,41,, ,Calm,1019.1,30.7,35,,WSW,15,1016.6
,2019-03-5,16.5,24.6,0,,,WSW,41,18:41,19.8,59,,WSW,7,1016.9,24.3,48,,W,13,1015.4
,2019-03-6,14.6,21.3,0.2,,,SSW,39,12:15,16.9,40,,SW,9,1021.2,19.9,38,,WSW,15,1021.7
,2019-03-7,10.4,26.0,0,,,N,31,12:32,15.2,42,,ENE,6,1024.8,23.4,20,,N,15,1019.3
,2019-03-8,13.7,28.3,0,,,WNW,20,11:20,21.7,28,,NE,6,1017.1,25.7,25,,WSW,9,1017.2
,2019-03-9,16.8,29.2,0,,,W,24,13:35,21.7,70,,WSW,4,1019.6,28.4,37,,W,13,1017.9
,2019-03-10,18.1,27.0,0,,,W,30,14:33,21.0,76,,NE,6,1016.0,25.0,60,,SW,6,1014.3
,2019-03-11,19.0,24.8,0,,,SW,33,15:02,19.7,71,,SW,9,1014.9,22.5,53,,WSW,15,1013.9
,2019-03-12,17.7,22.5,0,,,W,35,11:23,18.0,71,,WSW,13,1016.1,21.0,38,,WSW,17,1017.1
,2019-03-13,13.1,23.2,0.6,,,WSW,30,13:40,15.8,51,,SE,7,1019.9,22.3,36,,WSW,13,1017.7
,2019-03-14,11.5,25.8,0,,,WSW,30,17:24,16.7,50,, ,Calm,1017.9,24.1,30,,WSW,15,1016.3
,2019-03-15,13.8,27.2,0,,,SE,33,21:35,18.1,62,,NW,6,1020.2,26.7,37,,WSW,11,1017.9
,2019-03-16,14.4,29.5,0,,,WSW,31,14:42,20.7,56,, ,Calm,1018.8,27.9,28,,WSW,15,1016.8
,2019-03-17,15.5,32.1,0,,,WSW,33,16:31,21.2,54,, ,Calm,1017.6,31.2,28,,W,13,1015.6
,2019-03-18,16.1,31.7,0,,,WSW,20,11:58,21.1,52,, ,Calm,1018.0,30.2,26,,WSW,11,1014.9
,2019-03-19,16.3,30.6,0,,,W,24,16:47,21.4,42,, ,Calm,1016.3,29.6,33,,WSW,13,1013.9
,2019-03-20,16.1,29.8,0,,,W,24,10:44,20.4,52,,N,6,1015.8,29.5,47,,W,9,1013.8
,2019-03-21,17.8,28.8,0,,,ESE,28,21:01,21.4,60,,SE,9,1016.2,28.1,35,,SE,9,1014.2
,2019-03-22,17.0,34.4,0,,,WSW,31,16:48,21.5,65,,WNW,6,1012.9,33.7,30,,W,9,1008.8
,2019-03-23,20.1,26.2,0,,,WSW,26,14:27,21.6,74,,WSW,7,1011.0,25.0,52,,SW,7,1011.2
,2019-03-24,19.3,26.6,0,,,W,46,19:05,20.3,76,, ,Calm,1010.2,25.2,54,,NW,17,1006.6
,2019-03-25,13.6,19.6,1.6,,,W,50,23:42,13.7,82,,WSW,17,1013.9,18.3,42,,WSW,20,1015.9
,2019-03-26,13.1,21.8,2.0,,,WSW,31,17:10,16.3,59,,S,6,1023.5,20.7,48,,WSW,15,1022.9
,2019-03-27,10.9,24.5,0,,,W,24,11:55,15.0,73,,NNE,2,1024.1,23.5,39,,WSW,9,1020.9
,2019-03-28,11.8,29.7,0,,,NNW,28,11:25,18.1,48,,NNE,6,1017.2,28.3,22,,NNW,17,1012.9
,2019-03-29,17.6,21.5,0,,,W,52,10:47,21.0,70,,W,19,1008.7,16.9,63,,WSW,15,1010.8
,2019-03-30,10.2,17.5,2.2,,,S,35,09:34,13.0,57,,SSW,11,1018.7,16.6,46,,WSW,15,1019.0
,2019-03-31,11.4,21.1,1.6,,,WSW,33,01:07,16.0,78,, ,Calm,1022.8,20.1,55,,WSW,13,1022.6
