"Daily Weather Observations for Adelaide (Kent Town), South Australia for September 2019"
"Prepared at 13:02 UTC on Tuesday 11 August 2020   IDCJDW5002.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,9.7,18.0,6.0,,,W,35,10:10,14.8,79,,WNW,15,1020.1,16.6,44,,WSW,13,1021.0
,2019-09-2,4.6,23.8,0.2,,,NNE,30,10:11,18.0,37,,NNE,13,1017.4,22.2,26,,NNW,9,1014.6
,2019-09-3,7.0,19.1,0,,,,,,10.6,97,,ENE,6,1018.8,18.4,57,,W,9,1016.8
,2019-09-4,9.3,17.9,,,,E,17,10:21,11.7,92,,ESE,2,1018.3,17.2,71,,ESE,2,1014.8
,2019-09-5,10.1,18.6,2.6,,,W,35,16:50,14.6,82,,NW,9,1014.4,17.1,51,,WNW,19,1012.2
,2019-09-6,9.4,13.6,2.8,,,WSW,57,11:50,11.7,70,,WSW,28,1010.7,13.2,62,,WSW,22,1015.3
,2019-09-7,8.6,15.1,4.6,,,W,39,04:43,10.9,74,,WSW,13,1022.4,14.3,55,,WSW,24,1021.9
,2019-09-8,10.0,16.2,2.8,,,W,43,11:12,12.7,78,,W,13,1023.4,14.8,69,,WSW,22,1023.1
,2019-09-9,5.5,15.7,3.2,,,WSW,28,12:35,12.3,53,,S,9,1030.6,15.0,49,,WSW,15,1029.4
,2019-09-10,4.0,18.0,0,,,NNW,20,12:39,12.4,53,,NNE,9,1031.2,17.6,38,,NNW,9,1028.3
,2019-09-11,4.8,24.7,0.2,,,NNE,28,22:35,17.1,33,,NNE,11,1029.8,24.4,22,,NW,13,1025.2
,2019-09-12,14.1,21.4,0,,,N,35,00:31,18.2,47,,NW,9,1024.8,19.1,60,,WSW,17,1024.2
,2019-09-13,8.0,18.8,0,,,W,26,14:36,12.2,91,,S,6,1028.3,17.0,65,,W,13,1027.5
,2019-09-14,8.5,27.1,0,,,N,20,10:59,18.4,58,,N,6,1027.1,26.6,35,,W,9,1023.3
,2019-09-15,17.5,28.5,0,,,NNW,31,13:29,22.9,31,,NNE,9,1020.9,27.2,22,,WNW,11,1015.9
,2019-09-16,10.6,15.4,1.0,,,SE,43,13:27,12.0,72,,SSE,4,1023.9,14.3,37,,SSE,17,1024.6
,2019-09-17,5.1,16.4,0,,,ENE,26,10:31,11.0,39,,ENE,11,1030.1,15.2,35,,WSW,15,1026.9
,2019-09-18,6.1,21.9,0,,,NNE,35,23:23,14.9,27,,NE,13,1026.2,21.3,18,,NE,13,1021.0
,2019-09-19,14.9,29.4,0,,,NNE,52,12:24,20.9,15,,NE,13,1012.7,29.0,10,,NNE,19,1007.4
,2019-09-20,15.8,20.2,0,,,WSW,37,02:13,17.9,57,,ESE,4,1013.9,17.5,59,,W,11,1012.9
,2019-09-21,9.8,15.7,17.4,,,WSW,43,09:16,11.2,76,,WSW,17,1016.9,13.7,53,,WSW,17,1019.9
,2019-09-22,7.7,15.8,3.8,,,WNW,39,17:42,9.2,90,,NNE,6,1026.0,15.5,48,,WNW,17,1024.1
,2019-09-23,8.8,16.2,3.4,,,WSW,28,00:37,13.6,57,,WSW,13,1030.9,15.2,44,,WSW,11,1030.2
,2019-09-24,5.6,16.7,0.2,,,WSW,20,13:11,12.4,67,,NNW,6,1033.1,16.1,47,,WSW,13,1030.4
,2019-09-25,5.6,20.4,0,,,NNE,26,14:34,14.7,54,,N,9,1031.4,20.1,33,,WNW,9,1026.4
,2019-09-26,7.6,25.1,0,,,WNW,30,13:11,19.6,35,,NNE,9,1024.9,25.0,18,,W,11,1020.9
,2019-09-27,11.5,19.8,0,,,WSW,35,12:16,17.8,46,,WSW,11,1019.9,18.9,48,,S,11,1020.2
,2019-09-28,5.5,16.5,0,,,E,24,09:14,13.0,43,,E,11,1024.0,14.5,43,,WSW,13,1022.2
,2019-09-29,6.7,19.4,0,,,W,24,12:31,14.0,53,,SSW,6,1026.0,17.4,49,,W,17,1024.1
,2019-09-30,9.7,21.3,0,,,E,33,09:22,15.1,55,,E,15,1028.8,20.7,35,,E,7,1025.8
