"Daily Weather Observations for Adelaide (Kent Town), South Australia for December 2019"
"Prepared at 13:02 UTC on Saturday  8 August 2020   IDCJDW5002.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,11.3,18.2,2.4,,,WSW,50,14:02,14.2,88,,W,20,1009.3,16.9,55,,WSW,24,1007.0
,2019-12-2,11.5,19.5,6.6,,,WSW,44,04:19,12.7,85,,SW,9,1008.3,17.6,48,,WSW,20,1010.6
,2019-12-3,12.7,21.7,0.2,,,SW,35,10:51,14.6,82,,WSW,11,1015.5,20.1,47,,WSW,17,1015.4
,2019-12-4,14.4,25.0,0,,,WSW,30,14:39,17.0,60,,W,11,1018.4,23.4,37,,W,13,1016.3
,2019-12-5,13.4,26.1,0,,,WSW,26,12:33,18.2,66,,W,9,1014.7,24.8,44,,WSW,13,1013.6
,2019-12-6,11.3,22.9,0,,,W,35,11:39,15.3,60,,SSE,9,1017.2,22.0,46,,WSW,19,1016.2
,2019-12-7,9.4,27.7,0,,,WSW,24,11:50,16.8,49,,SSE,7,1018.8,26.2,34,,WSW,11,1015.6
,2019-12-8,16.6,39.6,0,,,NNE,30,10:16,27.6,17,,NE,9,1013.7,38.9,9,,W,13,1011.0
,2019-12-9,21.7,27.2,0,,,WSW,52,17:47,22.4,65,,NE,4,1015.0,22.0,62,,WSW,19,1017.7
,2019-12-10,13.8,26.7,0,,,SSE,28,15:41,17.8,61,,SSW,4,1021.2,25.3,,,SSW,9,1018.8
,2019-12-11,12.4,26.6,0,,,SSE,30,14:56,17.8,48,,E,7,1020.2,25.9,30,,S,9,1018.7
,2019-12-12,14.6,24.5,0,,,SW,37,14:43,18.1,52,,SSE,13,1022.5,23.6,34,,SW,13,1021.3
,2019-12-13,13.0,21.6,0,,,WSW,35,15:40,16.5,52,,SSW,7,1023.1,20.7,47,,WSW,17,1021.0
,2019-12-14,13.7,25.6,0,,,WSW,26,11:30,15.9,76,,SSW,6,1019.7,22.6,39,,WSW,13,1017.3
,2019-12-15,12.6,31.3,0,,,WSW,30,16:57,19.7,56,,NNW,6,1013.7,29.2,9,,SW,9,1012.1
,2019-12-16,15.1,36.5,0,,,WSW,26,16:18,26.9,23,, ,Calm,1014.7,36.1,9,,W,11,1013.4
,2019-12-17,20.7,41.8,0,,,NW,28,14:27,30.1,26,, ,Calm,1015.8,41.7,7,,SE,7,1012.8
,2019-12-18,27.9,45.0,0,,,W,30,13:30,36.5,11,,NNE,11,1013.4,44.7,7,,WNW,13,1011.0
,2019-12-19,23.2,45.2,0,,,WSW,24,16:17,36.5,13,,ESE,2,1012.5,43.1,10,,E,9,1009.6
,2019-12-20,32.8,45.0,0,,,NW,50,11:30,39.4,12,,N,19,1008.0,41.5,14,,NNW,22,1005.5
,2019-12-21,17.4,24.7,0,,,S,33,10:44,20.2,55,,SSE,13,1020.7,20.2,56,,SSE,13,1021.3
,2019-12-22,13.0,27.5,0,,,ESE,30,07:27,19.5,32,,E,9,1021.5,26.4,26,,SW,7,1018.7
,2019-12-23,18.4,34.7,0,,,W,28,14:01,26.7,26,,NNW,6,1016.3,32.2,14,,WSW,17,1015.9
,2019-12-24,15.7,33.4,0,,,W,30,16:52,24.8,48,,WNW,7,1016.6,31.3,27,,WSW,13,1014.9
,2019-12-25,19.4,35.7,0,,,WSW,33,13:33,27.9,21,,WNW,6,1016.9,31.6,25,,WSW,20,1015.5
,2019-12-26,18.2,35.4,0,,,WSW,26,12:39,25.4,27,,WSW,6,1018.8,34.0,17,,ESE,9,1016.1
,2019-12-27,25.1,42.7,0,,,E,39,02:15,31.6,15,,NE,9,1013.4,42.1,9,,W,13,1009.7
,2019-12-28,24.4,40.1,0.2,,,SE,30,00:03,30.5,39,,SW,7,1012.4,39.3,16,,WSW,9,1011.0
,2019-12-29,23.3,39.8,0,,,WSW,28,08:27,33.5,27,,WNW,2,1012.2,38.1,15,,WSW,13,1011.1
,2019-12-30,27.8,41.5,0,,,W,57,05:52,33.4,25,,NE,11,1005.3,36.0,23,,WSW,15,1001.1
,2019-12-31,15.2,24.7,0,,,W,39,14:31,19.1,43,,S,13,1015.9,23.4,34,,WSW,17,1014.7
