"Daily Weather Observations for Adelaide (Kent Town), South Australia for January 2020"
"Prepared at 16:02 UTC on Friday  7 August 2020   IDCJDW5002.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,13.0,27.0,0,,,W,31,16:05,20.1,48,,WSW,4,1019.1,25.8,25,,WSW,17,1017.8
,2020-01-2,14.1,32.8,0,,,E,30,22:49,22.7,39,,SE,2,1019.6,32.3,21,,W,13,1016.1
,2020-01-3,22.1,42.1,0,,,N,39,11:14,32.2,14,,ENE,11,1009.7,40.9,5,,WNW,13,1004.2
,2020-01-4,19.9,24.4,0,,,SSE,41,16:15,20.9,57,,WSW,17,1014.9,23.6,38,,SSE,17,1015.3
,2020-01-5,11.8,18.9,3.2,,,S,35,23:10,14.1,73,,SE,9,1024.1,16.1,57,,SSE,7,1022.1
,2020-01-6,13.3,27.6,0.8,,,W,28,13:11,18.9,43,,S,2,1020.1,23.3,46,,WSW,11,1016.5
,2020-01-7,16.2,32.7,0.2,,,ESE,41,21:38,22.9,44,,WSW,6,1016.5,31.1,25,,WSW,17,1013.9
,2020-01-8,22.1,36.6,0,,,ESE,35,00:30,28.0,22,,ESE,9,1015.7,35.1,14,,S,9,1013.0
,2020-01-9,23.9,42.8,0,,,ENE,33,03:47,30.7,16,,ENE,9,1011.7,40.6,10,,N,11,1007.1
,2020-01-10,23.2,23.3,0,,,WSW,33,10:50,23.2,76,,WSW,19,1010.3,17.0,87,,SW,9,1015.2
,2020-01-11,13.6,24.7,1.8,,,SSE,39,15:24,18.4,48,,S,13,1022.4,23.5,31,,S,13,1021.0
,2020-01-12,14.2,31.2,0,,,SW,28,16:03,18.4,55,,SE,6,1021.4,29.1,33,,WNW,13,1016.4
,2020-01-13,16.4,34.8,0,,,W,31,15:57,27.7,26,,NE,9,1013.3,34.0,15,,WSW,13,1011.0
,2020-01-14,19.7,35.4,0,,,WSW,26,16:21,26.5,36,,SW,2,1013.2,33.2,24,,WSW,17,1010.7
,2020-01-15,18.3,28.6,0,,,W,43,14:27,22.8,98,,N,6,1011.8,25.6,46,,WSW,19,1011.0
,2020-01-16,16.4,23.6,0,,,SE,43,14:45,18.5,45,,SSE,15,1016.0,22.4,37,,S,17,1014.2
,2020-01-17,12.7,24.0,0,,,SE,41,00:32,15.9,45,,SE,13,1015.9,22.6,28,,SE,15,1012.9
,2020-01-18,13.9,27.7,0,,,SE,28,19:18,17.9,61,, ,Calm,1011.2,27.1,27,,SW,9,1007.8
,2020-01-19,16.4,23.4,0,,,WSW,41,15:26,18.0,70,,SW,7,1009.7,21.6,44,,SSW,13,1008.6
,2020-01-20,15.0,19.7,9.6,,,S,39,11:47,15.5,93,,SW,9,1011.0,18.5,69,,S,15,1011.9
,2020-01-21,15.5,27.9,0,,,WNW,33,15:51,17.4,63,,NE,9,1012.7,25.2,39,,WNW,9,1008.9
,2020-01-22,17.2,27.4,0,,,WSW,39,11:45,24.8,30,,NNW,11,999.7,21.5,53,,W,15,1001.5
,2020-01-23,14.3,21.4,6.6,,,WSW,52,06:12,16.9,66,,W,24,1001.8,19.3,45,,WSW,17,1006.5
,2020-01-24,16.0,24.0,0,,,WSW,31,13:48,19.4,50,,W,15,1014.9,22.4,47,,WSW,19,1015.5
,2020-01-25,16.1,26.6,0,,,WSW,31,17:08,18.3,76,,N,4,1016.9,25.8,44,,W,11,1015.2
,2020-01-26,16.4,28.2,0,,,WSW,33,13:01,19.9,74,,S,7,1017.1,25.4,46,,WSW,19,1015.2
,2020-01-27,15.6,27.6,0,,,WSW,28,14:57,20.4,67,,NNW,4,1016.6,26.6,47,,WSW,13,1015.0
,2020-01-28,13.7,32.7,0,,,WSW,28,16:36,20.5,54,,SSW,2,1017.6,30.5,23,,WSW,11,1015.4
,2020-01-29,15.3,40.1,0,,,NNE,30,11:31,24.4,35,, ,Calm,1016.5,38.2,6,,NNW,13,1012.5
,2020-01-30,21.2,43.9,0,,,NNE,28,08:39,34.3,8,,NE,9,1009.8,42.3,6,,WSW,11,1005.9
,2020-01-31,29.9,37.2,0,,,W,44,16:13,31.7,55,,NW,11,1006.6,35.1,45,,NW,20,1003.5
