"Daily Weather Observations for Adelaide (Kent Town), South Australia for May 2020"
"Prepared at 13:02 UTC on Monday 17 August 2020   IDCJDW5002.202005"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-05-1,10.2,16.9,6.6,,,WSW,57,12:21,14.5,69,,WSW,20,1016.4,16.5,59,,WSW,24,1015.3
,2020-05-2,12.8,17.3,5.0,,,WSW,43,10:31,14.4,87,,WSW,13,1017.8,16.3,65,,WSW,20,1018.4
,2020-05-3,9.4,15.5,0.2,,,WSW,20,11:02,12.9,65,,E,2,1028.1,15.1,61,,WSW,9,1027.0
,2020-05-4,9.3,18.5,0,,,W,20,16:04,13.6,66,,E,2,1030.7,18.1,49,,SSE,2,1028.1
,2020-05-5,7.8,20.1,0,,,N,24,10:37,15.0,52,,NNE,9,1028.9,18.9,46,,NW,9,1025.2
,2020-05-6,10.2,20.7,0,,,N,39,13:10,15.9,37,,NE,9,1023.1,20.3,23,,N,15,1017.4
,2020-05-7,15.8,21.4,0,,,WNW,46,13:15,18.1,57,,NNE,11,1011.1,20.8,43,,WNW,19,1011.1
,2020-05-8,12.4,19.1,0.2,,,W,48,20:14,14.3,87,,N,13,1015.3,18.2,57,,NW,17,1011.8
,2020-05-9,9.6,15.8,17.2,,,WNW,57,01:15,13.3,51,,WSW,19,1016.4,13.7,68,,WSW,19,1019.5
,2020-05-10,7.6,16.7,0.4,,,WSW,20,15:00,10.6,86,,NNE,2,1028.6,15.8,55,,W,9,1027.8
,2020-05-11,5.9,17.8,0.2,,,NNW,20,13:05,12.7,77,,NNE,6,1030.5,17.2,51,,WNW,9,1027.4
,2020-05-12,8.3,19.2,0.2,,,NNW,31,12:06,13.0,58,,NNE,9,1024.4,18.9,39,,NNW,13,1021.1
,2020-05-13,7.6,15.0,0.4,,,S,28,09:32,12.4,67,,SSW,9,1028.8,14.6,57,,WSW,6,1027.8
,2020-05-14,9.7,15.5,0,,,ESE,20,14:39,13.0,44,,SE,7,1031.8,14.1,44,,SE,6,1030.0
,2020-05-15,4.7,16.8,0,,,NNE,24,13:01,9.9,72,, ,Calm,1031.5,16.1,38,,NNE,9,1028.4
,2020-05-16,3.5,19.0,0,,,N,19,10:18,12.2,53,, ,Calm,1029.9,17.6,35,,WSW,9,1027.9
,2020-05-17,4.8,20.9,0,,,N,20,13:24,12.8,70,, ,Calm,1031.0,20.2,35,,SE,2,1027.8
,2020-05-18,8.9,22.3,0,,,N,33,11:51,17.1,52,,NE,11,1027.0,21.5,34,,WNW,9,1022.3
,2020-05-19,11.2,22.5,0,,,WSW,50,16:46,18.4,39,,N,17,1018.8,21.2,28,,NW,13,1013.7
,2020-05-20,11.6,15.0,4.6,,,NW,44,14:10,14.0,64,,WNW,11,1019.7,14.7,62,,NW,20,1015.7
,2020-05-21,5.6,14.3,9.2,,,WSW,26,15:47,11.0,69,,SSW,6,1024.4,13.5,61,,WSW,13,1023.8
,2020-05-22,9.6,14.9,3.0,,,SW,26,13:58,10.9,95,, ,Calm,1025.3,14.7,87,,SW,11,1021.2
,2020-05-23,10.2,16.5,3.4,,,S,30,16:14,12.9,83,,SW,7,1023.6,15.8,69,,SW,11,1022.1
,2020-05-24,10.8,14.0,0,,,SSE,28,14:51,12.5,63,,S,11,1026.8,13.8,54,,SSE,11,1025.4
,2020-05-25,5.8,14.8,0,,,E,24,02:30,9.4,70,, ,Calm,1026.3,14.1,52,,NNE,9,1023.2
,2020-05-26,7.0,16.8,0,,,N,35,09:50,12.4,55,,NNE,11,1021.3,16.0,41,,N,11,1016.9
,2020-05-27,10.9,17.7,0,,,NW,26,12:34,12.0,64,,N,9,1020.7,16.6,69,,NW,11,1019.0
,2020-05-28,10.4,17.7,0.2,,,WNW,24,11:24,12.9,81,,N,9,1024.1,17.0,58,,NW,9,1023.2
,2020-05-29,5.2,19.8,0,,,NNW,30,12:26,12.6,62,,NNE,7,1026.5,19.5,34,,NNW,13,1022.9
,2020-05-30,10.2,19.9,0.2,,,NNW,52,13:15,15.7,37,,NNE,17,1016.0,16.7,43,,N,20,1011.5
,2020-05-31,10.1,14.9,2.4,,,WNW,61,22:40,11.3,95,,N,4,1016.1,13.4,77,,NNW,11,1012.8
